Second,Average,Min,Max,Median
0,-36.021216047017234,-60.0,-27.599999999999994,-60.0
1,-35.28668188962487,-60.0,-29.599999999999994,-60.0
2,-35.5451969234298,-60.0,-30.0,-60.0
3,-36.054604584624926,-60.0,-28.799999999999997,-60.0
4,-35.40482262380023,-60.0,-28.4,-60.0
5,-34.69290537162149,-60.0,-27.599999999999994,-60.0
6,-37.170660053311806,-60.0,-29.599999999999994,-60.0
7,-35.16341480948349,-60.0,-29.199999999999996,-60.0
8,-35.645921802414705,-60.0,-28.4,-60.0
9,-36.57095380181544,-60.0,-30.0,-60.0
10,-35.46874992333266,-60.0,-29.199999999999996,-60.0
11,-35.5069568166462,-60.0,-29.199999999999996,-60.0
12,-35.93514917588163,-60.0,-29.599999999999994,-60.0
13,-35.3826072377026,-60.0,-29.599999999999994,-60.0
14,-35.43124295405407,-60.0,-29.599999999999994,-60.0
15,-35.733823246762356,-60.0,-28.4,-60.0
16,-35.197317572502044,-60.0,-28.799999999999997,-60.0
17,-36.00670687080604,-60.0,-27.599999999999994,-60.0
18,-35.86509554868754,-60.0,-28.4,-60.0
19,-35.34267832143551,-60.0,-28.4,-60.0
20,-34.8782059826833,-60.0,-28.799999999999997,-60.0
21,-36.727798398707264,-60.0,-27.599999999999994,-60.0
22,-34.69047600097501,-60.0,-28.4,-60.0
23,-35.405007478706274,-60.0,-29.599999999999994,-60.0
24,-36.867792815011924,-60.0,-28.4,-60.0
25,-34.943465098972176,-60.0,-29.199999999999996,-60.0
26,-35.19494573563104,-60.0,-29.599999999999994,-60.0
27,-36.69687549321282,-60.0,-28.4,-60.0
28,-34.84078247165726,-60.0,-29.199999999999996,-60.0
29,-35.6399763299281,-60.0,-28.4,-60.0
