Second,Average,Min,Max,Median
0,-52.837498383545295,-60.0,-43.2,-60.0
1,-52.60031837023523,-60.0,-39.599999999999994,-60.0
2,-52.790280821528164,-60.0,-42.0,-60.0
3,-53.095430701574855,-60.0,-42.0,-60.0
4,-53.02585826746633,-60.0,-42.400000000000006,-60.0
5,-53.33975722168895,-60.0,-42.400000000000006,-60.0
6,-52.91820628928373,-60.0,-41.6,-60.0
7,-53.464956352045064,-60.0,-42.0,-60.0
8,-52.82195964442026,-60.0,-41.19999999999999,-60.0
9,-53.023533798266335,-60.0,-43.2,-60.0
10,-52.96261810452489,-60.0,-40.0,-60.0
11,-52.88842967257984,-60.0,-39.199999999999996,-60.0
12,-52.88649513552269,-60.0,-42.8,-60.0
13,-53.21443125912416,-60.0,-42.400000000000006,-60.0
14,-53.2113745419334,-60.0,-42.0,-60.0
15,-53.18500601580213,-60.0,-43.2,-60.0
16,-53.06414948758604,-60.0,-43.2,-60.0
17,-53.26080161255927,-60.0,-41.19999999999999,-60.0
18,-52.640535389485265,-60.0,-42.400000000000006,-60.0
19,-53.041022857521476,-60.0,-40.8,-60.0
20,-53.79018569250757,-60.0,-45.19999999999999,-60.0
21,-52.35185830813431,-60.0,-39.199999999999996,-60.0
22,-52.96395489404488,-60.0,-40.4,-60.0
23,-53.48372603564474,-60.0,-42.8,-60.0
24,-52.69621322647858,-60.0,-42.400000000000006,-60.0
25,-53.055013531179895,-60.0,-40.0,-60.0
26,-53.71901387179377,-60.0,-44.8,-60.0
27,-53.01450083542829,-60.0,-42.400000000000006,-60.0
28,-53.454738527265974,-60.0,-42.0,-60.0
29,-52.78719243277371,-60.0,-39.599999999999994,-60.0
