Second,Average,Min,Max,Median
0,-36.68744863375458,-60.0,-30.4,-60.0
1,-36.51170730366325,-60.0,-30.799999999999997,-60.0
2,-36.73894015374743,-60.0,-30.4,-60.0
3,-36.65431374405702,-60.0,-30.4,-60.0
4,-36.673178672625674,-60.0,-30.4,-60.0
5,-36.681470837925325,-60.0,-30.4,-60.0
6,-36.691896448021126,-60.0,-30.4,-60.0
7,-36.46777702415052,-60.0,-30.4,-60.0
8,-37.05806298150702,-60.0,-30.4,-60.0
9,-37.11824377319435,-60.0,-30.799999999999997,-60.0
10,-36.47631576024741,-60.0,-30.4,-60.0
11,-36.59195018403472,-60.0,-30.4,-60.0
12,-37.36561486661856,-60.0,-30.4,-60.0
13,-36.82708791923575,-60.0,-30.4,-60.0
14,-36.49355816906574,-60.0,-30.4,-60.0
15,-36.99733304131932,-60.0,-30.4,-60.0
16,-36.65938801434908,-60.0,-30.4,-60.0
17,-36.967693483868466,-60.0,-30.4,-60.0
18,-36.877319323577424,-60.0,-30.4,-60.0
19,-36.797980532443574,-60.0,-30.4,-60.0
20,-36.292718684194824,-60.0,-29.199999999999996,-60.0
21,-36.86991640277605,-60.0,-30.4,-60.0
22,-36.39616593061754,-60.0,-29.599999999999994,-60.0
23,-36.759779527049304,-60.0,-29.199999999999996,-60.0
24,-37.089097832476064,-60.0,-30.0,-60.0
25,-36.36297411676325,-60.0,-30.4,-60.0
26,-36.59468536386454,-60.0,-30.4,-60.0
27,-36.874508371503964,-60.0,-29.599999999999994,-60.0
28,-36.26743108265538,-60.0,-30.4,-60.0
29,-36.31760986962953,-60.0,-30.0,-60.0
