Second,Average,Min,Max,Median
0,-46.03120878797348,-60.0,-29.199999999999996,-60.0
1,-42.19051505873524,-60.0,-28.799999999999997,-60.0
2,-35.54709079689425,-60.0,-28.799999999999997,-60.0
3,-35.71075663989102,-60.0,-28.799999999999997,-60.0
4,-35.07544310090287,-60.0,-28.799999999999997,-60.0
5,-35.07632865013559,-60.0,-28.799999999999997,-60.0
6,-35.12102297706368,-60.0,-28.799999999999997,-60.0
7,-35.85707821025717,-60.0,-28.799999999999997,-60.0
8,-35.67179928249827,-60.0,-28.799999999999997,-60.0
9,-34.3803753166318,-60.0,-29.199999999999996,-60.0
10,-35.7059762005791,-60.0,-28.799999999999997,-60.0
11,-35.356939045313915,-60.0,-28.799999999999997,-60.0
12,-34.68953869063383,-60.0,-28.799999999999997,-60.0
13,-35.74452811471177,-60.0,-28.799999999999997,-60.0
14,-34.85943137401804,-60.0,-28.799999999999997,-60.0
15,-34.92208994729107,-60.0,-28.799999999999997,-60.0
16,-35.177252852601406,-60.0,-28.799999999999997,-60.0
17,-35.31647184767246,-60.0,-28.799999999999997,-60.0
18,-35.70227664984332,-60.0,-28.799999999999997,-60.0
19,-35.15810947841038,-60.0,-29.199999999999996,-60.0
20,-35.22742807099539,-60.0,-28.799999999999997,-60.0
21,-35.293504276694414,-60.0,-28.4,-60.0
22,-34.75481664069238,-60.0,-28.4,-60.0
23,-34.45090743839193,-60.0,-28.799999999999997,-60.0
24,-36.635374781141046,-60.0,-28.4,-60.0
25,-33.576500959954075,-60.0,-28.4,-60.0
26,-34.54314898070662,-60.0,-28.4,-60.0
27,-36.58712601778762,-60.0,-28.799999999999997,-60.0
28,-34.30261612612648,-60.0,-28.799999999999997,-60.0
29,-33.94807846583553,-60.0,-28.799999999999997,-60.0
30,-60.0,-60.0,-60.0,-60.0
