Second,Average,Min,Max,Median
0,-51.01214671356416,-60.0,-42.400000000000006,-60.0
1,-49.53068218816494,-60.0,-38.8,-60.0
2,-48.359945380738544,-60.0,-42.0,-60.0
3,-49.87990775757488,-60.0,-38.8,-60.0
4,-49.842090155437646,-60.0,-40.8,-60.0
5,-48.71098797406364,-60.0,-34.800000000000004,-60.0
6,-51.724749728916464,-60.0,-39.599999999999994,-60.0
7,-50.57399953041744,-60.0,-41.19999999999999,-60.0
8,-48.701832883228704,-60.0,-34.800000000000004,-60.0
9,-51.92890471995764,-60.0,-40.8,-60.0
10,-50.740160083794265,-60.0,-43.2,-60.0
11,-49.77847589053504,-60.0,-42.400000000000006,-60.0
12,-52.55836968335419,-60.0,-39.599999999999994,-60.0
13,-51.900931116492195,-60.0,-42.0,-60.0
14,-50.85644241197784,-60.0,-41.6,-60.0
15,-51.121514113263736,-60.0,-43.6,-60.0
16,-48.702318054641765,-60.0,-39.599999999999994,-60.0
17,-49.56244741780715,-60.0,-42.0,-60.0
18,-48.67024838977709,-60.0,-41.6,-60.0
19,-48.46768521849992,-60.0,-40.4,-60.0
20,-47.011721637856255,-60.0,-38.4,-60.0
21,-48.997673576183146,-60.0,-38.4,-60.0
22,-48.157549828304205,-60.0,-39.199999999999996,-60.0
23,-47.097830467417616,-60.0,-38.8,-60.0
24,-49.15511489022744,-60.0,-41.19999999999999,-60.0
25,-48.46362298597933,-60.0,-39.199999999999996,-60.0
26,-48.44570821828274,-60.0,-42.0,-60.0
27,-50.383523738798594,-60.0,-42.8,-60.0
28,-48.35715079896677,-60.0,-39.599999999999994,-60.0
29,-48.22396796684063,-60.0,-39.199999999999996,-60.0
30,-60.0,-60.0,-60.0,-60.0
