Second,Average,Min,Max,Median
0,-41.24797556887621,-60.0,-34.800000000000004,-60.0
1,-41.30997296964871,-60.0,-32.4,-60.0
2,-41.49966037715064,-60.0,-34.800000000000004,-60.0
3,-41.55947833033646,-60.0,-34.800000000000004,-60.0
4,-40.952147848920305,-60.0,-34.800000000000004,-60.0
5,-42.390135853905605,-60.0,-32.8,-60.0
6,-40.98699162369067,-60.0,-32.4,-60.0
7,-40.77574333619826,-60.0,-33.2,-60.0
8,-42.254972272375525,-60.0,-34.800000000000004,-60.0
9,-40.79165512237957,-60.0,-33.2,-60.0
10,-40.63848656468867,-60.0,-34.800000000000004,-60.0
11,-42.856097757338915,-60.0,-33.2,-60.0
12,-40.70971037238178,-60.0,-32.4,-60.0
13,-40.26696839419124,-60.0,-34.800000000000004,-60.0
14,-42.79463939652729,-60.0,-32.8,-60.0
15,-41.48551895506982,-60.0,-34.800000000000004,-60.0
16,-40.91741441805607,-60.0,-34.800000000000004,-60.0
17,-42.61066215785799,-60.0,-32.4,-60.0
18,-41.10806742444717,-60.0,-32.8,-60.0
19,-42.147506560532946,-60.0,-34.800000000000004,-60.0
20,-41.59109445442346,-60.0,-32.4,-60.0
21,-40.951604858426506,-60.0,-32.4,-60.0
22,-40.414678639349376,-60.0,-33.2,-60.0
23,-42.762178708288815,-60.0,-35.199999999999996,-60.0
24,-41.08935738753482,-60.0,-33.6,-60.0
25,-40.791487312908345,-60.0,-34.800000000000004,-60.0
26,-42.75859961093286,-60.0,-32.8,-60.0
27,-40.84194113845794,-60.0,-34.0,-60.0
28,-41.48506051479936,-60.0,-34.800000000000004,-60.0
29,-41.71631588839783,-60.0,-32.4,-60.0
30,-60.0,-60.0,-60.0,-60.0
