Second,Average,Min,Max,Median
0,-40.76651479983289,-60.0,-32.8,-60.0
1,-41.40498251981808,-60.0,-34.4,-60.0
2,-40.59855423347613,-60.0,-32.8,-60.0
3,-42.05750521249289,-60.0,-34.4,-60.0
4,-41.499390895198275,-60.0,-32.8,-60.0
5,-40.89860613761175,-60.0,-34.4,-60.0
6,-41.02273650328948,-60.0,-33.2,-60.0
7,-41.42580001641372,-60.0,-34.4,-60.0
8,-40.5600454138066,-60.0,-33.2,-60.0
9,-41.677742339113514,-60.0,-33.6,-60.0
10,-40.99252627634088,-60.0,-32.8,-60.0
11,-41.068519237559286,-60.0,-34.4,-60.0
12,-41.23820152783757,-60.0,-35.199999999999996,-60.0
13,-41.23161608482408,-60.0,-34.4,-60.0
14,-41.19962740426413,-60.0,-34.4,-60.0
15,-41.090589879140495,-60.0,-34.4,-60.0
16,-42.133615660254776,-60.0,-34.4,-60.0
17,-40.9290019982203,-60.0,-32.8,-60.0
18,-44.131382932392114,-60.0,-35.199999999999996,-60.0
