Second,Average,Min,Max,Median
0,-41.572341156496286,-60.0,-34.800000000000004,-60.0
1,-41.517731455545636,-60.0,-34.800000000000004,-60.0
2,-41.020037259617126,-60.0,-34.800000000000004,-60.0
3,-41.12398565275866,-60.0,-34.800000000000004,-60.0
4,-41.286088390259806,-60.0,-33.2,-60.0
5,-41.414743640166364,-60.0,-34.800000000000004,-60.0
6,-41.668504596487715,-60.0,-32.8,-60.0
7,-41.249497018643936,-60.0,-35.199999999999996,-60.0
8,-40.98621880621623,-60.0,-34.0,-60.0
9,-41.500378626583284,-60.0,-34.800000000000004,-60.0
10,-41.557949077810974,-60.0,-33.6,-60.0
11,-42.43813482669332,-60.0,-34.800000000000004,-60.0
12,-40.70411670960916,-60.0,-34.800000000000004,-60.0
13,-41.31442562054606,-60.0,-34.0,-60.0
14,-41.84941994551606,-60.0,-34.800000000000004,-60.0
15,-40.61580950627736,-60.0,-33.6,-60.0
16,-42.6057352195954,-60.0,-32.8,-60.0
17,-40.35636584964205,-60.0,-34.800000000000004,-60.0
18,-41.75300930806798,-60.0,-35.199999999999996,-60.0
19,-42.69829899263055,-60.0,-33.2,-60.0
20,-40.23140710015539,-60.0,-34.0,-60.0
21,-42.61466309802151,-60.0,-33.6,-60.0
22,-41.10240522602741,-60.0,-33.6,-60.0
23,-40.32741576604444,-60.0,-34.800000000000004,-60.0
24,-42.57305400311469,-60.0,-34.800000000000004,-60.0
25,-41.95894422363462,-60.0,-35.199999999999996,-60.0
26,-41.37041164269511,-60.0,-35.99999999999999,-60.0
27,-41.697699876072384,-60.0,-34.800000000000004,-60.0
28,-41.137053290595766,-60.0,-34.4,-60.0
29,-42.496799374958805,-60.0,-34.4,-60.0
