Second,Average,Min,Max,Median
0,-37.71485962212366,-60.0,-32.0,-60.0
1,-37.282845176393536,-60.0,-32.0,-60.0
2,-39.31208793751837,-60.0,-32.0,-60.0
3,-38.11944772347478,-60.0,-32.0,-60.0
4,-37.54322592879841,-60.0,-32.0,-60.0
5,-39.270798725636695,-60.0,-32.0,-60.0
6,-37.25739335721649,-60.0,-32.0,-60.0
7,-37.839531529045914,-60.0,-32.0,-60.0
8,-39.92232157007542,-60.0,-32.0,-60.0
9,-36.72833962690801,-60.0,-32.0,-60.0
10,-37.717185929915786,-60.0,-32.0,-60.0
11,-37.813884352657695,-60.0,-32.0,-60.0
12,-37.758457153981226,-60.0,-31.6,-60.0
13,-40.374835706141354,-60.0,-31.6,-60.0
14,-39.93453890445193,-60.0,-31.6,-60.0
15,-37.85376891912708,-60.0,-31.6,-60.0
16,-37.77587227645031,-60.0,-30.799999999999997,-60.0
17,-36.49963727560182,-60.0,-29.599999999999994,-60.0
18,-35.55168134468357,-60.0,-30.0,-60.0
19,-35.91451079352255,-60.0,-30.0,-60.0
20,-38.412099488270066,-60.0,-31.199999999999996,-60.0
21,-36.62660349848585,-60.0,-30.799999999999997,-60.0
22,-37.09252482376782,-60.0,-31.199999999999996,-60.0
23,-37.40899874341574,-60.0,-31.199999999999996,-60.0
24,-37.563283202808506,-60.0,-31.199999999999996,-60.0
25,-36.77230866129896,-60.0,-31.199999999999996,-60.0
26,-38.581770194434284,-60.0,-31.6,-60.0
27,-38.15013906225822,-60.0,-31.6,-60.0
28,-37.30518027924248,-60.0,-31.6,-60.0
29,-38.08107764291326,-60.0,-31.199999999999996,-60.0
30,-31.6,-31.6,-31.6,-31.6
