Second,Average,Min,Max,Median
0,-40.68000974360612,-60.0,-32.0,-60.0
1,-39.49907962624491,-60.0,-32.0,-60.0
2,-41.14989171469642,-60.0,-32.4,-60.0
3,-40.13020588595361,-60.0,-32.4,-60.0
4,-39.670171423168995,-60.0,-32.4,-60.0
5,-39.33503519848963,-60.0,-32.4,-60.0
6,-39.44982907714624,-60.0,-32.4,-60.0
7,-39.04599660196324,-60.0,-32.4,-60.0
8,-40.61061864347468,-60.0,-32.4,-60.0
9,-38.78698678033918,-60.0,-32.4,-60.0
10,-38.72543929161746,-60.0,-32.0,-60.0
11,-39.20791872240408,-60.0,-32.4,-60.0
12,-39.10544656782741,-60.0,-32.4,-60.0
13,-38.981658783112856,-60.0,-32.4,-60.0
14,-38.3619433141049,-60.0,-32.0,-60.0
15,-38.418492597076494,-60.0,-32.4,-60.0
16,-38.33416015935375,-60.0,-32.4,-60.0
17,-38.178288798626696,-60.0,-32.4,-60.0
18,-38.25593571504329,-60.0,-32.4,-60.0
19,-38.28274230220685,-60.0,-32.4,-60.0
20,-38.52658353115452,-60.0,-32.4,-60.0
21,-38.2713781518414,-60.0,-32.4,-60.0
22,-38.35063742275652,-60.0,-32.4,-60.0
23,-38.387940086505594,-60.0,-32.4,-60.0
24,-38.524566545176285,-60.0,-32.4,-60.0
25,-38.24170118571701,-60.0,-32.4,-60.0
26,-38.44495980932199,-60.0,-32.4,-60.0
27,-38.28231277637588,-60.0,-32.0,-60.0
28,-38.25226282528644,-60.0,-32.4,-60.0
29,-38.33131031745799,-60.0,-32.4,-60.0
30,-60.0,-60.0,-60.0,-60.0
