Second,Average,Min,Max,Median
0,-36.736549339746546,-60.0,-30.799999999999997,-60.0
1,-37.45144278661792,-60.0,-30.799999999999997,-60.0
2,-36.46596812056107,-60.0,-30.799999999999997,-60.0
3,-36.44112373057175,-60.0,-30.799999999999997,-60.0
4,-38.02425182963994,-60.0,-30.799999999999997,-60.0
5,-36.74888774225037,-60.0,-30.799999999999997,-60.0
6,-36.22490363228695,-60.0,-30.799999999999997,-60.0
7,-38.6120171981945,-60.0,-30.799999999999997,-60.0
8,-36.06237646454257,-60.0,-30.799999999999997,-60.0
9,-36.32404590289901,-60.0,-30.799999999999997,-60.0
10,-37.99026132461478,-60.0,-30.799999999999997,-60.0
11,-36.33126568336887,-60.0,-30.4,-60.0
12,-37.69804399536576,-60.0,-30.799999999999997,-60.0
13,-36.905664762166914,-60.0,-30.799999999999997,-60.0
14,-36.25040181100192,-60.0,-30.799999999999997,-60.0
15,-37.448750215587474,-60.0,-30.4,-60.0
16,-36.75209377157061,-60.0,-30.799999999999997,-60.0
17,-36.433294764449734,-60.0,-30.799999999999997,-60.0
18,-36.97030312272242,-60.0,-30.799999999999997,-60.0
19,-36.81049856158741,-60.0,-30.799999999999997,-60.0
20,-36.416594784980035,-60.0,-30.799999999999997,-60.0
21,-37.32589735516822,-60.0,-30.799999999999997,-60.0
22,-36.86219460032521,-60.0,-30.799999999999997,-60.0
23,-36.19426007737567,-60.0,-30.799999999999997,-60.0
24,-37.56903517940693,-60.0,-30.4,-60.0
25,-37.9982137029944,-60.0,-30.4,-60.0
26,-35.54952257547444,-60.0,-30.799999999999997,-60.0
27,-37.81801589356638,-60.0,-30.799999999999997,-60.0
28,-37.125292773055605,-60.0,-30.799999999999997,-60.0
29,-36.11009867868334,-60.0,-30.799999999999997,-60.0
30,-30.799999999999997,-30.799999999999997,-30.799999999999997,-30.799999999999997
