Second,Average,Min,Max,Median
0,-24.95311220398138,-32.0,-20.4,-25.599999999999994
1,-22.007499057265257,-30.0,-17.599999999999994,-22.4
2,-19.686078575259952,-22.799999999999997,-17.599999999999994,-20.0
3,-23.497384898468173,-29.199999999999996,-18.4,-24.0
4,-24.601993662836072,-30.4,-19.199999999999996,-25.199999999999996
5,-23.49626643692194,-30.0,-18.4,-24.0
6,-20.693053608652505,-27.599999999999994,-17.200000000000003,-21.199999999999996
7,-21.150017483637665,-30.799999999999997,-17.200000000000003,-21.6
8,-22.88041973962091,-31.199999999999996,-17.999999999999993,-24.0
9,-23.71553674141341,-33.2,-17.599999999999994,-24.4
10,-24.029359394235016,-32.0,-17.200000000000003,-24.800000000000004
11,-21.429503527504412,-27.999999999999993,-16.799999999999997,-22.0
12,-21.546429429868223,-30.799999999999997,-16.799999999999997,-22.0
13,-23.339978821641477,-32.0,-17.599999999999994,-24.59539645663693
14,-22.44689053496404,-31.6,-20.0,-22.4
15,-22.5677474095423,-31.6,-19.199999999999996,-22.4
16,-19.84172809101748,-27.599999999999994,-17.599999999999994,-20.4
17,-20.08430031062684,-24.800000000000004,-17.999999999999993,-20.0
18,-19.625836178929642,-24.0,-17.999999999999993,-19.599999999999994
19,-19.416753447730038,-25.199999999999996,-16.799999999999997,-19.599999999999994
20,-19.23052297583112,-22.799999999999997,-16.4,-19.199999999999996
21,-18.978145846945985,-20.4,-16.799999999999997,-19.199999999999996
22,-19.10198386588645,-22.4,-17.200000000000003,-19.199999999999996
23,-19.227108905718147,-27.999999999999993,-17.599999999999994,-19.199999999999996
24,-20.395799998110036,-31.199999999999996,-16.799999999999997,-20.0
25,-19.547471338638903,-22.4,-17.200000000000003,-20.0
26,-19.484238902463492,-22.799999999999997,-17.999999999999993,-19.599999999999994
27,-20.412244655008376,-28.4,-16.799999999999997,-20.0
28,-19.37089253015923,-29.199999999999996,-17.200000000000003,-18.799999999999997
29,-19.901466062473506,-30.0,-17.599999999999994,-19.599999999999994
