Second,Average,Min,Max,Median
0,-18.904479472528564,-23.6,-16.4,-19.199999999999996
1,-19.488081822457296,-23.6,-16.4,-19.599999999999994
2,-20.87738256497305,-24.4,-19.199999999999996,-20.799999999999997
3,-20.116698048234657,-24.800000000000004,-17.999999999999993,-20.0
4,-20.219775952793782,-24.4,-17.999999999999993,-20.4
5,-19.61495764038498,-23.200000000000003,-17.599999999999994,-20.0
6,-19.91363250400117,-24.4,-17.599999999999994,-20.0
7,-21.854549739655997,-31.199999999999996,-18.799999999999997,-21.6
8,-21.349791351975934,-29.599999999999994,-19.599999999999994,-21.199999999999996
9,-21.2150328162461,-29.199999999999996,-19.199999999999996,-21.199999999999996
10,-20.55577547809834,-25.199999999999996,-18.4,-20.4
11,-19.640647816487476,-26.39999999999999,-17.599999999999994,-19.199999999999996
12,-19.573154363750362,-30.4,-17.599999999999994,-18.799999999999997
13,-19.48271570926764,-32.0,-17.599999999999994,-18.799999999999997
14,-19.548754185851962,-29.599999999999994,-16.799999999999997,-18.799999999999997
15,-19.716285737117385,-25.599999999999994,-17.599999999999994,-19.599999999999994
16,-19.24977290297076,-24.800000000000004,-17.599999999999994,-19.199999999999996
17,-20.401384659157383,-25.599999999999994,-17.999999999999993,-20.4
18,-21.463783881746906,-31.6,-17.200000000000003,-20.4
19,-21.524676729015905,-27.199999999999996,-18.799999999999997,-21.6
20,-22.655880745190004,-29.199999999999996,-20.0,-22.4
21,-22.117900970001312,-29.599999999999994,-19.599999999999994,-22.0
22,-21.79976667994497,-25.599999999999994,-19.199999999999996,-22.0
23,-23.50191077971814,-28.4,-19.599999999999994,-24.59539645663693
24,-21.36750722593828,-27.599999999999994,-19.199999999999996,-21.199999999999996
25,-21.130424211369977,-26.39999999999999,-18.799999999999997,-20.799999999999997
26,-23.010307888963865,-26.39999999999999,-19.199999999999996,-23.6
27,-21.654935543384756,-27.599999999999994,-19.199999999999996,-22.0
28,-22.589960709990713,-29.199999999999996,-18.799999999999997,-23.6
29,-20.27383771708844,-28.799999999999997,-17.999999999999993,-20.0
