Second,Average,Min,Max,Median
0,-21.435258775667243,-29.199999999999996,-17.999999999999993,-20.799999999999997
1,-21.611869113590153,-29.599999999999994,-18.4,-21.6
2,-23.955689513855354,-28.799999999999997,-20.799999999999997,-24.0
3,-22.37851891563396,-28.799999999999997,-19.199999999999996,-22.799999999999997
4,-22.468765731408325,-28.799999999999997,-19.199999999999996,-22.799999999999997
5,-24.00998858423891,-29.599999999999994,-20.4,-24.4
6,-21.58044935198906,-25.999999999999993,-19.199999999999996,-21.6
7,-22.585656260935686,-30.4,-18.799999999999997,-24.800000000000004
8,-21.734791959714023,-30.0,-17.999999999999993,-21.6
9,-22.658320672263244,-28.799999999999997,-18.799999999999997,-23.200000000000003
10,-24.085684818512554,-31.199999999999996,-19.599999999999994,-24.4
11,-24.102898927641938,-30.799999999999997,-19.599999999999994,-24.995396456636932
12,-25.024844842590042,-31.199999999999996,-20.799999999999997,-25.199999999999996
13,-25.345848902749495,-32.0,-18.4,-25.795396456636922
14,-25.735268273385202,-31.6,-20.0,-26.799999999999997
15,-24.89505937170126,-31.199999999999996,-21.6,-25.199999999999996
16,-24.723863040711546,-31.199999999999996,-20.799999999999997,-25.199999999999996
17,-25.76688723645567,-32.4,-21.199999999999996,-25.999999999999993
18,-26.586673016596997,-31.199999999999996,-22.0,-27.199999999999996
19,-26.578018014515695,-32.0,-21.6,-27.199999999999996
20,-25.41395843866381,-30.799999999999997,-21.6,-25.999999999999993
21,-22.781599207018534,-29.599999999999994,-19.199999999999996,-23.200000000000003
22,-22.07200906095323,-28.799999999999997,-20.0,-21.6
23,-23.20314489848517,-31.6,-20.799999999999997,-22.0
24,-24.09869142741018,-30.0,-20.4,-25.999999999999993
25,-22.895582576213567,-30.0,-18.799999999999997,-22.4
26,-22.207766984468673,-29.199999999999996,-18.799999999999997,-22.4
27,-21.924550474162743,-29.599999999999994,-19.599999999999994,-21.6
28,-21.68559080389793,-29.599999999999994,-19.199999999999996,-21.6
29,-21.433881282275657,-32.0,-17.599999999999994,-21.199999999999996
