Second,Average,Min,Max,Median
0,-20.11111429358895,-25.999999999999993,-18.4,-19.599999999999994
1,-21.765675355888096,-26.39999999999999,-19.599999999999994,-21.199999999999996
2,-19.79144850189894,-30.4,-17.200000000000003,-20.0
3,-18.194838704598766,-20.799999999999997,-16.4,-18.4
4,-20.80676781635413,-32.0,-18.4,-20.0
5,-20.41926436864555,-30.4,-17.200000000000003,-19.599999999999994
6,-20.52821726241978,-26.39999999999999,-18.4,-20.4
7,-22.23533313196759,-28.799999999999997,-19.199999999999996,-22.799999999999997
8,-21.535050631544635,-24.800000000000004,-19.199999999999996,-21.199999999999996
9,-19.439605420399964,-20.799999999999997,-17.999999999999993,-19.599999999999994
10,-19.517427551553894,-28.799999999999997,-17.599999999999994,-19.599999999999994
11,-18.950129558433837,-31.199999999999996,-16.0,-17.999999999999993
12,-18.982926392483453,-27.999999999999993,-16.799999999999997,-18.4
13,-18.007495966640555,-27.999999999999993,-16.4,-17.599999999999994
14,-18.85594954098063,-23.200000000000003,-16.799999999999997,-18.4
15,-18.55275693595017,-22.4,-17.599999999999994,-18.4
16,-19.61214407547969,-24.0,-16.799999999999997,-19.199999999999996
17,-21.836868412415342,-23.200000000000003,-19.599999999999994,-22.0
18,-25.83534461623278,-32.0,-19.199999999999996,-27.199999999999996
19,-25.988299938287387,-30.799999999999997,-21.199999999999996,-26.799999999999997
20,-25.91825551241959,-32.4,-19.599999999999994,-26.799999999999997
21,-26.40377081169809,-30.799999999999997,-22.4,-27.199999999999996
22,-23.731107634665072,-29.199999999999996,-18.4,-25.199999999999996
23,-19.317010966977424,-28.4,-16.799999999999997,-18.799999999999997
24,-19.364052374923975,-28.799999999999997,-15.600000000000001,-19.199999999999996
25,-22.65256445861382,-29.599999999999994,-17.999999999999993,-23.6
26,-22.81763535834219,-30.799999999999997,-17.599999999999994,-25.599999999999994
27,-24.512883611994294,-30.0,-20.4,-25.599999999999994
28,-22.933028062238424,-32.8,-18.799999999999997,-22.4
29,-22.590884028409643,-31.199999999999996,-20.0,-22.4
