Second,Average,Min,Max,Median
0,-22.082331277006453,-31.6,-18.799999999999997,-22.0
1,-23.748913530112418,-31.6,-19.599999999999994,-25.199999999999996
2,-21.780383813846726,-31.6,-19.199999999999996,-21.199999999999996
3,-20.97854566854285,-32.4,-17.599999999999994,-20.0
4,-19.800968478842854,-33.2,-17.599999999999994,-18.799999999999997
5,-19.996876842261603,-32.0,-16.4,-19.599999999999994
6,-24.438961980441935,-30.799999999999997,-17.999999999999993,-25.199999999999996
7,-22.967813163179326,-32.8,-18.799999999999997,-25.795396456636922
8,-21.703339672333048,-30.0,-16.799999999999997,-23.200000000000003
9,-21.042377688955646,-30.799999999999997,-17.999999999999993,-20.4
10,-19.06944850977662,-30.4,-15.600000000000001,-18.4
11,-20.156921161098033,-32.8,-17.599999999999994,-19.599999999999994
12,-21.74981319674858,-30.799999999999997,-17.999999999999993,-21.199999999999996
13,-21.707760093336258,-32.4,-18.799999999999997,-21.199999999999996
14,-20.37997274186104,-31.6,-16.799999999999997,-20.0
15,-19.68666620634866,-28.4,-16.4,-19.599999999999994
16,-19.67063369646508,-29.599999999999994,-17.999999999999993,-18.799999999999997
17,-20.48948196251365,-28.799999999999997,-18.4,-20.0
18,-21.55335003127491,-29.599999999999994,-19.199999999999996,-21.199999999999996
19,-21.173798996407115,-31.6,-18.799999999999997,-20.4
20,-21.50175055442495,-33.2,-19.199999999999996,-20.799999999999997
21,-22.575669419954462,-31.199999999999996,-19.199999999999996,-21.6
22,-22.138072575576295,-30.0,-20.0,-21.6
23,-23.261434500158316,-30.799999999999997,-20.0,-22.799999999999997
24,-22.248900699609013,-31.199999999999996,-19.599999999999994,-21.6
25,-22.201036684218295,-31.6,-20.0,-21.6
26,-21.97302401358185,-32.8,-19.199999999999996,-21.6
27,-21.446472702403334,-34.4,-18.4,-21.199999999999996
28,-22.160963950754944,-32.0,-19.199999999999996,-21.6
29,-21.81086670382996,-33.2,-19.599999999999994,-21.199999999999996
