Second,Average,Min,Max,Median
0,-21.965854895988688,-29.599999999999994,-19.599999999999994,-21.6
1,-22.347534335968252,-27.999999999999993,-20.4,-22.0
2,-23.52814832040247,-30.4,-20.0,-23.200000000000003
3,-22.69044238307551,-32.4,-20.4,-22.0
4,-22.54255510068893,-30.799999999999997,-19.199999999999996,-22.4
5,-21.92439317504373,-32.0,-19.199999999999996,-22.0
6,-22.07849265458468,-30.799999999999997,-18.799999999999997,-21.6
7,-22.072985303216186,-33.2,-19.599999999999994,-21.6
8,-21.087994564632563,-31.199999999999996,-17.999999999999993,-20.4
9,-20.706252258903568,-29.199999999999996,-18.4,-20.0
10,-21.4208799169247,-30.4,-18.4,-21.199999999999996
11,-21.061199703498495,-30.799999999999997,-17.999999999999993,-20.4
12,-20.972535754361775,-29.199999999999996,-18.799999999999997,-20.19539645663693
13,-21.221551325000156,-30.4,-17.999999999999993,-21.199999999999996
14,-21.72150223108185,-33.2,-17.200000000000003,-22.0
15,-21.486865979953013,-32.0,-18.799999999999997,-21.199999999999996
16,-21.55312701576463,-34.0,-18.799999999999997,-21.199999999999996
17,-22.525825356996858,-32.4,-20.4,-22.0
18,-23.26211898827672,-33.2,-18.799999999999997,-24.4
19,-21.804834728244565,-32.8,-17.599999999999994,-20.799999999999997
20,-22.10942525961083,-32.0,-18.4,-21.6
21,-21.292126479589296,-32.8,-17.999999999999993,-20.4
22,-20.33329658702636,-30.4,-17.999999999999993,-20.0
23,-20.857536734427683,-30.799999999999997,-17.999999999999993,-20.799999999999997
24,-20.054553399618914,-29.199999999999996,-17.999999999999993,-19.599999999999994
25,-21.334807598605728,-27.599999999999994,-18.799999999999997,-21.6
26,-20.853540028553187,-32.4,-17.200000000000003,-20.799999999999997
27,-25.155796581040953,-35.99999999999999,-18.799999999999997,-25.599999999999994
28,-25.71585713660461,-34.4,-18.4,-25.999999999999993
29,-20.481577141095375,-32.0,-17.200000000000003,-20.0
