Second,Average,Min,Max,Median
0,-22.099314881184714,-31.6,-18.4,-22.799999999999997
1,-21.75590077802445,-28.799999999999997,-17.999999999999993,-22.799999999999997
2,-23.21377981720318,-31.199999999999996,-18.799999999999997,-24.0
3,-24.169497763576796,-31.199999999999996,-18.4,-25.599999999999994
4,-24.20772331792222,-32.0,-19.199999999999996,-25.199999999999996
5,-21.013992700640944,-26.799999999999997,-18.799999999999997,-20.4
6,-20.680790849030977,-27.199999999999996,-19.199999999999996,-20.4
7,-21.608706648749617,-27.599999999999994,-17.599999999999994,-22.4
8,-19.955989141500112,-26.799999999999997,-18.799999999999997,-20.0
9,-22.180427660575486,-27.599999999999994,-18.4,-23.200000000000003
10,-20.1585784859922,-24.800000000000004,-17.999999999999993,-20.0
11,-20.15729912097811,-24.4,-17.999999999999993,-20.0
12,-20.697132316783822,-28.4,-19.599999999999994,-20.4
13,-19.65310089185592,-24.0,-17.599999999999994,-19.599999999999994
14,-19.421854380172643,-27.999999999999993,-16.4,-19.199999999999996
15,-19.74838448409515,-29.199999999999996,-16.4,-19.599999999999994
16,-20.521733573174878,-30.799999999999997,-16.799999999999997,-20.0
17,-20.636525323935643,-30.4,-18.4,-20.0
18,-21.126445109027987,-27.599999999999994,-17.599999999999994,-20.799999999999997
19,-20.30975529792636,-27.199999999999996,-17.599999999999994,-19.599999999999994
20,-21.164732802712876,-27.199999999999996,-18.799999999999997,-20.4
21,-21.1173305502594,-26.799999999999997,-18.799999999999997,-20.799999999999997
22,-20.436073296664933,-27.599999999999994,-18.4,-20.0
23,-24.137582781407744,-27.599999999999994,-19.599999999999994,-24.4
24,-22.833327497136942,-27.999999999999993,-18.799999999999997,-23.6
25,-20.730993719980077,-26.799999999999997,-17.999999999999993,-20.799999999999997
26,-21.343637160905942,-28.4,-17.599999999999994,-21.199999999999996
27,-20.484996998280593,-27.599999999999994,-18.4,-20.0
28,-20.909693788417268,-29.199999999999996,-18.799999999999997,-20.4
29,-23.089665264532474,-31.199999999999996,-18.799999999999997,-24.0
