Elapsed Time (s),Value
0.003,2.06
0.008,2.07
0.013,2.07
0.018,2.07
0.023,2.07
0.028,2.07
0.033,2.07
0.038,2.07
0.043,2.07
0.048,2.07
0.053,2.07
0.058,2.07
0.063,2.07
0.068,2.07
0.073,2.07
0.078,2.07
0.083,2.07
0.088,2.06
0.093,2.07
0.098,1.92
0.103,2.07
0.108,2.06
0.113,2.07
0.118,2.07
0.123,2.07
0.128,2.06
0.133,2.07
0.138,2.07
0.143,2.05
0.148,2.07
0.153,2.07
0.158,2.05
0.163,2.07
0.168,2.07
0.173,2.07
0.178,2.07
0.183,2.07
0.188,2.07
0.193,2.07
0.198,2.0
0.203,2.07
0.208,2.07
0.213,2.07
0.218,2.07
0.223,2.07
0.228,2.07
0.233,2.07
0.238,2.07
0.243,2.07
0.248,2.07
0.253,2.07
0.258,2.07
0.263,2.07
0.268,2.06
0.273,2.07
0.278,2.07
0.283,2.07
0.288,2.07
0.293,2.07
0.298,2.07
0.303,1.95
0.308,2.07
0.313,2.06
0.318,2.07
0.323,2.07
0.328,2.07
0.333,2.07
0.338,2.07
0.343,2.07
0.348,2.07
0.353,2.07
0.358,2.07
0.363,2.07
0.368,2.07
0.373,2.07
0.378,2.07
0.383,2.07
0.388,2.07
0.393,2.07
0.398,2.07
0.403,1.91
0.408,2.07
0.413,2.07
0.418,2.07
0.423,2.07
0.428,2.07
0.433,2.07
0.438,2.07
0.443,2.07
0.448,2.07
0.453,2.07
0.458,2.07
0.463,2.07
0.468,2.07
0.473,2.07
0.478,2.07
0.483,2.07
0.488,2.05
0.493,2.07
0.498,2.07
0.503,2.07
0.508,2.07
0.513,2.07
0.518,2.07
0.523,2.07
0.528,2.07
0.533,2.07
0.538,2.07
0.543,2.07
0.548,2.07
0.553,2.07
0.558,2.06
0.563,2.07
0.568,2.07
0.573,2.07
0.578,2.06
0.583,1.99
0.588,2.07
0.593,2.07
0.598,2.07
0.603,2.07
0.608,2.07
0.613,2.06
0.618,2.07
0.623,2.07
0.628,2.06
0.634,2.07
0.639,2.06
0.643,2.07
0.648,2.07
0.653,2.07
0.658,2.07
0.663,2.06
0.668,2.06
0.673,2.07
0.678,2.07
0.683,2.07
0.688,2.07
0.693,2.07
0.698,2.07
0.703,2.07
0.708,2.07
0.713,2.07
0.718,2.07
0.723,2.07
0.728,2.06
0.733,2.07
0.738,2.07
0.743,2.07
0.748,2.07
0.753,2.07
0.758,2.07
0.763,2.07
0.768,2.07
0.773,2.07
0.778,2.07
0.783,2.07
0.788,2.06
0.793,2.07
0.798,2.07
0.803,2.07
0.808,2.07
0.813,2.07
0.818,2.05
0.823,2.07
0.828,2.05
0.833,2.07
0.838,2.07
0.843,2.07
0.848,2.07
0.853,2.07
0.858,2.07
0.863,2.07
0.868,2.07
0.873,2.06
0.878,2.07
0.883,2.07
0.888,2.06
0.893,2.05
0.898,2.07
0.903,2.07
0.908,2.07
0.913,2.07
0.918,2.07
0.923,2.07
0.928,2.07
0.933,1.98
