Elapsed Time (s),Value
0.000,2.06
0.004,2.06
0.009,2.06
0.014,2.06
0.019,2.06
0.024,2.06
0.029,2.06
0.034,2.06
0.039,2.06
0.044,2.06
0.049,2.06
0.054,2.06
0.059,2.06
0.064,2.05
0.069,2.06
0.074,2.07
0.079,2.06
0.085,2.06
0.089,2.06
0.094,2.07
0.099,2.06
0.104,2.07
0.109,2.06
0.114,2.06
0.119,2.06
0.124,2.06
0.129,2.06
0.134,2.06
0.139,2.06
0.144,2.06
0.149,2.06
0.154,2.06
0.159,2.06
0.164,2.06
0.169,2.06
0.174,2.06
0.179,2.06
0.184,2.06
0.189,2.06
0.194,2.06
0.199,2.06
0.204,2.06
0.209,2.06
0.214,2.06
0.219,2.05
0.224,2.06
0.229,2.06
0.234,2.06
0.239,2.06
0.244,2.06
0.249,2.06
0.254,2.06
0.259,2.06
0.264,2.06
0.269,2.06
0.274,2.06
0.279,2.06
0.284,2.06
0.289,2.06
0.294,2.06
0.299,2.06
0.304,2.06
0.309,2.06
0.314,2.06
0.319,2.06
0.324,2.06
0.329,2.06
0.334,2.06
0.339,2.06
0.344,2.06
0.349,2.06
0.354,2.06
0.359,2.06
0.364,2.06
0.369,2.06
0.374,2.06
0.379,2.06
0.384,2.06
0.389,2.06
0.394,2.05
0.399,2.06
0.404,2.06
0.409,2.06
0.414,2.06
0.419,2.06
0.424,2.06
0.429,2.06
0.434,2.06
0.439,2.06
0.444,2.06
0.449,2.06
0.454,2.06
0.459,2.06
0.464,2.03
0.469,2.06
0.474,2.06
0.479,2.06
0.484,2.06
0.489,2.06
0.494,2.06
0.499,2.06
0.504,2.06
0.509,2.06
0.514,2.06
0.519,2.06
0.524,2.06
0.529,2.06
0.534,2.06
0.539,2.06
0.544,2.06
0.549,2.02
0.554,2.06
0.559,2.06
0.564,2.06
0.569,2.06
0.574,2.06
0.579,2.06
0.584,2.06
0.589,2.06
0.594,2.06
0.599,2.06
0.604,1.82
0.609,2.06
0.614,2.05
0.619,2.06
0.624,2.05
0.629,2.05
0.634,2.06
0.639,2.06
0.644,2.06
0.649,2.06
0.654,2.06
0.659,2.06
0.664,2.06
0.669,2.06
0.674,2.06
0.679,2.06
0.684,2.06
0.689,2.06
0.694,2.06
0.699,2.06
0.704,2.06
0.709,2.06
0.714,2.06
0.719,2.06
0.724,2.06
0.729,2.06
0.734,2.07
0.739,2.06
0.744,2.06
0.749,2.06
0.754,2.06
0.759,2.01
0.764,2.06
0.769,2.06
0.774,2.06
0.779,2.06
0.784,2.06
0.789,2.06
0.794,2.06
0.799,2.06
0.804,2.06
0.809,2.06
0.814,2.07
0.819,2.06
0.824,2.06
0.829,2.06
0.834,2.06
0.839,2.06
0.844,2.06
0.849,2.06
0.854,2.06
0.859,2.06
0.864,2.06
0.869,2.06
0.874,2.06
0.879,2.04
0.884,2.06
0.889,2.06
0.894,2.06
0.899,2.06
0.904,2.06
0.909,2.06
0.914,1.81
0.919,2.04
0.924,2.06
0.929,2.06
0.934,2.06
0.939,2.06
0.944,2.06
0.949,2.06
0.954,2.06
0.959,2.06
0.964,2.06
0.969,2.06
0.974,2.06
0.979,2.06
0.984,2.06
0.989,2.06
0.994,2.06
0.999,2.06
1.004,2.06
1.009,2.06
1.014,2.06
1.019,2.06
1.024,2.06
1.029,2.06
1.034,2.06
1.039,2.06
1.044,2.06
1.049,2.06
1.054,2.06
1.059,2.06
1.064,2.06
1.069,2.06
1.074,2.06
1.079,2.06
1.084,2.06
1.089,2.05
1.094,2.06
1.102,2.06
1.104,2.06
1.109,2.06
1.114,2.06
1.119,2.05
1.124,2.06
1.129,2.06
1.134,2.06
1.139,2.06
1.144,2.06
1.149,2.06
1.154,2.06
1.159,2.06
1.164,2.06
1.169,2.06
1.174,2.06
1.179,2.05
1.184,2.06
1.189,2.06
1.194,2.06
1.199,2.06
1.204,2.06
1.209,2.05
1.214,2.06
1.219,2.06
1.224,2.06
1.229,2.0
1.234,2.06
1.239,2.06
1.244,2.06
1.249,2.06
1.254,2.06
1.259,2.06
1.264,2.07
1.269,2.06
1.274,2.07
1.279,2.06
1.284,2.07
1.289,2.06
1.294,2.06
1.299,2.06
1.304,2.06
1.309,2.06
1.314,2.06
1.319,2.06
1.324,2.06
1.329,2.06
1.334,2.06
1.339,2.06
1.344,2.06
1.349,2.06
1.354,2.06
1.359,2.06
1.364,2.02
1.369,2.06
1.374,2.06
1.379,2.06
1.384,2.06
1.389,2.06
1.394,2.06
1.399,2.06
1.404,2.06
1.409,2.06
1.414,2.06
1.418,2.06
1.424,2.06
1.429,2.06
1.434,2.06
1.438,1.91
1.444,2.06
1.448,2.06
1.454,2.06
1.459,2.06
1.464,2.06
1.468,2.06
1.474,2.06
1.478,2.06
1.484,2.06
1.488,2.06
1.494,2.06
1.498,2.06
1.503,2.06
1.508,1.99
1.513,2.06
1.518,2.06
1.523,2.06
1.528,2.06
1.533,2.06
1.538,2.06
1.543,2.05
1.548,2.06
1.553,2.06
1.558,2.07
1.563,2.06
1.568,2.06
1.573,2.06
1.578,2.06
1.583,2.06
1.588,2.06
1.593,2.06
1.598,2.06
1.603,2.06
1.608,2.06
1.613,2.06
1.618,2.06
1.623,2.06
1.628,2.06
1.633,2.06
1.638,2.06
1.643,2.06
1.648,2.06
1.654,2.06
1.658,2.06
1.663,2.06
1.668,2.06
1.673,2.06
1.678,2.06
1.683,2.06
1.688,2.06
1.693,2.03
1.698,2.06
1.703,2.06
1.708,2.06
1.713,2.06
1.718,2.06
1.723,2.06
1.728,2.06
1.733,2.06
1.738,2.06
1.743,2.06
1.748,2.06
1.753,2.06
1.758,2.06
1.763,2.06
1.768,2.06
1.773,2.06
1.778,2.06
1.783,2.06
1.788,2.06
1.793,2.06
1.798,2.06
1.803,2.06
1.808,2.06
1.813,2.06
1.818,2.06
1.823,2.06
1.828,2.06
1.833,2.06
1.838,2.06
1.843,2.06
1.848,2.06
1.853,2.06
1.858,2.06
1.863,1.99
1.868,2.06
1.873,2.06
1.878,2.06
1.883,2.06
1.888,2.06
1.893,2.06
1.898,2.06
1.903,2.06
1.908,2.05
1.913,2.06
1.918,2.06
1.923,2.06
1.928,2.06
1.933,2.06
1.938,2.06
1.943,2.07
1.948,2.06
1.953,2.06
1.958,2.06
1.963,1.99
1.968,2.06
1.973,2.06
1.978,2.06
1.983,2.06
1.988,2.07
1.993,2.06
1.998,2.06
2.003,2.06
2.008,2.06
2.013,2.06
2.018,2.06
2.023,2.03
2.028,2.06
2.033,2.06
2.038,2.06
2.043,2.06
2.048,2.06
2.053,2.06
2.058,2.06
2.063,2.06
2.068,2.05
2.073,2.06
2.078,2.06
2.083,2.06
2.088,2.06
2.093,2.06
2.098,2.06
2.103,2.06
2.108,2.06
2.113,2.06
2.118,2.06
2.123,2.06
2.128,2.06
2.133,2.06
2.138,2.06
2.143,2.06
2.148,2.06
2.153,2.06
2.158,2.06
2.163,2.06
2.168,2.06
2.173,2.06
2.178,2.06
2.183,2.06
2.188,2.06
2.193,2.06
2.198,2.05
2.203,2.06
2.208,2.06
2.213,2.06
2.218,2.06
2.223,2.06
2.228,2.06
2.233,2.06
2.238,2.06
2.243,2.06
2.248,2.06
2.253,2.06
2.258,2.06
2.263,2.06
2.268,2.06
2.273,1.8
2.278,2.06
2.283,2.06
2.288,2.06
2.293,2.06
2.298,2.06
2.303,2.06
2.308,2.06
2.313,2.06
2.318,2.06
2.323,2.06
2.328,2.06
2.333,2.06
2.338,2.06
2.343,2.06
2.348,2.06
2.353,2.02
2.358,2.06
2.363,2.06
2.368,2.06
2.373,2.06
2.378,2.06
2.383,2.06
2.388,2.06
2.393,2.06
2.398,2.06
2.403,2.06
2.408,2.06
2.413,2.06
2.418,2.06
2.423,2.06
2.428,2.06
2.433,2.06
2.438,2.06
2.443,2.06
2.448,2.06
2.453,2.06
2.458,2.06
2.463,2.06
2.468,2.06
2.473,2.06
2.478,2.06
2.483,2.06
2.488,2.06
2.493,2.06
2.498,2.06
2.503,2.06
2.508,2.06
2.513,2.06
2.518,2.06
2.523,2.06
2.528,2.05
2.533,2.06
2.538,2.06
2.543,2.06
2.548,2.06
2.553,2.06
2.558,2.06
2.563,2.06
2.568,2.06
2.573,2.06
2.578,2.06
2.583,2.06
2.588,2.04
2.593,2.06
2.598,2.06
2.603,2.06
2.608,2.06
2.613,2.06
2.618,2.06
2.623,2.06
2.628,2.06
2.633,2.06
2.638,2.06
2.643,2.06
2.648,2.06
2.653,2.06
2.658,2.04
2.663,2.06
2.668,2.06
2.673,2.07
2.678,2.06
2.683,2.02
2.688,2.06
2.693,2.06
2.698,2.06
2.703,2.06
2.707,2.06
2.713,2.06
2.717,2.07
2.723,2.06
2.727,2.06
2.733,2.06
2.738,2.06
2.743,2.06
2.747,2.06
2.753,2.06
2.757,2.06
2.763,2.06
2.767,2.06
2.772,2.06
2.777,2.06
2.782,2.06
2.787,2.06
2.792,2.06
2.797,2.06
2.803,2.06
2.807,2.06
2.813,2.06
2.817,2.06
2.822,2.06
2.827,2.06
2.832,2.06
2.837,2.06
2.842,2.06
2.847,2.06
2.852,2.06
2.857,2.05
2.863,2.06
2.867,2.06
2.872,2.06
2.877,2.06
2.882,2.06
2.887,2.06
2.892,2.06
2.897,2.06
2.902,2.06
2.908,2.06
2.912,2.06
2.917,2.06
2.922,2.06
2.927,2.06
2.932,2.06
2.937,2.06
2.942,2.06
2.947,2.06
2.952,2.0
2.957,2.06
2.962,2.06
2.967,2.06
2.972,2.06
2.977,2.06
2.982,2.06
2.987,2.06
2.992,2.06
2.997,2.06
3.002,2.06
3.007,2.06
3.012,2.01
3.017,2.06
3.022,2.06
3.027,2.06
3.032,2.06
3.037,2.06
3.042,2.06
3.047,2.06
3.052,2.06
3.057,2.06
3.062,2.06
3.067,2.06
3.072,2.06
3.077,2.06
3.082,2.06
3.087,2.06
3.092,2.06
3.097,2.06
3.102,2.06
3.107,1.87
3.112,2.03
3.117,2.06
3.122,2.06
3.127,2.06
3.132,2.06
3.137,2.06
3.142,2.06
3.147,2.06
3.152,2.06
3.157,2.06
3.162,2.06
3.167,2.06
3.172,2.06
3.177,2.06
3.182,2.06
3.187,2.04
3.192,2.06
3.197,2.06
3.202,2.06
3.207,2.06
3.212,2.06
3.217,2.06
3.222,2.06
3.227,2.06
3.232,2.06
3.237,2.06
3.242,2.06
3.247,2.06
3.252,2.06
3.257,2.06
3.262,2.06
3.267,2.06
3.272,2.06
3.277,2.06
3.282,2.05
3.287,2.05
3.292,2.06
3.297,2.06
3.302,2.06
3.307,2.06
3.312,2.06
3.317,2.06
3.322,2.06
3.327,2.06
3.332,2.06
3.337,2.06
3.342,2.06
3.347,2.06
3.352,2.06
3.357,2.06
3.362,2.06
3.367,2.06
3.372,2.06
3.377,2.06
3.382,2.06
3.387,2.06
3.392,2.06
3.397,2.06
3.402,2.06
3.407,2.06
3.412,2.06
3.417,2.06
3.422,2.06
3.427,2.06
3.432,2.06
3.437,2.06
3.442,2.06
3.447,2.06
3.452,2.06
3.457,2.06
3.462,2.06
3.467,2.06
3.472,2.06
3.477,2.06
3.482,2.06
3.487,2.06
3.492,2.06
3.497,2.06
3.502,2.06
3.507,2.06
3.512,2.06
3.517,2.05
3.522,2.06
3.527,2.06
3.532,2.06
3.537,2.06
3.542,2.06
3.547,2.06
3.552,2.06
3.557,2.06
3.562,2.06
3.567,2.06
3.572,2.06
3.577,2.06
3.582,2.06
3.587,2.06
3.592,2.06
3.597,2.06
3.602,2.06
3.607,2.06
3.612,2.06
3.617,2.06
3.622,2.06
3.627,2.06
3.632,2.06
3.637,1.9
3.642,2.06
3.647,2.06
3.652,2.06
3.657,2.06
3.662,2.06
3.667,2.06
3.672,2.03
3.677,2.06
3.682,2.06
3.687,2.06
3.692,2.06
3.697,2.06
3.702,2.04
3.707,2.06
3.712,2.06
3.717,2.06
3.722,2.06
3.727,2.06
3.732,2.06
3.737,2.05
3.742,2.06
3.747,2.06
3.752,2.06
3.757,2.06
3.762,2.06
3.767,2.06
3.772,2.06
3.777,2.06
3.782,2.06
3.787,2.06
3.792,2.06
3.797,2.06
3.802,2.06
3.807,2.05
3.812,2.06
3.817,2.06
3.822,2.06
3.827,2.06
3.832,2.06
3.837,2.06
3.842,2.06
3.847,2.05
3.852,2.06
3.857,2.06
3.862,2.06
3.867,2.07
3.872,2.06
3.877,2.07
3.882,2.06
3.887,2.06
3.892,2.06
3.897,2.06
3.902,2.06
3.907,2.06
3.912,2.06
3.917,2.06
3.922,2.07
3.927,2.06
3.932,2.06
3.937,2.06
3.942,2.06
3.947,2.06
3.952,2.06
3.957,2.06
3.962,2.06
3.967,2.06
3.972,2.06
3.977,2.06
3.982,2.06
3.987,2.06
3.992,2.06
3.997,2.06
4.002,2.06
4.007,2.06
4.012,2.06
4.017,2.06
4.022,2.06
4.027,2.06
4.032,2.06
4.037,2.06
4.042,2.06
4.046,2.06
4.052,2.06
4.057,2.05
4.062,2.06
4.066,2.06
4.072,2.06
4.076,2.06
4.082,2.06
4.086,2.06
4.092,2.06
4.097,2.06
4.102,2.04
4.106,2.06
4.112,2.06
4.116,2.06
4.122,2.06
4.126,2.06
4.132,2.06
4.136,2.06
4.142,2.06
4.146,2.06
4.152,2.0
4.156,2.05
4.162,2.06
4.166,2.06
4.172,2.06
4.176,2.04
4.182,2.06
4.186,2.06
4.191,2.06
4.196,2.06
4.201,2.06
4.206,2.06
4.211,2.06
4.216,2.03
4.221,2.06
4.226,2.06
4.231,2.06
4.236,2.06
4.241,2.06
4.246,2.06
4.251,2.06
4.256,2.06
4.261,2.05
4.266,2.06
4.271,2.06
4.276,2.06
4.281,2.06
4.286,2.06
4.291,2.06
4.296,2.06
4.301,2.06
4.306,2.06
4.311,2.06
4.316,2.06
4.321,2.06
4.326,2.06
4.331,2.06
4.336,2.06
4.341,2.06
4.346,2.06
4.351,2.06
4.356,2.06
4.361,2.06
4.366,2.06
4.371,2.06
4.376,2.06
4.381,2.06
4.386,2.06
4.391,2.06
4.396,2.06
4.401,2.06
4.406,2.06
4.411,2.06
4.416,2.06
4.421,2.06
4.426,2.06
4.431,2.06
4.436,2.06
4.441,2.06
4.446,2.06
4.451,2.06
4.456,2.06
4.461,2.06
4.466,2.06
