Elapsed Time (s),Value
0.001,1.08
0.006,1.08
0.011,1.08
0.016,1.08
0.021,1.08
0.026,1.88
0.031,1.08
0.036,1.08
0.041,1.08
0.046,1.08
0.051,1.08
0.056,1.08
0.061,1.25
0.066,2.06
0.071,2.06
0.076,2.06
0.081,2.06
0.086,2.06
0.091,2.06
0.096,2.06
0.101,2.06
0.106,2.06
0.111,1.08
0.116,1.08
0.121,1.08
0.126,1.08
0.131,1.08
0.136,1.08
0.141,1.63
0.146,2.06
0.151,2.06
0.156,2.04
0.161,2.04
0.166,2.06
0.171,2.06
0.176,2.06
0.181,2.06
0.186,2.06
0.191,2.06
0.196,2.06
0.201,2.06
0.206,2.06
0.211,2.06
0.216,2.06
0.221,2.06
0.226,2.03
0.231,1.08
0.236,2.06
0.241,2.06
0.246,2.06
0.251,2.06
0.256,2.06
0.261,2.06
0.266,2.06
0.271,2.06
0.276,2.06
0.281,2.06
0.286,2.06
0.291,2.06
0.296,2.06
0.301,2.06
0.306,2.06
0.311,2.06
0.316,2.06
0.321,2.06
0.326,2.06
0.331,2.05
0.336,2.06
0.341,1.08
0.346,1.08
0.351,1.08
0.356,1.08
0.361,2.06
0.366,2.06
0.371,2.06
0.376,2.06
0.381,2.06
0.386,2.06
0.391,2.06
0.396,2.06
0.401,2.06
0.406,2.06
0.411,2.06
0.416,2.06
0.421,2.06
0.426,2.06
0.431,2.06
0.436,2.06
0.441,2.06
0.446,2.06
0.451,2.06
0.456,1.88
0.461,2.06
0.466,2.06
0.471,2.06
0.476,2.06
0.480,2.06
0.486,2.05
0.490,2.06
0.496,2.06
0.501,2.06
0.506,2.06
0.510,2.06
0.516,2.06
0.520,2.06
0.526,2.06
0.530,2.06
0.536,2.06
0.540,2.06
0.546,2.06
0.550,2.06
0.556,2.06
0.561,2.06
0.566,2.06
0.570,2.06
0.576,1.08
0.581,1.08
0.586,1.08
0.590,1.08
0.596,1.08
0.600,1.16
0.605,2.06
0.611,1.08
0.616,1.08
0.621,1.08
0.626,1.08
0.631,1.08
0.636,1.08
0.641,2.05
0.646,1.08
0.651,1.08
0.656,1.08
0.661,1.08
0.666,1.08
0.671,1.08
0.675,1.88
0.681,2.05
0.686,1.64
0.690,1.64
0.695,1.11
0.700,1.16
0.706,2.06
0.710,2.06
0.715,2.06
0.720,2.06
0.725,2.06
0.730,2.06
0.736,2.06
0.740,2.06
0.745,2.06
0.750,2.06
0.755,2.06
0.760,2.06
0.765,2.06
0.770,2.06
0.775,2.06
0.780,2.06
0.785,2.06
0.790,2.06
0.795,2.06
0.800,1.08
0.805,1.08
0.810,1.08
0.815,1.08
0.820,1.63
0.825,2.06
0.830,2.06
0.835,2.06
0.840,2.06
0.845,2.06
0.850,2.06
0.855,2.06
0.860,2.06
0.865,2.06
0.870,2.06
0.875,2.06
0.880,2.06
0.885,2.06
0.890,2.06
0.895,2.06
0.900,2.06
0.905,2.06
0.910,2.06
0.915,1.64
0.920,2.06
0.925,2.07
0.930,2.06
0.935,2.06
0.940,2.06
0.945,2.06
0.950,2.06
0.955,1.96
0.960,2.06
0.965,2.06
0.970,2.06
0.975,2.06
0.980,2.06
0.985,2.06
0.990,2.06
0.995,2.06
1.000,2.06
1.005,2.06
1.010,2.06
1.015,2.06
1.020,2.06
1.025,2.06
1.030,1.08
1.035,2.06
1.040,2.06
1.045,2.06
1.050,2.06
1.055,2.06
1.060,2.06
1.065,1.84
1.070,2.06
1.075,2.06
1.080,2.06
1.085,2.06
1.090,2.06
1.095,2.06
1.100,2.06
1.105,2.06
1.110,2.06
1.115,2.06
1.120,2.06
1.125,2.06
1.130,2.06
1.135,2.06
1.140,2.06
1.145,1.63
1.150,2.06
1.155,1.08
1.160,1.08
1.165,1.08
1.170,1.08
1.175,1.08
1.180,2.06
1.185,1.08
1.190,1.08
1.195,1.08
1.200,1.08
1.205,1.08
1.210,1.08
1.215,1.73
1.220,1.08
1.225,1.08
1.230,1.08
1.235,1.08
1.240,1.08
1.245,1.08
1.250,1.08
1.255,2.06
1.260,2.06
1.265,1.08
1.270,1.08
1.275,1.08
1.280,1.09
1.285,1.95
1.290,2.06
1.295,2.06
1.300,2.06
1.305,2.06
1.310,2.06
1.315,2.06
1.320,2.06
1.325,2.07
1.330,2.06
1.335,2.06
1.340,2.06
1.345,2.06
1.350,2.06
1.355,2.06
1.360,2.06
1.365,2.06
1.370,2.06
1.375,1.68
1.380,1.94
1.385,2.06
1.390,2.06
1.395,2.06
1.400,2.06
1.405,2.06
1.410,2.06
1.415,2.06
1.420,2.06
1.425,2.06
1.430,2.06
1.435,2.06
1.440,2.06
1.445,2.06
1.450,2.06
1.455,2.06
1.460,2.06
