Elapsed Time (s),Value
0.003,1.08
0.008,1.08
0.012,1.08
0.018,1.08
0.022,1.08
0.028,1.08
0.032,1.08
0.037,1.08
0.042,1.08
0.047,1.08
0.052,1.08
0.057,2.05
0.062,2.06
0.067,1.61
0.072,2.05
0.077,2.06
0.082,1.59
0.087,2.0
0.092,2.06
0.097,1.98
0.102,1.69
0.107,1.08
0.112,1.08
0.117,1.08
0.122,1.08
0.127,1.08
0.132,1.08
0.137,1.08
0.142,1.08
0.147,1.08
0.152,1.08
0.157,1.08
0.162,1.08
0.167,1.09
0.172,1.99
0.177,1.96
0.182,1.57
0.187,2.02
0.192,2.06
0.197,2.06
0.202,1.66
0.207,2.06
0.212,2.06
0.217,1.86
0.222,1.09
0.227,2.06
0.232,1.83
0.237,1.72
0.242,1.62
0.247,2.07
0.252,2.0
0.257,2.05
0.262,2.06
0.267,1.86
0.272,1.99
0.277,2.06
0.282,1.98
0.287,1.45
0.292,2.06
0.297,2.06
0.302,1.83
0.307,2.04
0.312,2.06
0.317,1.66
0.322,1.96
0.327,2.06
0.332,2.06
0.337,1.41
0.342,2.0
0.347,1.81
0.352,1.57
0.357,2.05
0.362,2.06
0.367,1.68
0.372,1.8
0.377,2.06
0.382,2.06
0.387,1.44
0.392,2.06
0.397,2.06
0.402,1.54
0.407,2.05
0.412,2.06
0.417,1.83
0.422,1.79
0.427,2.06
0.432,2.06
0.437,1.6
0.442,2.05
0.447,2.06
0.452,1.55
0.457,1.08
0.462,2.07
0.467,1.79
0.472,1.69
0.477,2.06
0.482,2.03
0.487,1.55
0.492,2.05
0.497,2.06
0.502,1.48
0.507,1.98
0.512,2.06
0.517,1.97
0.522,1.58
0.527,2.06
0.532,1.95
0.537,1.42
0.542,2.05
0.547,2.07
0.552,1.5
0.557,2.06
0.562,2.06
0.567,1.86
0.572,1.65
0.577,2.06
0.582,2.06
0.587,1.85
0.592,2.03
0.597,2.06
0.602,1.77
0.607,1.87
0.612,2.06
0.617,2.06
0.622,2.0
0.627,2.05
0.632,2.06
0.637,1.85
0.642,1.97
0.647,1.44
0.652,1.92
0.657,1.46
0.662,1.83
0.667,2.06
0.672,1.83
0.677,2.05
0.682,1.66
0.687,1.08
0.692,1.08
0.697,1.08
0.702,1.95
0.707,1.41
0.712,2.06
0.717,2.06
0.722,1.57
0.727,2.05
0.732,2.06
0.737,1.64
0.742,1.91
0.747,2.06
0.752,2.05
0.757,1.44
0.762,1.32
0.767,2.07
0.772,1.54
0.777,2.05
0.782,2.06
0.787,1.8
0.792,1.91
0.797,1.08
0.802,1.66
0.807,1.6
0.812,2.06
0.817,2.06
0.822,1.56
0.827,2.04
0.832,2.06
0.837,1.67
0.842,1.82
0.847,2.04
0.852,2.06
0.857,1.55
0.862,1.85
0.867,2.06
0.872,1.45
0.877,2.02
0.882,2.06
0.887,1.84
0.892,1.58
0.897,2.06
0.902,2.06
0.907,1.42
0.912,1.66
0.917,1.08
0.922,1.45
0.927,1.08
0.932,1.09
0.937,1.09
0.942,1.08
0.947,1.08
0.952,1.08
0.957,1.6
0.962,1.08
0.967,2.06
0.972,1.09
0.977,1.08
0.983,1.68
0.987,2.06
0.992,2.0
0.997,2.06
1.002,2.06
1.007,1.84
1.012,2.04
1.017,2.06
1.022,1.87
1.027,1.73
1.032,1.08
1.037,1.08
1.042,1.08
1.047,1.08
1.052,1.09
1.057,1.09
1.062,2.03
1.067,1.08
1.072,1.08
1.077,1.08
1.082,1.09
1.087,1.09
1.092,1.56
1.097,2.06
1.102,2.06
1.107,1.62
1.112,1.98
1.117,2.06
1.122,1.89
1.127,1.44
1.132,2.06
1.137,2.06
1.142,1.53
1.147,1.77
1.152,2.06
1.157,1.78
1.162,1.97
1.167,1.61
1.172,2.06
1.177,1.6
1.182,2.06
1.187,2.06
1.192,1.56
1.197,2.05
1.202,2.06
1.206,1.62
1.212,1.92
1.217,2.06
1.222,2.06
1.226,1.55
1.232,2.06
1.236,2.06
1.242,1.44
1.246,2.04
1.252,2.06
1.256,1.75
1.262,1.08
1.266,1.08
1.272,1.87
1.276,1.08
1.282,1.66
1.286,2.05
1.292,1.44
1.296,2.06
1.302,2.06
1.307,1.82
1.312,1.66
1.316,2.06
1.322,2.07
1.326,1.85
1.332,2.05
1.336,2.05
1.342,1.71
1.346,2.01
1.352,2.06
1.357,1.83
1.362,2.01
1.366,2.06
1.372,2.06
1.376,1.08
1.381,2.05
1.386,2.06
1.391,1.85
1.396,1.9
1.401,2.07
1.406,2.05
1.411,1.82
1.416,2.06
1.421,1.89
1.426,1.62
1.431,2.05
1.436,2.06
1.441,1.82
1.446,1.8
1.451,2.06
1.456,2.06
1.462,1.56
1.466,2.06
1.471,2.06
1.476,1.61
1.481,2.02
1.486,2.06
1.491,1.63
1.496,1.65
1.501,2.06
1.506,2.02
1.511,1.53
1.516,2.06
1.521,2.06
1.526,1.76
1.531,2.02
1.536,1.61
1.541,2.06
1.546,1.6
1.551,2.06
1.556,2.06
1.561,1.55
1.566,2.06
1.571,2.06
1.576,1.58
1.581,2.0
1.586,2.06
1.591,1.94
1.596,1.55
1.601,2.06
1.606,1.68
1.611,1.41
1.616,2.05
1.621,2.06
1.626,1.7
1.631,1.87
1.636,2.06
1.641,2.05
1.646,1.42
1.651,1.31
1.656,2.06
1.661,1.43
1.666,2.06
1.671,2.06
1.676,1.75
1.681,1.88
1.686,2.06
1.691,1.87
1.696,1.84
1.701,2.06
1.706,2.06
1.711,1.69
1.716,2.04
1.721,1.42
1.726,1.54
1.731,2.01
1.736,2.06
1.741,2.06
1.746,1.84
1.752,2.05
1.756,2.06
1.761,1.84
1.766,1.99
1.771,2.06
1.776,1.86
1.781,1.82
1.786,2.06
1.791,1.97
1.796,1.62
1.801,2.06
1.806,2.06
1.811,1.8
1.816,1.94
1.821,2.06
1.826,1.95
1.831,1.56
1.836,2.06
1.841,1.08
1.846,1.08
1.851,1.08
1.856,1.08
1.861,1.08
1.866,1.08
1.871,2.06
1.876,1.08
1.881,1.08
1.886,1.08
1.891,2.05
1.896,1.08
1.901,1.08
1.906,1.26
1.911,1.08
1.916,1.08
1.921,1.08
1.926,1.17
1.931,1.08
1.936,1.08
1.941,2.06
1.946,1.56
1.951,1.09
1.956,1.08
1.961,1.08
1.966,1.08
1.971,1.08
1.976,1.08
1.981,1.43
1.986,2.06
1.991,2.06
1.996,1.68
2.001,1.98
2.006,2.06
2.011,1.71
2.017,1.42
2.021,1.26
2.026,2.06
2.031,1.42
2.036,2.06
2.041,2.06
2.046,1.73
2.051,1.98
2.056,2.06
2.061,1.87
2.066,1.65
2.071,1.1
2.076,1.48
2.081,1.69
2.086,2.05
2.091,2.06
2.096,1.55
2.101,2.05
2.106,2.06
2.111,2.06
2.116,1.85
2.121,2.06
2.126,2.06
2.131,1.84
2.136,2.03
2.141,2.06
2.146,1.77
2.151,1.94
2.156,2.07
2.161,2.06
2.166,1.62
2.171,2.06
2.176,2.06
2.181,1.08
2.186,1.99
2.191,2.06
2.196,1.8
2.201,1.64
2.206,2.06
2.211,1.95
2.216,1.6
2.221,2.06
2.226,2.06
2.231,1.69
2.236,1.98
2.241,2.06
2.246,1.82
2.251,1.53
2.256,2.06
2.261,2.06
2.266,1.74
2.271,2.06
2.276,2.06
2.281,2.06
2.286,1.96
2.291,2.06
2.296,1.65
2.301,1.54
2.306,1.89
2.311,1.89
2.316,1.55
2.321,2.05
2.326,2.06
2.331,1.76
2.336,1.88
2.341,2.06
2.346,2.06
2.351,1.43
2.356,2.06
2.361,2.05
2.366,1.67
2.371,2.04
2.376,2.06
2.381,1.57
2.386,1.7
2.391,2.06
2.396,2.06
2.401,1.42
2.406,2.06
2.411,1.09
2.416,1.65
2.421,2.03
2.426,2.06
2.431,1.63
2.436,1.88
2.441,2.06
2.446,2.06
2.451,1.68
2.456,1.46
2.461,2.06
2.466,1.52
2.471,2.06
2.476,2.06
2.481,1.76
2.486,1.85
2.491,2.06
2.496,2.06
2.501,1.84
