Elapsed Time (s),Value
0.003,2.05
0.008,2.05
0.013,2.05
0.018,2.04
0.023,2.05
0.028,2.05
0.033,2.05
0.038,2.04
0.043,2.07
0.048,2.04
0.053,2.05
0.058,2.05
0.063,2.07
0.068,2.0
0.073,2.06
0.078,2.06
0.084,2.04
0.088,2.04
0.093,2.06
0.098,2.04
0.103,2.04
0.108,2.04
0.113,2.04
0.118,2.04
0.123,2.04
0.128,2.04
0.133,2.04
0.138,2.04
0.143,2.04
0.148,2.04
0.153,2.06
0.158,2.06
0.163,2.06
0.168,2.04
0.173,2.04
0.178,2.04
0.183,2.04
0.188,2.04
0.193,2.04
0.198,2.04
0.203,2.05
0.208,2.04
0.213,2.04
0.218,2.04
0.223,2.05
0.228,2.04
0.233,2.06
0.238,2.06
0.243,2.04
0.248,2.04
0.253,2.05
0.258,2.04
0.263,2.05
0.268,2.04
0.273,2.04
0.278,2.04
0.283,2.04
0.288,2.04
0.293,2.05
0.298,2.04
0.303,2.04
0.308,2.04
0.313,2.06
0.318,2.06
0.323,2.04
0.328,2.03
0.333,2.03
0.338,2.03
0.343,1.97
0.348,2.03
0.353,2.03
0.358,2.03
0.363,2.03
0.368,2.02
0.373,2.04
0.378,2.04
0.383,2.04
0.388,2.05
0.393,2.06
0.398,2.03
0.403,2.05
0.408,2.05
0.413,2.05
0.418,2.04
0.423,2.04
0.428,2.05
0.433,2.04
0.438,2.06
0.443,2.05
0.448,1.95
0.453,2.05
0.458,2.04
0.463,2.05
0.468,2.04
0.473,2.06
0.478,2.06
0.483,2.04
0.488,2.04
0.493,2.06
0.498,2.04
0.503,2.05
0.507,2.04
0.513,2.04
0.518,2.04
0.523,2.05
0.528,2.04
0.533,2.04
0.538,2.04
0.542,2.04
0.548,2.04
0.552,2.03
0.558,2.06
0.562,2.04
0.568,2.04
0.573,2.04
0.578,2.04
0.583,2.04
0.588,2.04
0.593,2.04
0.598,2.04
0.602,2.04
0.608,2.04
0.613,2.04
0.618,2.04
0.623,2.04
0.628,2.04
0.632,2.06
0.638,2.06
0.643,2.04
0.648,2.04
0.653,2.04
0.657,2.04
0.662,2.04
0.667,2.05
0.672,2.04
0.677,2.04
0.682,2.04
0.687,2.04
0.692,2.04
0.697,2.04
0.702,2.04
0.707,2.05
0.712,2.06
0.717,2.06
0.722,2.04
0.727,2.03
0.732,2.04
0.737,2.04
0.742,2.04
0.747,2.04
0.752,2.04
0.757,2.04
0.762,1.98
0.767,2.04
0.772,2.04
0.777,2.04
0.782,2.04
0.787,2.04
0.792,2.06
0.797,2.06
0.802,2.04
0.807,2.04
0.812,2.04
0.817,2.04
0.822,2.04
0.828,2.04
0.832,2.04
0.837,2.04
0.842,2.04
0.847,2.04
0.852,2.04
0.857,2.04
0.862,2.04
0.867,2.04
0.872,2.04
0.877,2.06
0.882,2.01
0.887,2.06
0.892,2.04
0.897,2.04
0.902,2.04
0.907,2.04
