Elapsed Time (s),Value
0.002,1.69
0.007,1.3
0.012,2.06
0.017,1.57
0.022,2.04
0.027,2.06
0.032,1.65
0.037,1.86
0.042,2.06
0.047,2.06
0.052,1.79
0.057,2.06
0.062,2.06
0.067,1.72
0.072,2.04
0.077,2.02
0.082,1.69
0.087,1.8
0.092,2.06
0.097,2.05
0.102,1.75
0.107,2.05
0.112,2.06
0.117,1.86
0.122,1.98
0.127,2.06
0.132,2.0
0.137,1.75
0.142,2.06
0.147,2.06
0.152,1.71
0.157,2.05
0.162,2.06
0.167,1.76
0.172,1.93
0.177,2.06
0.182,2.01
0.187,1.51
0.192,2.06
0.197,2.06
0.202,1.66
0.207,2.04
0.212,2.06
0.217,1.75
0.222,1.87
0.227,2.06
0.232,2.06
0.237,1.54
0.242,2.06
0.247,2.06
0.252,1.52
0.257,2.04
0.262,2.06
0.267,1.91
0.272,1.75
0.277,2.06
0.282,2.06
0.287,1.65
0.292,2.05
0.297,1.65
0.302,1.64
0.307,2.02
0.312,2.06
0.317,1.89
0.322,1.59
0.327,2.06
0.332,2.06
0.337,1.49
0.342,2.05
0.347,2.03
0.352,1.55
0.357,2.0
0.362,2.06
0.367,1.88
0.372,1.7
0.377,2.06
0.382,2.06
0.387,1.64
0.392,2.05
0.397,2.06
0.402,1.65
0.407,1.93
0.412,1.3
0.417,2.05
0.422,1.68
0.427,2.06
0.432,2.06
0.437,1.6
0.442,2.04
0.447,2.06
0.452,1.66
0.457,1.84
0.462,2.06
0.467,2.06
0.472,1.91
0.477,2.05
0.482,2.06
0.487,1.63
0.492,2.01
0.497,2.06
0.502,1.72
0.507,1.84
0.512,2.06
0.517,2.05
0.522,1.65
0.527,1.71
0.532,2.06
0.537,1.66
0.542,1.97
0.547,2.06
0.552,1.91
0.557,1.6
0.562,2.06
0.567,2.06
0.572,1.74
0.577,2.05
0.582,2.05
0.587,1.68
0.592,1.94
0.597,2.06
0.602,2.01
0.607,1.56
0.612,2.06
0.617,2.06
0.622,1.54
0.627,2.04
0.632,2.06
0.637,1.88
0.642,1.87
0.647,2.05
0.652,2.03
0.657,1.57
0.662,2.06
0.667,2.06
0.672,1.59
0.677,2.04
0.682,2.06
0.687,1.91
0.692,1.72
0.697,2.06
0.702,2.02
0.707,1.55
0.712,2.05
0.717,2.05
0.722,1.57
0.727,2.03
0.732,2.05
0.737,1.76
0.742,1.72
0.747,2.06
0.752,2.06
0.757,1.55
0.762,2.05
0.767,2.06
0.772,1.6
0.777,1.99
0.782,2.06
0.787,1.89
0.792,1.59
0.797,2.06
0.802,2.06
0.807,1.64
0.812,2.05
0.817,1.38
0.822,1.62
0.827,1.94
0.832,2.06
0.837,2.06
0.842,1.62
0.847,2.05
0.852,2.06
0.857,1.74
0.862,2.03
0.867,2.06
0.872,1.64
0.877,1.83
0.882,2.06
0.887,2.06
0.892,1.65
0.897,1.45
0.902,2.06
0.907,1.68
0.912,2.02
0.917,2.06
0.922,1.83
0.927,1.68
0.932,2.06
0.937,2.06
0.942,1.58
0.947,2.05
0.952,2.06
0.957,1.63
