Elapsed Time (s),Value
0.000,2.06
0.005,2.06
0.010,2.06
0.015,2.06
0.020,2.06
0.025,2.06
0.030,2.06
0.035,2.06
0.040,2.06
0.045,2.06
0.050,2.06
0.055,2.06
0.060,2.06
0.065,2.06
0.070,2.06
0.075,2.06
0.080,2.06
0.085,2.06
0.090,2.06
0.095,2.06
0.100,2.06
0.105,2.06
0.110,2.06
0.115,2.05
0.120,2.06
0.125,2.06
0.130,2.06
0.135,2.06
0.140,2.06
0.145,2.06
0.150,2.07
0.155,2.06
0.160,2.06
0.165,2.06
0.170,2.04
0.175,2.06
0.180,2.07
0.185,2.06
0.190,2.06
0.195,2.07
0.200,2.06
0.205,2.06
0.210,2.06
0.215,2.06
0.220,2.06
0.225,2.06
0.230,2.06
0.235,2.07
0.240,2.06
0.245,2.07
0.250,2.07
0.255,2.07
0.260,1.98
0.265,2.07
0.270,2.02
0.275,2.06
0.280,2.06
0.285,2.06
0.290,2.06
0.295,2.06
0.300,2.06
0.305,2.06
0.310,2.06
0.315,2.06
0.320,2.06
0.325,2.06
0.330,2.05
0.335,2.06
0.340,2.06
0.345,2.06
0.350,2.06
0.355,2.06
0.360,2.06
0.365,2.06
0.370,2.06
0.375,2.06
0.380,2.06
0.385,2.06
0.390,2.06
0.395,2.06
0.400,2.06
0.405,2.06
0.410,2.07
0.415,2.06
0.420,2.07
0.425,2.06
0.430,2.07
0.435,2.06
0.440,2.06
0.445,2.05
0.450,2.07
0.455,2.06
0.460,2.06
0.465,2.06
0.470,2.06
0.475,2.06
0.480,2.07
0.485,2.06
0.490,2.06
0.495,2.06
0.500,2.07
0.505,2.06
0.509,2.06
0.515,2.06
0.519,2.06
0.525,2.06
0.530,2.06
0.535,2.06
0.539,2.06
0.545,2.06
0.549,2.06
0.555,2.06
0.559,2.06
0.565,2.06
0.569,2.06
0.575,2.06
0.580,2.06
0.585,2.06
0.590,2.06
0.595,2.06
0.599,2.06
0.605,2.06
0.609,2.06
0.615,2.06
0.620,2.06
0.625,2.06
0.629,2.06
0.635,2.06
0.640,2.06
0.645,2.06
0.650,2.06
0.655,2.06
0.660,2.06
0.665,1.87
0.669,2.06
0.674,2.06
0.679,2.06
0.684,2.06
0.689,2.06
0.694,2.06
0.699,2.07
0.704,2.07
0.709,2.06
