Elapsed Time (s),Value
0.002,1.88
0.007,1.95
0.012,1.84
0.017,1.82
0.022,1.93
0.027,1.86
0.032,1.9
0.037,1.81
0.042,1.82
0.047,1.96
0.052,1.97
0.057,1.91
0.062,1.9
0.067,1.89
0.072,1.82
0.077,1.95
0.082,1.94
0.087,1.96
0.092,1.95
0.097,1.96
0.102,1.95
0.107,1.96
0.112,1.95
0.117,1.95
0.122,1.86
0.127,1.94
0.132,1.95
0.137,1.95
0.142,1.95
0.147,1.9
0.152,1.94
0.157,1.95
0.162,1.92
0.167,1.83
0.172,1.94
0.177,1.94
0.182,1.92
0.187,1.91
0.192,1.94
0.197,1.94
0.202,1.9
0.207,1.93
0.212,1.9
0.217,1.84
0.222,1.92
0.227,1.86
0.232,1.94
0.238,1.92
0.242,1.92
0.248,1.92
0.252,1.92
0.257,1.94
0.262,1.86
0.267,1.93
0.272,1.94
0.277,1.84
0.282,1.76
0.287,1.85
0.292,1.93
0.297,1.84
0.302,1.82
0.307,1.87
0.312,1.88
0.317,1.85
0.322,1.85
0.327,1.88
0.332,1.81
0.337,1.92
0.342,1.88
0.347,1.92
0.352,1.92
0.357,1.91
0.362,1.92
0.367,1.91
0.372,1.92
0.377,1.92
0.382,1.8
0.387,1.92
0.392,1.91
0.397,1.91
0.402,1.91
0.407,1.88
0.412,1.91
0.417,1.93
0.422,1.93
0.427,1.92
0.432,1.93
0.437,1.87
0.442,1.87
0.447,1.83
0.452,1.9
0.457,1.93
0.462,1.94
0.467,1.92
0.472,1.93
0.477,1.94
0.482,1.92
0.487,1.89
0.492,1.92
0.497,1.92
0.502,1.92
0.507,1.94
0.512,1.92
0.517,1.94
0.522,1.93
0.527,1.93
0.532,1.91
0.537,1.92
0.542,1.93
0.547,1.94
0.552,1.94
0.557,1.93
0.562,1.95
0.567,1.95
0.572,1.91
0.577,1.88
0.582,1.92
0.587,1.9
0.592,1.59
0.597,1.86
0.602,1.89
0.607,1.95
0.612,1.92
0.617,1.85
0.622,1.93
0.627,1.91
0.632,1.87
0.637,1.91
0.642,1.91
0.647,1.88
0.652,1.89
0.657,1.82
0.662,1.85
0.667,1.92
0.672,1.9
0.677,1.88
0.682,1.92
0.687,1.92
0.692,1.89
0.697,1.9
0.702,1.92
0.707,1.92
0.712,1.89
0.717,1.93
0.722,1.94
0.727,1.89
0.732,1.89
0.737,1.82
0.742,1.84
0.747,1.83
0.752,1.84
0.757,1.81
0.762,1.91
0.767,1.89
0.772,1.87
0.777,1.84
0.782,1.83
0.787,1.84
0.792,1.84
0.797,1.84
0.802,1.85
0.807,1.49
0.811,1.89
0.817,1.89
0.821,1.88
0.827,1.89
0.832,1.89
0.837,1.9
0.842,1.86
0.847,1.88
0.852,1.9
0.857,1.85
0.862,1.89
0.867,1.85
0.872,1.88
0.877,1.9
0.882,1.89
0.886,1.89
0.892,1.89
0.896,1.9
0.902,1.92
0.907,1.66
0.912,1.91
0.917,1.86
0.922,1.91
0.927,1.85
0.932,1.92
0.937,1.93
0.941,1.87
0.946,1.91
0.952,1.91
0.956,1.89
0.962,1.92
0.966,1.88
0.972,1.86
0.976,1.9
0.982,1.9
0.986,1.78
0.991,1.92
0.996,1.87
1.001,1.89
1.006,1.87
1.011,1.91
1.016,1.92
1.021,1.9
1.026,1.92
1.031,1.86
1.036,1.92
1.041,1.84
1.046,1.87
1.051,1.9
1.057,1.89
1.061,1.9
1.066,1.91
1.071,1.88
1.076,1.85
1.081,1.92
1.088,1.84
1.092,1.91
1.097,1.87
1.102,1.85
1.107,1.87
1.112,1.88
1.117,1.85
1.122,1.92
1.127,1.87
1.132,1.89
1.139,1.92
1.144,1.9
1.147,1.91
1.151,1.91
1.159,1.87
1.161,1.91
1.166,1.92
1.172,1.91
1.176,1.89
1.181,1.92
1.186,1.89
1.192,1.8
1.196,1.9
1.201,1.87
1.206,1.92
1.211,1.89
1.216,1.71
1.221,1.92
1.226,1.93
1.231,1.91
1.236,1.92
1.241,1.87
1.247,1.92
1.252,1.91
1.257,1.88
1.261,1.87
1.266,1.91
1.272,1.91
1.276,1.91
1.281,1.91
1.287,1.91
1.292,1.83
1.299,1.86
1.303,1.9
1.306,1.91
1.311,1.9
1.316,1.9
1.322,1.9
1.326,1.62
1.331,1.9
1.337,1.9
1.341,1.9
1.346,1.91
1.352,1.89
1.356,1.9
1.361,1.91
1.366,1.91
1.371,1.92
1.376,1.93
1.381,1.92
1.387,1.89
1.391,1.91
1.396,1.92
1.401,1.92
1.406,1.89
1.411,1.88
1.416,1.93
1.421,1.92
1.426,1.93
1.432,1.93
1.436,1.91
1.441,1.91
1.446,1.92
1.451,1.92
1.456,1.92
1.461,1.9
1.466,1.94
1.471,1.93
1.476,1.93
1.481,1.9
1.486,1.94
1.491,1.93
1.496,1.89
1.501,1.85
1.506,1.94
1.511,1.85
1.516,1.88
1.522,1.92
1.526,1.93
1.531,1.92
1.536,1.93
1.541,1.92
1.546,1.92
1.551,1.93
1.556,1.93
1.562,1.94
1.566,1.94
1.571,1.91
1.576,1.93
1.581,1.83
1.586,1.93
1.591,1.91
1.596,1.94
1.601,1.93
1.606,1.91
1.611,1.93
1.616,1.92
1.621,1.9
1.626,1.94
1.631,1.93
1.636,1.78
1.642,1.96
1.646,1.85
1.651,1.89
1.657,1.93
1.661,1.93
1.666,1.94
1.671,1.82
1.676,1.95
1.681,1.92
1.686,1.94
1.691,1.89
1.697,1.93
1.701,1.88
1.706,1.91
1.711,1.92
1.716,1.89
1.721,1.92
1.726,1.94
1.732,1.92
1.736,1.94
1.741,1.92
1.746,1.94
1.751,1.93
1.756,1.94
1.761,1.93
1.766,1.92
1.771,1.91
1.776,1.85
1.781,1.89
1.786,1.89
1.791,1.94
1.796,1.92
1.801,1.92
1.806,1.93
1.811,1.77
1.816,1.89
1.821,1.9
1.826,1.94
1.831,1.92
1.836,1.94
1.841,1.92
1.846,1.93
1.851,1.91
1.856,1.93
1.861,1.91
1.866,1.93
1.871,1.93
1.876,1.96
1.881,1.93
1.886,1.85
1.891,1.81
1.896,1.91
1.901,1.9
1.906,1.92
1.911,1.95
1.916,1.95
1.921,1.95
1.926,1.95
1.931,1.87
1.936,1.93
1.941,1.91
1.946,1.91
1.951,1.92
1.956,1.48
1.961,1.93
1.966,1.93
1.971,1.92
1.976,1.92
1.981,1.93
1.986,1.96
1.991,1.88
1.996,1.93
2.001,1.94
2.006,1.94
2.011,1.93
2.016,1.92
2.021,1.9
2.026,1.94
2.031,1.89
2.036,1.93
2.041,1.92
2.046,1.94
2.051,1.91
2.056,1.93
2.061,1.93
2.066,1.92
2.071,1.91
2.076,1.93
2.081,1.92
2.086,1.93
2.091,1.92
2.096,1.93
2.101,1.88
2.106,1.87
2.111,1.92
2.116,1.87
2.121,1.93
2.126,1.73
2.131,1.94
2.136,1.94
2.141,1.95
2.146,1.91
2.151,1.92
2.156,1.9
2.161,1.93
2.166,1.95
2.171,1.92
2.176,1.94
2.181,1.94
2.186,1.93
2.191,1.94
2.196,1.93
2.201,1.92
2.206,1.94
2.211,1.94
2.216,1.94
2.221,1.74
2.226,1.94
2.231,1.52
2.236,1.95
2.241,1.93
2.246,1.91
2.251,1.92
2.256,1.9
2.261,1.91
2.266,1.87
2.271,1.9
2.276,1.9
2.281,1.91
2.286,1.93
2.291,1.92
2.296,1.92
2.301,1.9
2.306,1.92
2.311,1.91
2.316,1.89
2.321,1.92
2.326,1.9
2.331,1.92
2.336,1.93
2.341,1.92
2.346,1.92
2.351,1.92
2.356,1.9
2.361,1.85
2.366,1.93
2.371,1.91
2.376,1.87
2.381,1.93
2.386,1.94
2.391,1.93
2.396,1.89
2.402,1.94
2.406,1.94
2.411,1.89
2.416,1.92
2.421,1.91
2.426,1.94
2.431,1.88
2.436,1.89
2.441,1.89
2.446,1.95
2.451,1.89
2.456,1.93
2.461,1.94
2.466,1.94
2.471,1.93
2.476,1.93
2.484,1.92
2.486,1.93
2.491,1.91
2.496,1.92
2.501,1.91
2.506,1.94
