Elapsed Time (s),Value
0.004,1.93
0.009,1.9
0.014,1.66
0.019,1.92
0.024,1.96
0.029,1.72
0.034,1.93
0.039,1.91
0.044,1.65
0.049,1.87
0.054,1.92
0.059,1.96
0.064,1.62
0.069,1.96
0.074,1.93
0.079,1.64
0.084,1.94
0.089,1.95
0.094,1.69
0.099,1.82
0.104,1.97
0.109,1.93
0.114,1.8
0.119,1.98
0.124,1.94
0.129,1.79
0.134,1.93
0.139,1.95
0.144,1.73
0.149,1.68
0.154,1.96
0.159,1.95
0.164,1.86
0.169,1.96
0.174,1.94
0.179,1.73
0.184,1.88
0.189,1.95
0.194,1.84
0.198,1.56
0.204,1.95
0.208,1.96
0.214,1.78
0.219,1.95
0.224,1.97
0.229,1.58
0.234,1.88
0.238,1.97
0.244,1.94
0.248,1.72
0.254,1.91
0.258,1.96
0.264,1.74
0.268,1.94
0.273,1.96
0.279,1.78
0.283,1.83
0.288,1.95
0.293,1.96
0.298,1.66
0.303,1.98
0.308,1.96
0.313,1.68
0.318,1.94
0.323,1.98
0.328,1.8
0.333,1.78
0.338,1.96
0.343,1.95
0.348,1.7
0.353,1.95
0.358,1.94
0.363,1.68
0.368,1.93
0.373,1.91
0.378,1.89
0.383,1.66
0.388,1.95
0.393,1.93
0.398,1.71
0.403,1.95
0.408,1.95
0.413,1.63
0.418,1.88
0.423,1.94
0.428,1.94
0.433,1.62
0.438,1.95
0.443,1.92
0.448,1.64
0.453,1.93
0.458,1.95
0.463,1.68
0.478,1.83
0.478,1.93
0.478,1.96
0.485,1.8
0.488,1.95
0.493,1.95
0.498,1.8
0.503,1.87
0.508,1.95
0.513,1.71
0.518,1.7
0.523,1.93
0.528,1.54
0.533,1.85
0.538,1.95
0.543,1.95
0.550,1.72
0.553,1.91
0.558,1.92
0.563,1.83
0.568,1.56
0.573,1.91
0.578,1.96
0.583,1.78
0.588,1.87
0.593,1.85
0.598,1.58
0.604,1.9
0.608,1.96
0.613,1.9
0.618,1.72
0.623,1.93
0.628,1.96
0.633,1.54
0.638,1.96
0.643,1.93
0.648,1.77
0.653,1.83
0.658,1.96
0.663,1.91
0.668,1.66
0.673,1.83
0.678,1.92
0.683,1.66
0.688,1.94
0.693,1.9
0.698,1.79
0.703,1.76
0.708,1.95
0.713,1.87
0.718,1.71
0.723,1.9
0.728,1.87
0.733,1.67
0.739,1.91
0.743,1.89
0.748,1.88
0.753,1.66
0.758,1.96
0.763,1.88
0.768,1.7
0.773,1.9
0.778,1.84
0.783,1.64
0.788,1.9
0.793,1.9
0.798,1.91
0.803,1.62
0.808,1.96
0.813,1.9
0.818,1.64
0.823,1.89
0.828,1.93
0.833,1.67
0.838,1.83
0.843,1.71
0.848,1.96
0.853,1.78
0.858,1.94
0.863,1.89
0.868,1.8
0.873,1.87
0.878,1.94
0.883,1.71
0.888,1.75
0.893,1.85
0.898,1.94
0.903,1.8
0.908,1.95
0.913,1.85
0.918,1.72
0.923,1.82
0.928,1.96
0.933,1.73
0.938,1.56
0.943,1.81
0.948,1.95
0.953,1.7
0.958,1.95
0.963,1.83
0.968,1.57
0.973,1.79
0.978,1.95
0.983,1.85
0.988,1.72
0.993,1.87
0.998,1.96
1.003,1.72
1.008,1.95
1.013,1.92
1.018,1.75
1.023,1.87
1.028,1.93
1.033,1.95
1.038,1.65
1.043,1.96
1.048,1.95
1.053,1.67
1.058,1.95
1.063,1.95
1.068,1.78
1.073,1.81
1.078,1.96
1.083,1.97
1.088,1.7
1.093,1.96
1.098,1.97
1.103,1.69
1.108,1.89
1.113,1.93
1.118,1.88
1.123,1.68
1.128,1.96
1.133,1.95
1.138,1.7
1.143,1.92
1.148,1.97
1.153,1.64
1.159,1.87
1.163,1.97
1.168,1.86
1.173,1.62
1.178,1.95
1.183,1.97
1.188,1.64
1.193,1.95
1.198,1.96
1.203,1.67
1.208,1.89
1.213,1.93
1.218,1.93
1.223,1.82
1.228,1.96
1.233,1.95
1.238,1.79
1.243,1.95
1.248,1.97
1.253,1.69
1.258,1.8
1.263,1.97
1.268,1.92
1.273,1.85
1.278,1.95
1.283,1.98
1.288,1.72
1.293,1.94
1.298,1.95
1.302,1.79
1.308,1.64
1.312,1.95
1.318,1.97
1.322,1.78
1.328,1.97
1.333,1.95
1.338,1.57
1.342,1.92
1.348,1.92
1.353,1.84
1.358,1.72
1.362,1.97
1.367,1.97
1.372,1.75
1.377,1.95
1.382,1.9
1.387,1.76
1.392,1.89
1.397,1.94
1.402,1.93
1.407,1.65
1.412,1.96
1.417,1.96
1.422,1.68
1.427,1.91
1.432,1.95
1.437,1.76
1.442,1.86
1.447,1.95
1.452,1.95
1.457,1.69
1.462,1.96
1.467,1.97
1.472,1.69
1.477,1.94
1.482,1.91
1.487,1.85
1.492,1.75
1.497,1.95
1.502,1.94
1.507,1.71
1.512,1.95
1.517,1.96
1.522,1.63
1.527,1.88
1.532,1.96
1.537,1.8
1.542,1.62
1.547,1.95
1.552,1.94
1.557,1.64
1.562,1.92
1.567,1.95
1.572,1.66
1.577,1.9
1.582,1.97
1.587,1.91
1.592,1.82
1.597,1.96
1.602,1.96
1.607,1.8
1.612,1.95
1.617,1.95
1.622,1.68
1.627,1.75
1.632,1.95
1.637,1.96
1.642,1.86
1.647,1.97
1.652,1.96
1.657,1.72
1.662,1.9
1.667,1.94
1.672,1.77
1.677,1.58
1.682,1.96
1.687,1.97
1.692,1.78
1.697,1.96
1.702,1.95
1.707,1.56
1.712,1.92
1.717,1.94
1.722,1.82
1.727,1.73
1.732,1.94
1.737,1.92
1.742,1.74
1.747,1.94
1.752,1.95
1.757,1.75
1.762,1.91
1.767,1.97
1.772,1.88
1.777,1.64
1.782,1.96
1.787,1.95
1.792,1.68
1.797,1.94
1.802,1.94
1.807,1.75
1.812,1.87
1.817,1.96
1.822,1.85
1.827,1.68
1.832,1.95
1.837,1.94
1.842,1.69
1.847,1.91
1.852,1.93
1.857,1.84
1.862,1.76
1.867,1.94
1.872,1.95
1.877,1.72
1.882,1.95
1.887,1.63
1.892,1.63
1.897,1.91
1.902,1.95
1.907,1.77
1.912,1.62
1.917,1.94
1.922,1.94
1.927,1.64
1.932,1.93
1.937,1.95
1.942,1.66
1.947,1.91
1.952,1.95
1.957,1.87
1.962,1.81
1.967,1.94
1.972,1.94
1.977,1.79
1.982,1.95
1.987,1.94
1.992,1.5
1.997,1.81
2.002,1.94
2.007,1.97
2.012,1.85
2.017,1.95
2.022,1.96
2.027,1.72
2.032,1.94
2.037,1.94
2.042,1.77
2.047,1.72
2.052,1.95
2.057,1.95
2.062,1.77
2.067,1.96
2.072,1.97
2.077,1.56
2.082,1.92
2.087,1.95
2.092,1.8
2.097,1.64
2.102,1.97
2.107,1.96
2.112,1.76
2.117,1.93
2.122,1.98
2.127,1.75
2.132,1.93
2.137,1.97
2.142,1.88
2.147,1.65
2.151,1.95
2.157,1.97
2.162,1.68
2.167,1.96
2.172,1.96
2.177,1.77
2.182,1.9
2.187,1.97
2.192,1.96
2.197,1.7
2.202,1.9
2.207,1.96
2.212,1.69
2.217,1.94
2.222,1.96
2.227,1.87
2.232,1.78
2.237,1.96
2.241,1.95
2.247,1.72
2.251,1.96
2.257,1.98
2.261,1.66
2.267,1.94
2.271,1.97
2.276,1.79
2.281,1.62
2.287,1.97
2.291,1.97
2.296,1.63
2.301,1.98
2.306,1.61
2.311,1.66
2.316,1.9
2.321,1.94
2.326,1.89
2.331,1.79
2.336,1.96
2.341,1.95
2.346,1.77
2.351,1.95
2.356,1.98
2.361,1.66
2.366,1.85
2.371,1.97
2.376,1.95
2.381,1.87
2.386,1.95
2.391,1.96
2.396,1.7
2.401,1.95
2.406,1.96
2.411,1.78
2.416,1.76
2.421,1.89
2.426,1.94
2.431,1.74
2.436,1.95
2.441,1.96
2.446,1.56
2.451,1.93
2.456,1.94
2.461,1.79
2.466,1.76
2.471,1.95
2.476,1.95
2.481,1.77
2.486,1.95
2.491,1.95
2.496,1.73
2.501,1.92
2.506,1.95
2.511,1.85
2.516,1.64
2.521,1.94
2.526,1.96
2.531,1.65
2.536,1.94
2.541,1.96
2.546,1.81
2.551,1.91
2.556,1.96
2.561,1.95
2.566,1.74
2.571,1.94
2.576,1.94
2.581,1.67
2.586,1.95
2.591,1.95
2.596,1.93
2.601,1.8
2.606,1.95
2.611,1.94
2.616,1.69
2.621,1.79
2.626,1.96
2.631,1.68
2.636,1.93
2.641,1.95
2.646,1.79
2.651,1.63
2.656,1.91
2.661,1.95
2.666,1.64
2.671,1.95
2.676,1.95
2.681,1.64
2.686,1.89
2.691,1.95
2.696,1.87
2.701,1.83
2.706,1.95
2.711,1.94
2.716,1.8
2.721,1.95
2.726,1.94
2.731,1.69
2.736,1.85
2.741,1.93
2.746,1.95
2.751,1.9
2.756,1.94
2.761,1.95
2.766,1.7
2.771,1.93
2.776,1.93
2.781,1.72
2.786,1.76
2.791,1.95
2.796,1.95
2.801,1.8
2.806,1.94
2.811,1.94
2.816,1.58
2.821,1.92
2.826,1.95
2.831,1.82
2.836,1.73
2.841,1.95
2.846,1.96
2.851,1.78
2.856,1.94
2.861,1.95
2.866,1.73
2.871,1.92
2.876,1.95
2.881,1.86
2.886,1.65
2.891,1.93
2.896,1.92
2.901,1.65
2.906,1.95
2.911,1.96
2.916,1.8
2.921,1.87
