Elapsed Time (s),Value
0.002,1.89
0.007,1.91
0.012,1.93
0.017,1.9
0.022,1.9
0.027,1.92
0.032,1.89
0.037,1.9
0.042,1.89
0.047,1.89
0.052,1.88
0.057,1.95
0.062,1.93
0.067,1.91
0.072,1.95
0.077,1.95
0.082,1.9
0.087,1.87
0.092,1.86
0.098,1.95
0.102,1.94
0.107,1.87
0.112,1.93
0.117,1.9
0.122,1.87
0.127,1.9
0.132,1.93
0.137,1.88
0.142,1.81
0.147,1.88
0.152,1.9
0.157,1.87
0.162,1.9
0.167,1.9
0.172,1.91
0.177,1.93
0.182,1.68
0.187,1.87
0.191,1.92
0.197,1.87
0.202,1.93
0.207,1.95
0.211,1.95
0.217,1.96
0.221,1.93
0.227,1.84
0.231,1.92
0.237,1.95
0.241,1.78
0.246,1.96
0.251,1.93
0.256,1.95
0.261,1.96
0.266,1.96
0.271,1.94
0.276,1.94
0.281,1.93
0.286,1.92
0.291,1.94
0.296,1.93
0.301,1.93
0.306,1.83
0.311,1.92
0.316,1.94
0.321,1.92
0.327,1.93
0.331,1.93
0.336,1.93
0.341,1.88
0.346,1.88
0.351,1.89
0.356,1.95
0.361,1.92
0.366,1.95
0.371,1.85
0.376,1.88
0.381,1.9
0.386,1.87
0.391,1.87
0.396,1.93
0.401,1.89
0.406,1.87
0.411,1.9
0.416,1.95
0.421,1.92
0.426,1.88
0.431,1.86
0.436,1.94
0.441,1.89
0.446,1.9
0.451,1.88
0.456,1.93
0.461,1.89
0.466,1.93
0.471,1.88
0.476,1.88
0.481,1.89
0.486,1.92
0.491,1.87
0.496,1.92
0.501,1.89
0.506,1.91
0.511,1.91
0.516,1.89
0.521,1.89
0.526,1.86
0.531,1.88
0.536,1.91
0.541,1.86
0.546,1.92
0.551,1.88
0.556,1.89
0.561,1.91
0.566,1.93
0.571,1.85
0.576,1.94
0.581,1.92
0.586,1.93
0.591,1.9
0.596,1.91
0.601,1.87
0.606,1.9
0.611,1.91
0.617,1.93
0.621,1.93
0.626,1.86
0.631,1.91
0.636,1.86
0.641,1.92
0.646,1.9
0.651,1.88
0.656,1.91
0.661,1.84
0.666,1.89
0.671,1.9
0.676,1.91
0.683,1.88
0.686,1.95
0.691,1.88
0.696,1.87
0.701,1.92
0.706,1.93
0.712,1.95
0.716,1.95
0.721,1.88
0.726,1.87
0.731,1.89
0.736,1.88
0.741,1.94
0.746,1.95
0.751,1.94
0.756,1.93
0.761,1.94
0.766,1.93
0.771,1.95
0.776,1.91
0.781,1.95
0.786,1.91
0.791,1.94
0.796,1.91
0.801,1.94
0.806,1.75
0.811,1.94
0.816,1.92
0.821,1.94
0.826,1.92
0.831,1.94
0.836,1.91
0.841,1.94
0.846,1.91
0.851,1.94
0.856,1.91
0.861,1.95
0.866,1.9
0.871,1.81
0.876,1.89
0.881,1.93
0.886,1.88
0.891,1.92
0.896,1.93
0.901,1.94
0.906,1.89
0.911,1.95
0.916,1.5
0.921,1.94
0.926,1.88
0.931,1.58
0.936,1.83
0.941,1.89
0.946,1.84
0.951,1.73
0.956,1.86
0.961,1.88
0.966,1.48
0.971,1.91
0.976,1.32
0.981,1.63
0.986,1.71
0.990,1.41
0.996,1.8
1.000,1.55
1.006,1.57
1.010,1.6
1.015,1.5
1.020,1.91
1.025,1.16
1.030,1.59
1.036,1.65
1.040,1.18
1.046,1.8
1.050,1.74
1.055,1.39
1.060,1.46
1.065,1.83
1.070,1.9
1.076,1.26
1.080,1.82
1.085,1.46
1.090,1.17
1.095,1.76
1.101,1.69
1.106,1.54
1.111,1.31
1.116,1.67
1.121,1.56
1.126,1.27
1.131,1.91
1.136,1.51
1.140,1.43
1.145,1.6
1.151,1.86
1.155,1.67
1.160,1.09
1.165,1.61
1.170,1.76
1.175,1.14
1.180,1.83
1.185,1.46
1.191,1.25
1.195,1.57
1.200,1.58
1.205,1.84
1.210,1.28
1.215,1.66
1.220,1.62
1.225,1.5
1.230,1.56
1.235,1.51
1.240,1.46
1.245,1.3
1.250,1.5
1.255,1.92
1.260,1.14
1.265,1.71
1.270,1.55
1.275,1.17
1.280,1.75
1.285,1.51
1.290,1.58
1.295,1.35
1.300,1.56
1.305,1.89
1.310,1.28
1.315,1.92
1.320,1.7
1.325,1.43
1.330,1.78
1.335,1.44
1.340,1.92
1.345,1.25
1.350,1.56
1.355,1.78
1.360,1.32
1.365,1.91
1.370,1.51
1.375,1.46
1.380,1.61
1.385,1.64
1.390,1.94
1.395,1.13
1.400,1.64
1.405,1.65
1.410,1.14
1.415,1.91
1.420,1.72
1.425,1.38
1.430,1.42
1.435,1.81
1.440,1.88
1.445,1.27
1.450,1.82
1.455,1.43
1.460,1.29
1.465,1.81
1.470,1.64
1.475,1.6
1.480,1.15
1.485,1.56
1.490,1.7
1.495,1.15
1.500,1.93
1.505,1.45
1.510,1.23
1.515,1.81
1.520,1.62
1.525,1.9
1.530,1.28
1.535,1.61
1.540,1.74
1.545,1.4
1.550,1.87
1.555,1.45
1.560,1.6
1.565,1.59
1.570,1.55
1.575,1.95
1.580,1.15
1.585,1.66
1.590,1.59
1.595,1.47
1.600,1.84
1.605,1.5
1.610,1.46
1.615,1.27
1.620,1.5
1.625,1.87
1.630,1.14
1.635,1.73
1.640,1.53
1.645,1.18
1.650,1.86
1.655,1.54
1.660,1.58
1.665,1.36
1.670,1.54
1.675,1.82
1.680,1.28
1.685,1.88
1.690,1.58
1.695,1.52
1.700,1.75
1.705,1.47
1.710,1.95
1.715,1.07
1.720,1.56
1.725,1.74
1.730,1.15
1.735,1.93
1.740,1.53
1.745,1.26
1.750,1.66
1.755,1.58
1.760,1.89
1.765,1.28
1.770,1.66
1.775,1.61
1.780,1.5
1.785,1.88
1.790,1.66
1.795,1.47
1.800,1.24
1.805,1.81
1.810,1.9
1.815,1.14
1.820,1.85
1.825,1.39
1.830,1.33
1.835,1.82
1.840,1.61
1.845,1.66
1.850,1.16
1.855,1.54
1.860,1.81
1.865,1.16
1.870,1.95
1.875,1.42
1.880,1.23
1.885,1.84
1.890,1.57
1.895,1.94
1.900,1.28
1.905,1.59
1.910,1.72
1.915,1.42
1.919,1.91
1.925,1.43
1.929,1.63
1.935,1.57
1.939,1.54
1.945,1.93
1.949,1.16
1.955,1.68
1.959,1.59
1.965,1.17
1.969,1.9
1.975,1.48
1.979,1.41
1.985,1.44
1.989,1.49
1.994,1.91
1.999,1.25
2.004,1.74
2.009,1.54
2.014,1.29
2.019,1.83
2.024,1.52
2.029,1.64
2.034,1.16
2.039,1.52
2.044,1.89
2.049,1.15
2.054,1.96
2.059,1.61
2.064,1.23
2.069,1.83
2.074,1.46
2.079,1.92
2.084,1.12
2.089,1.56
2.094,1.76
2.099,1.16
2.104,1.94
2.109,1.56
2.114,1.28
2.119,1.66
2.124,1.81
2.129,1.94
2.134,1.26
2.139,1.68
2.144,1.61
2.149,1.39
2.154,1.89
2.159,1.65
2.164,1.5
2.169,1.23
2.174,1.84
2.179,1.92
2.184,1.13
2.189,1.91
2.194,1.42
2.199,1.18
2.204,1.86
2.209,1.68
2.214,1.64
2.219,1.31
2.224,1.58
2.229,1.78
2.234,1.25
2.239,1.92
2.244,1.5
2.249,1.39
2.254,1.75
2.259,1.61
2.264,1.97
2.269,1.12
2.274,1.59
2.279,1.72
2.284,1.15
2.289,1.94
2.294,1.45
2.299,1.27
2.304,1.65
2.309,1.58
2.314,1.95
2.319,1.24
2.324,1.68
2.329,1.55
2.334,1.15
2.339,1.9
2.344,1.46
2.349,1.43
2.354,1.33
2.359,1.5
2.364,1.91
2.369,1.27
2.374,1.77
2.379,1.54
2.384,1.3
2.389,1.84
2.394,1.53
2.399,1.7
2.404,1.14
2.409,1.52
2.414,1.86
2.419,1.15
2.424,1.91
2.429,1.54
2.434,1.22
2.439,1.81
