Elapsed Time (s),Value
0.004,1.96
0.009,1.93
0.014,1.93
0.019,1.94
0.024,1.95
0.029,1.82
0.034,1.85
0.039,1.73
0.044,1.96
0.049,1.07
0.054,1.04
0.059,1.04
0.064,1.04
0.069,1.04
0.074,1.04
0.079,1.04
0.084,1.78
0.089,1.04
0.094,1.03
0.099,1.04
0.104,1.04
0.109,1.04
0.114,1.04
0.119,1.32
0.124,1.95
0.129,1.87
0.134,1.73
0.139,1.96
0.144,1.96
0.149,1.69
0.154,1.93
0.159,1.96
0.164,1.3
0.169,1.04
0.174,1.3
0.179,1.93
0.184,1.8
0.189,1.96
0.194,1.94
0.199,1.84
0.204,1.96
0.209,1.96
0.214,1.74
0.219,1.89
0.224,1.97
0.229,1.95
0.234,1.75
0.239,1.97
0.244,1.96
0.249,1.73
0.254,1.95
0.259,1.96
0.264,1.74
0.269,1.9
0.274,1.95
0.279,1.06
0.284,1.04
0.289,1.03
0.294,1.04
0.299,1.73
0.304,1.96
0.309,1.94
0.314,1.82
0.319,1.93
0.324,1.95
0.329,1.95
0.334,1.93
0.339,1.94
0.344,1.95
0.349,1.78
0.354,1.96
0.359,1.95
0.364,1.95
0.369,1.81
0.374,1.98
0.379,1.87
0.384,1.95
0.389,1.95
0.394,1.3
0.399,1.51
0.404,1.3
0.409,1.03
0.414,1.03
0.419,1.03
0.424,1.03
0.429,1.95
0.434,1.03
0.439,1.03
0.444,1.03
0.449,1.03
0.454,1.03
0.459,1.03
0.464,1.84
0.469,1.94
0.474,1.93
0.479,1.85
0.484,1.71
0.489,1.95
0.494,1.94
0.499,1.82
0.504,1.9
0.509,1.94
0.514,1.03
0.519,1.02
0.524,1.02
0.529,1.02
0.534,1.02
0.539,1.56
0.544,1.96
0.549,1.02
0.554,1.02
0.559,1.02
0.564,1.02
0.569,1.02
0.574,1.02
0.579,1.02
0.584,1.75
0.589,1.93
0.594,1.6
0.599,1.87
0.604,1.89
0.609,1.97
0.614,1.93
0.619,1.82
0.624,1.31
0.629,1.92
0.634,1.72
0.639,1.95
0.644,1.98
0.649,1.84
0.654,1.93
0.659,1.97
0.664,1.97
0.669,1.89
0.674,1.94
0.679,1.97
0.684,1.83
0.689,1.95
0.694,1.95
0.699,1.84
0.704,1.91
0.709,1.63
0.714,1.95
0.719,1.81
0.724,1.96
0.729,1.95
0.734,1.94
0.739,1.93
0.744,1.03
0.749,1.03
0.754,1.62
0.759,1.34
0.764,1.93
0.769,1.8
0.774,1.95
0.779,1.96
0.784,1.58
0.789,1.92
0.794,1.95
0.799,1.86
0.804,1.93
0.809,1.96
0.814,1.95
0.819,1.75
0.824,1.71
0.829,1.96
0.834,1.71
0.839,1.95
0.844,1.94
0.849,1.94
0.854,1.74
0.859,1.33
0.864,1.33
0.869,1.04
0.874,1.82
0.879,1.04
0.884,1.04
0.889,1.88
0.894,1.04
0.899,1.04
0.904,1.04
0.909,1.04
0.914,1.04
0.919,1.04
0.924,1.93
0.929,1.96
0.934,1.88
0.939,1.93
0.944,1.94
0.949,1.94
0.954,1.71
0.959,1.93
0.964,1.95
0.969,1.9
0.974,1.04
0.979,1.04
0.984,1.04
0.989,1.04
0.994,1.04
0.999,1.04
1.004,1.04
1.009,1.04
1.014,1.04
1.019,1.04
1.024,1.04
1.029,1.04
1.034,1.04
1.039,1.81
1.044,1.04
1.049,1.04
1.054,1.37
1.059,1.95
1.064,1.96
1.069,1.77
1.074,1.94
1.079,1.94
1.084,1.94
1.089,1.04
1.094,1.95
1.099,1.95
1.104,1.92
1.109,1.94
1.114,1.24
1.119,1.74
1.124,1.95
1.129,1.96
1.134,1.87
1.139,1.75
1.144,1.95
1.149,1.95
1.154,1.74
1.159,1.94
1.164,1.95
1.169,1.79
1.174,1.94
1.179,1.94
1.184,1.97
1.189,1.72
1.194,1.93
1.199,1.95
1.204,1.04
1.209,1.39
1.214,1.91
1.219,1.74
1.224,1.89
1.229,1.33
1.234,1.93
1.239,1.75
1.244,1.93
1.249,1.95
1.254,1.79
1.259,1.94
1.264,1.96
1.269,1.92
1.274,1.93
1.279,1.95
1.284,1.96
1.289,1.94
1.294,1.94
1.299,1.96
1.304,1.9
1.309,1.95
1.314,1.94
1.319,1.94
1.324,1.04
1.329,1.04
1.334,1.48
1.339,1.9
1.344,1.66
1.349,1.93
1.354,1.72
1.359,1.93
1.364,1.95
1.369,1.94
1.374,1.67
1.379,1.95
1.384,1.95
1.389,1.76
1.394,1.94
1.399,1.95
1.404,1.7
1.409,1.93
1.414,1.68
1.419,1.95
1.424,1.78
1.429,1.94
1.434,1.04
1.439,1.04
1.444,1.04
1.449,1.04
1.454,1.04
1.459,1.04
1.464,1.04
1.469,1.46
1.474,1.04
1.479,1.04
1.484,1.04
1.489,1.04
1.494,1.04
1.499,1.03
1.504,1.73
1.509,1.04
1.514,1.03
1.519,1.03
1.524,1.03
1.529,1.03
1.534,1.03
1.539,1.79
1.544,1.96
1.549,1.29
1.554,1.03
1.559,1.03
1.564,1.03
1.569,1.77
1.574,1.7
1.579,1.94
1.584,1.87
1.589,1.73
1.594,1.93
1.599,1.95
1.604,1.86
1.609,1.85
1.614,1.93
1.619,1.96
1.624,1.74
1.629,1.95
1.634,1.76
1.639,1.92
1.644,1.93
1.648,1.89
1.654,1.85
1.659,1.94
1.664,1.29
1.669,1.95
1.674,1.88
1.679,1.96
1.683,1.93
1.689,1.92
1.693,1.91
1.699,1.95
1.704,1.82
1.709,1.83
1.713,1.95
1.719,1.92
1.724,1.71
1.729,1.95
1.733,1.94
1.739,1.95
1.743,1.91
1.749,1.48
1.753,1.85
1.759,1.78
1.763,1.88
1.769,1.96
1.773,1.68
1.779,1.94
1.783,1.02
1.789,1.02
1.794,1.61
1.799,1.9
1.803,1.91
1.809,1.76
1.814,1.94
1.819,1.92
1.823,1.89
1.829,1.93
1.834,1.94
1.839,1.77
1.843,1.94
1.849,1.93
1.853,1.91
1.859,1.74
1.864,1.34
1.869,1.93
1.873,1.72
1.879,1.94
1.883,1.93
1.889,1.91
1.894,1.03
1.899,1.02
1.904,1.03
1.909,1.02
1.913,1.03
1.919,1.03
1.924,1.03
1.929,1.28
1.933,1.28
1.939,1.76
1.943,1.78
1.949,1.94
1.954,1.94
1.959,1.73
1.963,1.95
1.969,1.95
1.974,1.83
1.979,1.92
1.983,1.93
1.989,1.78
1.993,1.76
1.999,1.95
2.003,1.85
2.009,1.69
2.013,1.11
2.019,1.03
2.024,1.03
2.029,1.03
2.033,1.03
2.039,1.72
2.043,1.86
2.049,1.95
2.053,1.87
2.059,1.89
2.063,1.82
2.069,1.94
2.073,1.81
2.079,1.92
2.084,1.94
2.089,1.94
2.094,1.72
2.099,1.94
2.104,1.95
2.109,1.94
2.114,1.92
2.119,1.93
2.124,1.07
2.129,1.03
2.134,1.04
2.139,1.04
2.143,1.04
2.149,1.04
2.153,1.04
2.158,1.92
2.163,1.04
2.169,1.03
2.174,1.04
2.178,1.04
2.183,1.04
2.188,1.04
2.193,1.09
2.198,1.89
2.204,1.94
2.208,1.7
2.214,1.93
2.218,1.91
2.224,1.84
2.229,1.85
2.234,1.93
2.239,1.31
2.244,1.04
2.249,1.04
2.254,1.04
2.259,1.9
2.264,1.92
2.269,1.93
2.273,1.9
2.278,1.84
2.283,1.94
2.288,1.93
2.293,1.87
2.299,1.93
2.303,1.64
2.308,1.73
2.313,1.9
2.318,1.93
2.323,1.87
2.328,1.74
2.333,1.9
2.338,1.93
2.343,1.75
2.348,1.86
2.353,1.04
2.358,1.71
2.363,1.9
2.368,1.92
2.373,1.87
2.378,1.83
2.383,1.93
2.388,1.93
2.393,1.85
2.398,1.92
2.403,1.93
2.408,1.76
2.413,1.9
2.418,1.29
2.423,1.91
2.428,1.83
2.433,1.92
2.438,1.94
2.443,1.78
2.448,1.93
2.453,1.94
2.458,1.93
2.463,1.83
2.468,1.32
2.473,1.93
2.478,1.04
2.483,1.04
2.488,1.04
2.493,1.04
2.498,1.3
2.503,1.91
2.508,1.77
2.513,1.82
2.518,1.93
2.523,1.93
2.528,1.91
2.533,1.42
2.538,1.93
2.543,1.75
2.548,1.92
2.553,1.93
2.558,1.76
2.563,1.91
2.568,1.92
2.573,1.92
2.578,1.69
2.583,1.93
2.588,1.04
2.593,1.04
2.598,1.04
2.603,1.04
