Elapsed Time (s),Value
0.000,2.0
0.004,2.0
0.009,1.99
0.015,2.0
0.019,2.0
0.024,2.0
0.029,1.99
0.034,2.0
0.039,2.0
0.044,2.0
0.049,1.97
0.054,2.0
0.059,2.0
0.064,2.0
0.070,2.0
0.074,2.0
0.079,2.0
0.084,1.99
0.089,2.0
0.094,1.99
0.099,1.99
0.104,2.0
0.109,1.99
0.114,2.0
0.119,2.0
0.124,2.0
0.129,2.0
0.134,2.0
0.139,2.0
0.144,2.0
0.149,1.99
0.154,2.0
0.160,2.0
0.165,2.0
0.170,2.0
0.175,2.0
0.180,2.0
0.185,2.0
0.190,1.99
0.194,2.0
0.199,1.99
0.204,2.0
0.209,2.0
0.214,2.0
0.219,2.0
0.225,2.0
0.230,2.0
0.235,2.0
0.240,2.0
0.245,2.0
0.249,2.0
0.254,2.0
0.259,2.0
0.264,2.0
0.270,1.99
0.275,2.0
0.280,2.0
0.284,1.99
0.290,2.0
0.295,2.0
0.299,1.99
0.304,2.0
0.309,2.0
0.314,2.0
0.319,2.0
0.324,2.0
0.329,2.0
0.334,2.0
0.339,2.0
0.344,2.0
0.349,2.0
0.354,2.0
0.359,2.0
0.364,2.0
0.369,2.0
0.374,2.0
0.379,2.0
0.384,1.99
0.389,2.0
0.394,2.0
0.399,1.99
0.404,2.0
0.409,2.0
0.414,2.0
0.420,2.0
0.424,2.0
0.430,2.0
0.434,1.99
0.439,2.0
0.445,2.0
0.449,2.0
0.454,2.0
0.459,2.0
0.464,2.0
0.469,2.0
0.474,2.0
0.479,2.0
0.484,2.0
0.489,2.0
0.494,2.0
0.499,2.0
0.504,2.0
0.509,2.0
0.514,2.0
0.519,1.99
0.524,2.0
0.529,2.0
0.534,1.97
0.539,2.0
0.543,2.0
0.549,2.0
0.554,2.0
0.559,2.0
0.564,1.99
0.569,2.0
0.574,2.0
0.579,1.99
0.584,2.0
0.589,1.99
0.594,1.99
0.598,1.99
0.603,2.0
0.608,2.0
0.614,2.0
0.619,2.0
0.624,2.0
0.629,2.0
0.634,2.0
0.639,2.0
0.644,2.0
0.649,2.0
0.654,2.0
0.659,2.0
0.664,2.0
0.669,2.0
0.674,2.0
0.679,2.0
0.684,2.0
0.689,2.0
0.694,2.0
0.699,1.99
0.704,1.99
0.709,2.0
0.714,2.0
0.719,1.8
0.724,2.0
0.729,2.0
0.734,2.0
0.739,2.0
0.744,2.0
0.749,2.0
0.754,2.0
0.759,2.0
0.764,2.0
0.769,2.0
0.774,2.0
0.779,2.0
0.784,1.99
0.789,2.0
0.794,2.0
0.799,2.0
0.804,2.0
0.808,2.0
0.814,2.0
0.819,2.0
0.824,1.9
0.829,2.0
0.834,2.0
0.839,2.0
0.843,2.0
0.848,2.0
0.853,2.0
0.858,2.0
0.864,1.99
0.869,2.0
0.874,2.0
0.878,2.0
0.884,2.0
0.889,2.0
0.894,2.0
0.899,2.0
0.904,2.0
0.909,2.0
0.914,2.0
0.919,2.0
0.924,2.0
0.928,2.0
0.933,2.0
0.938,2.0
0.944,2.0
0.949,2.0
0.954,1.99
0.959,2.0
0.964,2.0
0.969,2.0
0.974,2.0
0.979,2.0
0.984,2.0
0.989,2.0
0.994,2.0
0.999,1.99
1.004,1.99
1.009,2.0
1.014,2.0
1.019,1.99
1.024,2.0
1.029,1.87
1.034,1.99
1.039,2.0
1.044,2.0
1.049,2.0
1.054,1.99
1.059,2.0
1.064,2.0
1.068,2.0
1.074,2.0
1.079,2.0
1.083,1.99
1.088,2.0
1.093,2.0
1.099,2.0
1.103,1.99
1.108,1.99
1.114,2.0
1.118,2.0
1.124,2.0
1.129,1.93
1.133,2.0
1.138,2.0
1.143,2.0
1.149,2.0
1.154,1.99
1.159,2.0
1.164,2.0
1.169,2.0
1.174,2.0
1.179,2.0
1.184,1.99
1.189,2.0
1.194,2.0
1.199,2.0
1.204,1.99
1.209,2.0
1.214,2.0
1.219,2.0
1.224,2.0
1.229,2.0
1.234,1.89
1.239,2.0
1.244,2.0
1.249,2.0
1.254,1.99
1.258,2.0
1.264,2.0
1.268,1.99
1.273,1.99
1.278,1.99
1.283,1.99
1.288,1.99
1.293,1.99
1.298,1.99
1.303,1.99
1.308,1.99
1.313,1.99
1.319,1.99
1.323,1.99
1.328,1.99
1.333,1.99
1.338,1.99
1.343,1.99
1.348,1.96
1.354,1.99
1.358,1.99
1.363,1.99
1.368,1.99
1.373,1.99
1.379,2.0
1.383,1.99
1.389,2.0
1.394,2.0
1.398,2.0
1.404,1.99
1.408,1.99
1.414,2.0
1.419,1.99
1.424,1.99
1.429,2.0
1.434,2.0
1.439,2.0
1.444,2.0
1.448,2.0
1.454,1.99
1.459,2.0
1.464,2.0
1.468,2.0
1.473,1.99
1.478,2.0
1.484,1.99
1.488,2.0
1.493,2.0
1.498,2.0
1.503,2.0
1.508,2.0
1.513,2.0
1.518,1.99
1.523,1.98
1.529,2.0
1.534,1.99
1.539,1.99
1.544,2.0
1.548,2.0
1.553,2.0
1.558,2.0
1.563,2.0
1.568,1.99
1.573,1.99
1.578,1.99
1.584,1.99
1.588,2.0
1.593,2.0
1.598,2.0
1.604,1.99
1.608,2.0
1.613,1.99
1.618,1.99
1.624,2.0
1.628,2.0
1.634,1.99
1.638,2.0
1.643,2.0
1.648,1.85
1.653,2.0
1.658,2.0
1.663,1.99
1.668,2.0
1.674,2.0
1.678,1.98
1.684,1.99
1.688,2.0
1.693,1.99
1.698,2.0
1.703,2.0
1.708,2.0
1.713,2.0
1.718,1.99
1.723,2.0
1.728,2.0
1.733,2.0
1.738,1.99
1.743,2.0
1.748,1.84
1.753,2.0
1.758,2.0
1.763,2.0
1.768,2.0
1.773,2.0
1.778,2.0
1.783,1.99
1.788,1.99
1.793,2.0
1.798,2.0
1.803,1.99
1.808,2.0
1.813,2.0
1.818,1.99
1.823,2.0
1.828,2.0
1.834,1.99
1.838,2.0
1.843,2.0
1.848,2.0
1.853,1.86
1.858,2.0
1.863,2.0
1.868,1.99
1.873,2.0
1.878,2.0
1.884,1.99
1.888,2.0
1.893,2.0
1.898,1.99
1.903,2.0
1.908,2.0
1.913,2.0
1.918,2.0
1.923,2.0
1.928,2.0
1.933,1.99
1.938,2.0
1.943,2.0
1.948,2.0
1.953,2.0
1.958,2.0
1.963,2.0
1.968,2.0
1.973,2.0
1.978,2.0
1.983,1.99
1.988,2.0
1.993,2.0
1.999,2.0
2.004,2.0
2.008,2.0
2.013,2.0
2.018,1.99
2.023,2.0
2.028,2.0
2.033,1.99
2.038,1.99
2.043,2.0
2.048,2.0
2.053,1.99
2.058,2.0
2.063,2.0
2.068,1.94
2.073,2.0
2.078,2.0
2.083,2.0
2.088,2.0
2.093,2.0
2.098,2.0
2.103,1.98
2.108,2.0
2.113,2.0
2.118,1.86
2.123,2.0
2.128,2.0
2.133,1.99
2.138,1.95
2.143,2.0
2.148,2.0
2.153,2.0
2.158,2.0
2.163,2.0
2.168,2.0
2.173,2.0
2.178,2.0
2.183,1.99
2.188,2.0
2.193,2.0
2.198,2.0
2.203,1.98
2.208,2.0
2.212,2.0
2.218,2.0
2.223,2.0
2.228,1.99
2.233,2.0
2.238,2.0
2.243,2.0
2.248,2.0
2.253,2.0
2.257,2.0
2.262,2.0
2.268,2.0
2.273,1.87
2.278,2.0
2.284,1.99
2.288,2.0
2.292,2.0
2.298,2.0
2.302,2.0
2.307,2.0
2.313,2.0
2.318,2.0
2.323,2.0
2.328,2.0
2.333,2.0
2.338,2.0
2.342,2.0
2.348,2.0
2.352,2.0
2.358,2.0
2.363,2.0
2.367,1.99
2.372,2.0
2.378,1.97
2.382,1.99
2.388,2.0
2.393,2.0
2.398,2.0
2.403,2.0
2.408,2.0
2.413,1.99
2.418,1.99
2.423,2.0
2.428,2.0
2.433,1.99
2.438,2.0
2.443,2.0
2.448,2.0
2.453,1.99
2.458,2.0
2.463,2.0
2.468,1.99
2.472,2.0
2.477,2.0
2.483,1.92
2.488,2.0
2.493,2.0
2.498,2.0
2.502,1.99
2.508,2.0
2.512,1.98
2.517,1.99
2.522,2.0
2.528,1.99
2.532,1.99
2.537,1.99
2.542,1.99
2.548,2.0
2.553,1.99
2.558,2.0
2.563,2.0
2.567,1.99
2.573,2.0
2.577,1.99
2.583,1.88
2.587,2.0
2.593,2.0
2.598,2.0
2.603,1.99
2.608,1.99
2.613,2.0
2.618,1.99
2.623,2.0
2.628,2.0
2.633,1.99
2.638,1.99
2.642,2.0
2.647,1.99
2.652,1.99
2.657,2.0
2.662,2.0
2.667,1.99
2.673,2.0
2.678,2.0
2.683,1.99
2.687,1.86
2.692,1.99
2.697,2.0
2.702,1.99
2.707,2.0
2.712,1.99
2.717,1.99
2.722,2.0
2.727,1.99
2.733,1.99
2.738,1.99
2.742,1.99
2.748,1.99
2.752,1.99
2.757,1.99
2.763,1.99
2.767,1.98
2.773,1.99
2.777,1.99
2.783,1.98
2.787,1.98
2.793,1.99
2.797,1.99
2.802,1.98
2.808,1.99
2.813,1.98
2.818,1.98
2.822,1.98
2.828,1.98
2.833,1.97
2.838,1.98
2.842,1.97
2.847,1.98
2.853,1.98
2.857,1.98
2.862,1.98
2.867,1.97
2.872,1.98
2.877,1.99
2.882,1.97
2.887,1.98
2.892,1.99
2.897,1.99
2.902,1.98
2.907,1.99
2.912,1.99
2.917,1.99
2.922,1.99
2.927,1.99
2.932,1.98
2.938,2.0
2.942,2.0
2.947,1.99
2.952,1.99
2.957,1.99
2.962,2.0
2.967,1.99
2.973,2.0
2.977,2.0
2.983,1.99
2.987,2.0
2.993,2.0
2.997,2.0
3.003,1.89
3.007,2.0
3.013,2.0
3.017,1.98
3.022,1.99
3.027,1.98
3.043,1.99
3.044,1.99
3.045,1.99
3.047,1.98
3.052,1.98
3.057,1.99
3.062,1.99
3.067,1.98
3.072,1.99
3.077,1.99
3.082,1.98
3.087,1.99
3.092,1.98
3.097,1.99
3.102,1.98
3.107,1.98
3.112,1.98
3.117,1.98
3.122,1.98
3.127,1.99
3.132,1.98
3.137,1.98
3.142,1.99
3.147,1.99
3.152,1.98
3.157,1.99
3.162,1.99
3.167,1.98
3.172,1.98
3.177,1.99
3.182,1.98
3.187,1.99
3.192,1.98
3.197,1.99
3.202,1.98
3.207,1.99
3.212,1.84
3.217,1.98
3.222,1.99
3.227,1.99
3.232,1.98
3.237,1.98
3.242,1.98
3.247,1.99
3.252,1.99
3.257,1.99
3.262,1.99
3.267,1.98
3.272,1.99
3.277,1.99
3.282,1.98
3.287,1.99
3.292,1.99
3.297,1.99
3.302,1.98
3.307,1.99
3.312,1.99
3.317,1.98
3.322,1.9
3.327,1.99
3.331,1.98
3.337,1.98
3.342,1.99
3.347,1.99
3.352,1.98
3.357,1.99
3.362,1.99
3.367,1.98
3.372,1.99
3.377,1.99
3.382,1.98
3.387,1.99
3.392,1.99
3.397,1.99
3.402,1.98
3.407,1.99
3.412,1.99
3.417,1.98
3.422,1.99
3.427,1.99
3.432,1.98
3.437,1.98
3.442,1.99
3.447,1.99
3.452,1.99
3.457,1.99
3.462,1.98
3.467,1.98
3.472,1.99
3.476,1.98
3.481,1.98
3.487,1.99
3.492,1.99
3.497,1.99
3.502,1.98
3.507,1.99
3.512,1.99
3.517,1.99
3.522,1.99
3.527,1.99
3.532,1.87
3.537,1.99
3.542,1.99
3.547,1.99
3.552,1.99
3.557,1.99
3.562,1.99
3.567,1.98
3.572,1.98
3.577,1.99
3.581,1.98
3.587,1.99
3.592,1.99
3.597,1.99
3.602,1.98
3.607,1.99
3.611,1.99
3.616,1.98
3.621,1.99
3.627,1.98
3.632,1.86
3.637,1.99
3.642,1.99
3.647,1.99
3.652,1.99
3.657,1.98
3.662,1.99
3.667,1.98
3.672,1.99
3.677,1.99
3.682,1.98
3.687,1.98
3.692,1.99
3.697,1.99
3.701,1.98
3.707,1.99
3.712,1.99
3.717,1.98
3.722,1.99
3.727,1.99
3.731,1.98
3.736,1.98
3.742,1.99
3.747,1.99
3.752,1.98
3.756,1.98
3.761,1.99
3.766,1.98
3.771,1.99
3.776,1.98
3.781,1.98
3.787,1.99
3.791,1.98
3.796,1.99
3.802,1.98
3.806,1.99
3.811,1.99
3.816,1.98
3.821,1.99
3.826,1.99
3.831,1.97
3.836,1.89
3.841,1.99
3.846,1.99
3.851,1.98
3.856,1.99
3.861,1.99
3.866,1.98
3.871,1.98
3.876,1.99
3.881,1.98
3.886,1.99
3.891,1.99
3.896,1.99
3.902,1.98
3.906,1.99
3.912,1.99
3.916,1.98
3.921,1.98
3.926,1.99
3.931,1.98
3.937,1.98
3.942,1.98
3.947,1.99
3.952,1.98
3.957,1.99
3.961,1.99
3.966,1.98
3.971,1.99
3.977,1.99
3.982,1.98
3.987,1.96
3.992,1.99
3.997,1.99
4.002,1.98
4.007,1.98
4.011,1.98
4.016,1.98
4.021,1.98
4.027,1.99
4.031,1.98
4.037,1.98
4.041,1.98
4.046,1.98
4.052,1.98
4.057,1.99
4.062,1.99
4.067,1.98
4.072,1.99
4.077,1.99
4.081,1.98
4.086,1.98
4.091,1.98
4.096,1.98
4.101,1.98
4.107,1.98
4.112,1.99
4.117,1.98
4.121,1.98
4.127,1.99
4.131,1.98
4.136,1.98
4.141,1.99
4.147,1.98
4.152,1.98
4.157,1.98
4.162,1.98
4.166,1.98
4.171,1.98
4.177,1.99
4.182,1.98
4.187,1.98
4.192,1.98
4.197,1.98
4.202,1.98
4.207,1.98
4.212,1.98
4.217,1.98
4.222,1.98
4.227,1.99
4.231,1.98
4.236,1.96
4.242,1.98
4.247,1.99
4.252,1.98
4.257,1.86
4.261,1.98
4.266,1.98
4.271,1.98
4.276,1.99
4.281,1.98
4.286,1.98
4.291,1.98
4.296,1.98
4.301,1.98
4.307,1.99
4.311,1.99
4.316,1.95
4.321,1.99
4.326,1.98
4.331,1.98
4.336,1.98
4.342,1.98
4.346,1.98
4.352,1.98
4.357,1.98
4.362,1.98
4.367,1.98
4.372,1.99
4.377,1.99
4.381,1.98
4.386,1.98
4.391,1.99
4.396,1.97
4.401,1.98
4.407,1.99
4.412,1.98
4.417,1.98
4.421,1.98
4.427,1.99
4.431,1.98
4.436,1.97
4.442,1.99
4.447,1.98
4.452,1.98
4.457,1.99
4.462,1.99
4.467,1.85
4.472,1.99
4.476,1.99
4.481,1.98
4.486,1.98
4.491,1.98
4.497,1.98
4.502,1.98
4.506,1.99
4.511,1.99
4.516,1.98
4.521,1.99
4.526,1.99
4.531,1.98
4.536,1.98
4.541,1.98
4.546,1.99
4.551,1.98
4.557,1.99
4.562,1.98
4.566,1.98
4.572,1.99
4.576,1.88
4.581,1.98
4.586,1.98
4.591,1.98
4.596,1.98
4.601,1.98
4.606,1.99
4.611,1.98
4.616,1.98
4.621,1.99
4.626,1.99
4.631,1.98
4.636,1.98
4.641,1.99
4.646,1.97
4.651,1.98
4.656,1.99
4.661,1.99
4.666,1.98
4.671,1.99
4.676,1.99
4.681,1.96
4.686,1.98
4.691,1.98
4.696,1.99
4.701,1.98
4.707,1.99
4.711,1.99
4.716,1.98
4.721,1.99
4.726,1.99
4.731,1.99
4.736,1.98
4.741,1.98
4.746,1.98
4.751,1.98
4.756,1.98
4.761,1.98
4.766,1.98
4.771,1.98
4.776,1.98
4.781,1.98
4.786,1.98
4.791,1.98
4.796,1.98
4.801,1.98
4.806,1.98
4.811,1.98
4.816,1.98
4.821,1.98
4.826,1.98
4.831,1.98
4.836,1.98
4.841,1.98
4.846,1.99
4.851,1.99
4.856,1.98
4.861,1.98
4.866,1.98
4.871,1.99
4.876,1.99
4.881,1.98
4.886,1.93
4.891,1.99
4.896,1.99
4.901,1.98
4.906,1.99
4.911,1.99
4.916,1.98
4.921,1.99
4.926,1.99
4.931,1.98
4.936,1.99
4.941,1.98
4.946,1.99
4.951,1.98
4.956,1.98
4.961,1.99
4.966,1.98
4.971,1.98
4.976,1.98
4.981,1.98
4.986,1.92
4.991,1.99
4.996,1.99
5.001,1.98
5.006,1.99
5.011,1.99
5.016,1.98
