Elapsed Time (s),Value
0.003,2.09
0.009,2.09
0.014,2.09
0.019,2.09
0.024,2.08
0.029,2.09
0.034,2.09
0.039,2.09
0.044,2.09
0.049,2.09
0.054,2.09
0.059,2.09
0.064,2.09
0.069,1.97
0.074,2.09
0.079,2.09
0.084,1.19
0.089,1.13
0.094,1.13
0.098,1.13
0.103,1.13
0.108,1.13
0.113,1.13
0.118,2.09
0.123,1.13
0.129,1.13
0.133,1.13
0.138,1.13
0.143,1.13
0.148,1.13
0.153,2.07
0.159,2.09
0.164,2.09
0.169,1.81
0.173,2.09
0.178,2.06
0.184,2.09
0.189,2.09
0.193,2.09
0.199,2.09
0.203,2.09
0.209,2.09
0.214,2.09
0.219,2.09
0.223,2.09
0.228,2.09
0.234,2.09
0.238,2.09
0.244,2.09
0.248,2.09
0.253,2.09
0.258,2.09
0.264,2.09
0.269,2.09
0.274,2.09
0.279,2.09
0.284,2.09
0.289,2.09
0.293,2.09
0.298,2.09
0.303,2.09
0.308,2.09
0.313,2.08
0.319,1.13
0.323,1.13
0.329,1.13
0.334,1.13
0.339,1.13
0.344,1.13
0.349,2.09
0.353,1.13
0.358,1.13
0.364,1.13
0.368,1.13
0.373,1.13
0.378,1.13
0.383,1.13
0.388,1.13
0.393,1.3
0.398,1.13
0.403,1.13
0.408,1.13
0.413,1.13
0.418,2.09
0.423,2.09
0.428,2.09
0.433,2.09
0.439,2.09
0.443,2.09
0.448,2.09
0.453,2.09
0.458,2.09
0.463,2.09
0.468,2.09
0.473,2.09
0.478,2.09
0.483,2.09
0.488,2.09
0.493,2.09
0.498,2.09
0.503,2.09
0.508,2.06
0.513,2.09
0.518,2.09
0.523,2.09
0.528,2.09
0.533,2.09
0.538,2.09
0.543,2.09
0.548,1.13
0.553,1.13
0.558,1.13
0.563,1.13
0.568,1.13
0.573,1.13
0.578,1.92
0.583,1.13
0.588,1.13
0.593,1.13
0.598,1.13
0.603,1.13
0.608,1.13
0.613,2.02
0.618,1.13
0.623,1.13
0.628,1.13
0.633,1.14
0.638,2.09
0.643,2.09
0.649,2.09
0.653,2.09
0.658,2.09
0.663,2.09
0.669,2.09
0.673,2.09
0.678,2.09
0.683,2.05
0.688,2.09
0.693,2.09
