Elapsed Time (s),Value
0.001,2.09
0.006,2.09
0.011,2.09
0.016,1.21
0.021,1.13
0.026,1.13
0.031,1.13
0.036,1.13
0.041,1.13
0.046,1.13
0.051,2.09
0.056,1.13
0.061,1.13
0.066,1.13
0.071,1.13
0.076,1.13
0.081,1.13
0.086,2.09
0.091,1.13
0.096,1.13
0.101,1.13
0.106,1.13
0.112,1.13
0.116,1.13
0.121,2.08
0.126,2.09
0.131,2.09
0.136,2.09
0.141,2.09
0.146,2.09
0.151,2.09
0.156,2.09
0.161,2.09
0.166,2.09
0.171,2.09
0.176,2.09
0.181,2.07
0.186,2.09
0.191,2.09
0.196,2.09
0.201,2.09
0.206,2.09
0.211,2.09
0.216,2.09
0.221,2.09
0.226,2.09
0.231,2.09
0.236,2.09
0.241,2.08
0.246,1.95
0.251,1.13
0.256,1.13
0.261,1.13
0.266,1.13
0.271,1.13
0.276,1.13
0.281,2.09
0.286,1.13
0.290,1.13
0.296,1.13
0.301,1.13
0.305,1.2
0.311,2.09
0.316,2.09
0.321,2.09
0.326,2.09
0.331,2.09
0.336,2.09
0.340,2.09
0.347,2.09
0.350,2.09
0.356,2.09
0.361,2.09
0.366,2.09
0.371,2.09
0.376,2.09
0.381,2.09
0.386,2.09
0.391,2.09
0.398,2.07
0.401,2.09
0.406,2.09
0.411,2.09
0.416,2.09
0.421,2.09
0.426,2.09
0.431,2.09
0.436,2.09
0.441,2.09
0.447,1.88
0.451,2.09
0.456,2.09
0.461,2.09
0.466,2.09
0.471,2.09
0.476,2.06
0.481,1.13
0.486,1.13
0.491,1.13
0.496,1.13
0.501,1.13
0.506,1.13
0.511,2.09
0.516,1.13
0.521,1.13
0.526,1.13
0.531,1.13
0.536,1.13
0.541,1.13
0.546,1.13
0.551,1.13
0.556,1.13
0.561,1.13
0.566,1.13
0.571,1.13
0.576,1.13
0.581,1.14
0.586,2.09
0.591,2.09
0.596,2.09
0.601,2.09
0.606,2.09
0.611,2.09
0.616,2.09
0.621,2.09
0.626,2.09
0.631,2.09
0.635,2.08
0.640,2.09
0.646,2.09
0.650,2.09
0.655,1.86
0.661,2.09
0.665,2.09
0.670,2.09
0.676,2.09
0.681,2.09
0.685,2.09
0.690,2.09
0.695,2.09
0.700,2.09
0.706,2.09
0.710,1.13
0.716,1.13
0.720,1.13
0.726,1.13
0.730,1.13
0.736,1.13
0.741,2.09
0.745,2.09
0.750,2.09
0.756,2.09
0.761,2.07
0.766,2.09
0.771,2.09
0.776,2.09
0.781,2.09
0.786,2.09
0.791,2.09
0.795,2.09
0.801,2.09
0.806,2.09
0.810,2.09
0.815,2.09
0.820,2.09
0.826,2.09
0.831,2.09
0.835,2.09
0.840,2.09
0.845,2.09
0.851,2.09
0.856,2.09
0.861,2.09
0.866,2.09
0.871,2.09
0.875,2.09
