Elapsed Time (s),Value
0.000,2.09
0.005,2.09
0.010,2.09
0.015,2.09
0.020,2.09
0.025,2.09
0.030,2.09
0.035,2.09
0.040,2.09
0.045,2.09
0.050,2.09
0.055,2.09
0.060,2.09
0.065,2.09
0.070,2.09
0.075,2.09
0.080,2.09
0.085,2.08
0.090,2.09
0.095,2.09
0.100,2.09
0.105,2.09
0.110,2.09
0.115,2.08
0.120,2.09
0.125,2.09
0.130,2.09
0.135,2.09
0.139,2.09
0.144,2.09
0.149,0.86
0.155,0.86
0.160,0.86
0.165,0.86
0.170,0.86
0.175,0.86
0.180,2.08
0.185,0.86
0.189,0.86
0.195,0.86
0.200,0.86
0.205,0.86
0.210,0.86
0.215,0.86
0.220,0.86
0.225,0.86
0.230,0.86
0.235,0.86
0.239,0.86
0.245,0.86
0.250,0.88
0.255,2.09
0.260,2.09
0.265,2.09
0.269,2.09
0.274,2.09
0.280,2.09
0.285,2.09
0.290,2.09
0.295,2.09
0.300,2.09
0.305,2.09
0.310,2.09
0.315,2.08
0.320,2.09
0.325,2.09
0.330,2.09
0.335,2.09
0.339,2.09
0.344,2.09
0.349,2.09
0.354,2.09
0.360,2.09
0.365,2.09
0.370,2.09
0.374,2.09
0.379,0.86
0.384,0.86
0.389,0.86
0.395,0.86
0.400,0.86
0.404,0.89
0.410,2.09
0.415,2.09
0.419,2.09
0.424,2.09
0.430,2.09
0.435,2.09
0.440,2.09
0.445,2.09
0.449,2.09
0.455,2.09
0.459,2.09
0.465,2.09
0.470,2.09
0.475,2.09
0.480,2.09
0.485,2.09
0.490,2.09
0.494,2.09
0.499,2.09
0.504,2.09
0.509,2.09
0.515,2.09
0.520,2.09
0.525,2.09
0.530,2.09
0.535,2.09
0.539,2.09
0.544,2.09
0.549,2.09
0.554,2.09
0.559,2.09
0.564,2.09
0.569,2.08
0.575,2.09
0.579,2.09
0.584,2.09
0.589,2.09
0.595,2.09
0.599,2.09
0.605,2.09
0.610,0.86
0.615,0.86
0.619,0.86
0.625,0.86
0.630,0.86
0.635,0.86
0.640,0.86
0.645,0.91
0.650,0.86
0.654,0.86
0.659,0.86
0.664,0.86
0.669,0.86
0.675,1.99
0.680,2.09
0.685,2.09
0.690,2.09
0.695,2.09
0.699,2.09
0.705,2.09
0.709,2.09
0.714,2.09
0.720,2.09
0.725,2.07
0.729,1.97
0.734,2.09
0.740,2.09
0.744,2.09
0.750,2.08
0.755,2.09
0.759,2.09
0.765,2.09
0.769,2.09
0.775,2.09
0.780,2.09
0.785,2.09
0.789,2.09
0.794,2.09
0.799,2.09
0.805,2.09
0.810,2.09
0.814,2.09
0.819,2.09
0.824,2.09
0.829,2.09
0.834,2.09
0.839,0.87
0.844,0.86
0.849,0.86
0.854,0.86
0.859,0.86
0.864,0.86
0.869,1.24
0.874,2.09
0.879,0.86
0.884,0.86
0.889,0.86
0.894,0.86
0.899,0.86
0.904,1.52
0.909,2.09
0.914,2.09
0.919,2.09
0.924,2.09
0.929,2.09
0.934,2.09
0.939,1.86
0.944,2.09
0.950,2.09
0.955,2.09
0.959,2.09
0.964,2.09
0.969,2.09
0.975,2.09
0.979,2.09
0.984,2.09
0.989,2.09
0.994,2.09
0.999,2.09
1.004,2.09
1.009,2.09
1.014,2.09
1.019,2.09
1.024,2.09
1.029,2.09
1.034,2.09
1.039,2.09
1.044,2.09
1.049,2.08
1.054,2.08
1.059,2.09
1.064,2.09
1.069,2.09
1.075,0.86
1.079,0.86
1.084,0.86
1.089,0.86
1.094,0.86
1.099,0.86
1.104,2.09
1.109,0.86
1.114,0.86
1.119,0.86
1.124,0.86
1.129,0.86
1.134,0.87
1.139,2.08
1.144,2.09
1.149,2.09
1.154,1.9
1.159,2.09
1.164,2.09
1.169,2.09
1.174,2.09
1.179,2.09
1.184,2.09
1.189,2.09
1.194,2.09
1.199,2.09
1.205,2.09
1.209,2.08
1.214,2.09
1.219,2.09
1.224,2.09
1.229,2.09
1.234,2.09
1.239,2.09
1.244,2.09
1.249,2.09
1.255,2.09
1.259,2.09
