Elapsed Time (s),Value
0.000,2.09
0.001,2.09
0.002,1.87
0.003,2.06
0.003,2.09
0.004,2.09
0.004,2.09
0.005,2.09
0.006,2.09
0.006,2.09
0.007,2.09
0.007,2.09
0.008,2.09
0.008,2.09
0.009,2.09
0.009,2.09
0.010,2.09
0.010,2.09
0.011,2.09
0.011,2.09
0.012,2.09
0.013,2.09
0.014,2.09
0.014,2.09
0.015,2.09
0.015,2.09
0.016,2.08
0.016,2.09
0.016,1.15
0.017,1.15
0.018,1.15
0.019,1.15
0.019,1.15
0.020,1.15
0.021,2.09
0.021,1.15
0.022,1.15
0.022,1.15
0.023,1.15
0.023,1.15
0.024,1.15
0.024,1.85
0.025,2.09
0.026,2.09
0.026,2.09
0.027,2.09
0.027,2.09
0.028,2.09
0.028,2.09
0.029,2.09
0.030,2.09
0.030,2.09
0.031,2.09
0.032,2.09
0.033,2.09
0.034,2.09
0.035,2.09
0.036,2.09
0.036,2.09
0.036,2.09
0.037,2.09
0.037,2.09
0.038,2.09
0.038,2.09
0.039,2.09
0.040,1.9
0.040,2.09
0.041,2.09
0.041,2.09
0.041,2.08
0.042,2.09
0.042,2.09
0.043,2.09
0.043,2.09
0.043,1.15
0.044,1.15
0.044,1.15
0.045,1.15
0.049,1.15
0.054,1.15
0.059,1.15
0.064,1.15
0.069,1.15
0.074,1.15
0.079,1.15
0.084,1.15
0.089,1.15
0.094,1.36
0.099,2.09
0.104,2.09
0.109,2.09
0.114,2.09
0.119,2.09
0.124,2.09
0.129,2.09
0.134,2.09
0.139,2.09
0.144,2.09
0.149,2.09
0.154,2.09
0.159,2.08
0.164,2.09
0.169,2.09
0.174,2.09
0.179,2.09
0.184,2.09
0.189,2.09
0.194,1.92
0.199,2.09
0.204,2.09
0.209,2.09
0.214,2.09
0.219,2.09
0.224,2.09
0.229,2.09
0.234,2.09
0.239,2.09
0.244,2.08
0.249,2.09
0.254,2.09
0.258,1.15
0.263,1.15
0.268,1.15
0.273,1.15
0.278,1.15
0.283,1.15
0.289,1.83
0.294,1.15
0.298,1.15
0.304,1.15
0.309,1.15
0.313,1.15
0.318,1.15
0.323,1.16
0.328,2.09
0.334,2.09
0.338,2.09
0.343,2.09
0.348,2.09
0.354,2.09
0.358,2.09
0.363,2.09
0.368,2.09
0.373,2.09
0.378,2.09
0.383,2.09
0.388,2.09
0.393,2.09
0.398,2.09
0.403,2.09
0.408,2.09
0.413,2.09
0.418,2.09
0.423,2.09
0.428,2.09
0.433,2.09
0.438,2.09
0.443,2.09
0.448,2.09
0.453,2.09
0.459,2.09
0.463,2.09
0.469,2.09
0.473,2.09
0.479,2.09
0.484,2.09
0.488,1.15
0.493,1.15
0.499,1.16
0.503,1.15
0.508,1.15
0.513,1.16
0.518,1.16
0.523,1.17
0.528,1.16
0.533,1.16
0.538,1.15
0.543,1.15
0.548,1.16
0.553,1.16
0.558,2.09
0.563,2.09
0.568,2.09
0.573,2.09
0.578,2.09
0.583,2.09
0.588,2.09
0.593,2.09
0.598,2.09
0.603,2.09
0.608,2.09
0.614,2.09
0.618,2.09
0.623,2.09
0.628,2.09
0.633,2.09
0.638,2.09
0.643,2.08
0.648,2.09
0.653,2.09
0.659,2.09
0.663,2.09
0.668,2.09
0.673,2.09
0.678,2.09
0.683,2.09
0.688,2.09
0.693,2.09
0.698,2.09
0.703,2.09
0.708,2.09
0.713,2.09
0.718,1.3
0.723,1.15
0.728,1.15
0.733,1.15
0.738,1.15
0.743,1.15
0.749,1.15
0.753,2.09
0.758,1.15
0.764,1.15
0.768,1.15
0.773,1.15
0.778,1.15
0.783,1.15
0.788,2.09
0.793,2.09
0.798,2.08
0.803,2.09
0.808,2.09
0.813,2.09
0.818,2.09
0.823,2.09
0.828,2.09
0.833,2.09
0.838,2.09
0.843,2.09
0.848,2.09
0.853,2.09
0.858,2.09
0.863,2.09
0.868,2.09
0.873,2.09
0.878,2.09
0.883,2.09
0.888,2.09
0.893,2.09
0.898,2.09
0.903,2.09
0.908,2.09
0.913,2.09
0.918,2.09
0.923,1.89
0.929,2.09
0.933,2.09
0.938,2.09
0.943,2.09
0.948,2.04
0.953,1.15
0.958,1.15
0.963,1.15
0.968,1.15
0.972,1.15
0.978,1.15
0.983,2.09
0.988,2.09
0.993,2.09
0.999,2.09
1.003,2.09
1.008,2.09
1.012,2.09
1.018,2.09
1.023,2.03
1.028,2.09
1.033,2.09
1.038,2.09
1.043,2.09
1.048,2.09
1.053,2.09
1.058,2.09
1.063,2.09
1.068,2.09
1.073,2.09
1.078,2.09
1.082,2.09
1.088,2.09
1.093,2.09
1.098,2.09
1.103,2.09
1.108,2.07
1.113,2.09
1.118,2.09
1.123,2.09
1.128,2.09
1.133,1.97
1.138,2.09
1.143,2.09
1.148,2.09
1.153,2.09
1.158,2.09
1.163,2.09
1.168,2.09
1.173,2.09
1.178,2.09
1.183,1.15
1.188,1.15
1.193,1.15
1.198,1.15
1.203,1.15
1.208,1.15
1.213,2.09
1.218,1.15
1.223,1.15
1.228,1.15
1.233,1.15
1.238,1.15
1.243,1.15
1.248,2.03
1.253,1.15
1.258,1.15
1.263,1.15
1.268,1.15
1.273,1.15
1.278,1.15
1.283,1.15
1.288,2.09
1.293,2.09
1.298,2.09
1.303,2.09
1.308,2.09
1.314,2.09
1.318,2.09
1.323,2.09
1.328,2.09
1.333,2.09
1.338,2.09
1.343,2.01
1.348,2.09
1.353,2.09
1.358,2.09
1.364,2.09
1.368,2.09
1.373,2.09
1.378,2.09
1.383,2.09
1.388,2.09
1.393,2.09
1.398,2.09
1.403,2.09
1.408,2.09
1.414,1.15
1.418,1.15
1.423,1.15
1.428,1.15
1.433,1.15
1.438,1.15
1.443,2.09
1.448,1.15
1.453,1.15
1.458,1.15
1.463,1.15
1.468,1.15
1.473,2.09
1.478,2.09
1.482,2.09
1.488,2.09
1.493,2.09
1.498,2.09
1.503,2.09
1.508,2.09
1.513,2.09
1.518,2.09
1.523,2.09
1.528,2.09
1.533,2.09
1.538,2.09
1.543,2.09
1.548,2.09
1.553,2.09
1.558,2.09
1.563,2.09
1.568,2.09
1.573,2.09
1.578,2.09
1.583,2.09
1.588,2.09
1.593,2.08
1.598,2.09
1.602,2.09
1.607,2.09
1.612,2.09
1.617,2.09
1.623,2.09
1.628,2.09
1.632,2.09
1.637,2.09
1.643,1.15
1.648,1.15
1.653,1.15
1.658,1.15
1.663,1.15
1.667,1.15
1.673,1.15
1.678,1.17
1.682,1.15
1.687,1.15
1.692,2.06
1.698,1.16
1.703,1.15
1.708,1.15
1.713,1.41
1.718,1.15
1.723,1.16
1.728,2.09
1.733,1.16
1.738,1.16
1.743,1.15
1.748,2.07
1.753,2.09
1.758,1.89
1.763,2.09
1.768,2.09
1.773,2.09
1.778,2.09
1.783,2.09
1.788,2.09
1.797,2.09
1.804,2.09
1.826,2.09
1.853,2.09
1.870,2.09
1.891,2.09
1.891,2.09
1.891,2.09
1.892,2.09
1.892,2.09
1.892,2.09
1.893,2.09
1.894,2.09
1.896,2.09
1.901,2.09
1.926,2.07
1.944,1.15
1.947,1.15
1.947,1.15
1.948,1.87
1.948,2.09
1.949,2.09
1.949,2.07
1.950,2.09
1.950,2.09
1.950,2.09
1.951,2.09
1.951,2.09
1.952,2.09
1.952,2.09
1.953,2.09
1.953,2.09
1.954,2.09
1.957,2.09
1.963,2.09
1.967,1.94
1.973,2.09
1.977,2.09
1.982,2.08
1.987,2.09
1.992,2.09
1.997,2.09
2.002,2.09
2.007,2.09
2.014,2.09
2.017,2.09
2.022,2.09
2.027,2.09
2.032,2.09
2.037,2.09
2.043,2.09
2.049,2.09
2.053,2.09
2.057,2.06
2.063,2.09
2.067,2.09
2.072,2.09
2.077,2.09
2.082,2.09
2.087,2.09
2.093,2.09
2.098,2.09
2.102,1.15
2.107,1.15
2.113,1.15
2.117,1.15
2.122,1.15
2.127,1.15
2.132,1.23
2.137,2.08
2.142,1.15
2.148,1.31
2.152,1.15
2.157,1.15
2.163,1.15
2.167,1.15
2.172,2.07
2.177,1.15
2.182,1.15
2.187,1.16
2.192,1.15
2.197,2.08
2.202,1.15
2.207,1.15
2.213,2.05
2.217,2.09
2.222,2.09
2.227,2.09
2.232,2.09
2.237,2.09
2.242,2.09
2.247,2.09
2.252,2.09
2.257,2.09
2.263,2.09
2.267,2.09
2.272,2.09
2.277,2.06
2.282,1.83
2.287,2.09
2.292,2.09
2.297,2.09
2.302,2.09
2.307,2.09
2.312,2.09
2.317,2.09
2.322,2.09
2.327,2.09
2.332,2.09
2.337,1.15
2.342,1.15
2.347,1.15
2.352,1.15
2.357,1.15
2.362,1.15
2.367,1.32
2.372,1.15
2.377,1.15
2.382,1.15
2.387,2.09
2.392,2.09
2.397,2.09
2.402,2.09
2.407,2.09
2.412,2.09
2.416,2.09
2.422,2.09
2.427,2.09
2.432,2.09
2.437,2.08
2.442,2.09
2.447,2.09
2.452,2.09
2.457,2.09
2.462,2.09
2.467,2.09
2.472,2.09
2.477,2.09
2.482,2.09
2.487,2.09
2.492,2.09
2.496,2.09
2.502,2.09
2.507,2.09
2.513,2.09
2.517,2.09
2.522,2.09
2.527,2.09
2.531,2.09
2.536,2.09
2.542,2.08
2.547,2.09
2.552,2.09
2.557,2.09
2.562,1.28
2.567,1.15
2.572,1.15
2.577,1.18
2.581,1.95
2.587,1.9
2.592,2.09
2.597,2.09
2.602,2.09
2.607,2.09
2.612,2.09
2.617,2.09
2.622,2.09
2.627,2.09
2.633,2.09
2.637,2.09
2.642,2.09
2.648,2.09
2.652,2.09
2.657,2.09
2.662,2.09
2.667,2.09
2.672,2.09
2.677,2.09
2.682,2.09
2.686,2.09
2.691,2.09
2.696,2.09
2.701,2.09
2.706,2.09
2.712,2.09
2.716,2.09
2.721,2.09
2.726,2.09
2.731,2.09
2.736,2.09
2.741,2.09
2.746,2.09
2.752,2.09
2.757,2.09
2.763,2.09
2.767,2.09
2.772,2.09
2.777,2.09
2.782,2.09
2.787,2.09
2.792,2.09
2.797,1.15
2.801,1.15
2.806,1.15
2.811,1.16
2.816,1.15
2.821,1.15
2.827,2.09
2.832,1.15
2.836,1.15
2.841,1.16
2.847,1.16
2.851,1.15
2.856,1.15
2.861,1.15
2.867,2.09
2.871,2.09
2.877,2.09
2.882,2.09
2.887,2.09
2.892,1.99
2.897,2.09
2.901,2.09
2.906,2.09
2.911,2.09
2.916,2.09
2.921,2.09
2.926,2.09
2.931,2.09
2.936,2.09
2.941,2.09
2.946,2.09
2.951,2.09
2.956,2.09
2.961,2.09
2.966,2.09
2.971,2.09
2.976,2.09
2.981,2.09
2.986,2.09
2.991,2.09
2.997,2.09
3.002,2.09
3.006,2.08
3.012,2.09
3.017,2.09
3.022,2.09
3.026,1.15
3.031,1.15
3.036,1.15
3.042,1.15
3.047,1.15
3.052,1.15
3.056,1.15
3.062,1.15
3.067,1.15
3.072,1.15
3.077,1.15
3.082,1.15
3.087,1.88
3.091,2.09
3.097,2.09
3.102,1.84
3.107,2.09
3.112,2.09
3.116,2.09
3.122,2.09
3.126,2.09
3.131,2.08
3.136,2.09
3.141,2.09
3.147,2.09
3.151,2.09
3.156,2.09
3.162,2.07
3.167,2.09
3.172,2.09
3.177,2.09
3.182,2.09
3.186,2.09
3.192,2.09
3.197,2.09
3.202,2.09
3.207,1.87
3.212,2.09
3.217,2.09
3.222,2.09
3.227,2.09
3.232,2.09
3.236,2.09
3.242,2.09
3.246,2.09
3.251,2.09
3.256,1.15
3.261,1.15
3.266,1.15
3.271,1.15
3.276,1.15
3.281,1.15
3.287,1.15
3.291,1.17
3.297,1.15
3.301,1.15
3.306,1.15
3.311,1.15
3.316,1.15
3.321,1.81
3.326,2.09
3.331,2.09
3.336,2.09
3.342,2.09
3.347,2.09
3.352,2.09
3.357,2.09
3.361,2.09
3.366,2.09
3.371,2.09
3.376,2.09
3.382,2.09
3.386,2.09
3.391,2.09
3.397,2.09
3.401,2.09
3.406,2.09
3.411,2.09
3.416,2.09
3.421,2.09
3.426,2.08
3.431,2.09
3.436,2.09
3.441,2.09
3.446,2.09
3.451,2.09
3.456,2.09
3.461,2.09
3.466,2.09
3.471,2.09
3.476,2.09
3.481,2.09
3.486,1.16
3.491,1.15
3.496,1.15
3.501,1.15
3.506,1.15
3.511,1.15
3.516,1.36
3.521,2.09
3.526,2.09
3.531,2.09
3.536,2.09
3.541,2.09
3.546,2.09
3.551,2.09
3.556,2.09
3.561,2.09
3.566,2.09
3.571,2.09
3.576,2.09
3.581,2.09
3.586,2.08
3.591,2.09
3.596,2.09
3.601,2.09
3.606,2.09
3.611,2.09
