Elapsed Time (s),Value
0.001,1.05
0.006,1.05
0.011,1.05
0.016,1.05
0.021,1.05
0.026,1.05
0.031,1.05
0.036,1.05
0.041,1.05
0.046,1.05
0.051,1.05
0.055,1.05
0.061,1.05
0.066,1.05
0.071,1.05
0.076,1.05
0.081,1.05
0.086,1.05
0.091,1.05
0.095,1.05
0.101,1.05
0.105,1.05
0.110,1.05
0.116,1.05
0.120,1.05
0.126,1.05
0.131,1.05
0.136,1.05
0.141,1.05
0.145,1.05
0.150,1.05
0.155,1.05
0.160,1.05
0.166,1.05
0.171,1.05
0.175,1.05
0.181,1.05
0.185,1.05
0.191,1.05
0.196,1.05
0.201,1.05
0.206,1.05
0.211,1.05
0.216,1.05
0.221,1.05
0.226,1.05
0.231,1.05
0.236,1.05
0.241,1.05
0.246,1.05
0.251,1.05
0.255,1.05
0.260,1.05
0.266,1.05
0.270,1.05
0.275,1.05
0.281,1.05
0.285,1.05
0.290,1.05
0.296,1.05
0.301,1.05
0.306,1.05
0.311,1.05
0.316,1.05
0.321,1.05
0.326,1.05
0.330,1.05
0.335,1.05
0.341,1.05
0.345,1.05
0.350,1.05
0.355,1.05
0.360,1.05
0.366,1.05
0.370,1.05
0.375,1.05
0.380,1.05
0.385,1.05
0.390,1.05
0.395,1.05
0.400,1.05
0.405,1.05
0.410,1.05
0.415,1.05
0.420,1.05
0.425,1.05
0.430,1.05
0.435,1.05
0.440,1.05
0.446,1.05
0.451,1.05
0.456,1.05
0.461,1.05
0.466,1.05
0.470,1.05
0.475,1.05
0.480,1.05
0.485,1.05
0.490,1.05
0.496,1.05
0.501,1.05
0.505,1.05
0.510,1.05
0.515,1.05
0.520,1.05
0.525,1.05
0.530,1.05
0.536,1.05
0.541,1.05
0.546,1.05
0.551,1.05
0.556,1.05
0.561,1.05
0.566,1.05
0.571,1.05
0.576,1.05
0.580,1.05
0.586,1.05
0.591,1.05
0.596,1.05
0.601,1.05
0.606,1.05
0.611,1.05
0.616,1.05
0.621,1.05
0.626,1.05
0.631,1.05
0.636,1.05
0.641,1.05
0.646,1.05
0.652,1.05
0.656,1.05
0.661,1.05
0.666,1.05
0.671,1.05
0.676,1.05
0.681,1.05
0.687,1.05
0.691,1.05
0.696,1.05
0.702,1.05
0.706,1.05
0.711,1.05
0.716,1.05
0.721,1.05
0.726,1.05
0.731,1.05
0.736,1.05
0.741,1.05
0.746,1.05
0.751,1.05
0.756,1.05
0.761,1.05
0.766,1.05
0.771,1.05
0.776,1.05
0.781,1.05
0.786,1.05
0.791,1.05
0.796,1.05
0.802,1.05
0.806,1.05
0.811,1.05
0.816,1.05
0.821,1.05
0.826,1.05
0.831,1.05
0.836,1.05
0.841,1.05
0.846,1.05
0.851,1.05
0.856,1.05
0.861,1.05
0.866,1.05
0.870,1.05
0.876,1.05
0.880,1.05
0.886,1.05
0.890,1.05
0.896,1.05
0.902,1.05
0.906,1.05
0.910,1.05
0.916,1.05
0.920,1.05
0.926,1.05
0.931,1.05
0.936,1.05
0.941,1.05
0.946,1.05
0.952,1.05
0.955,1.05
0.960,1.05
0.965,1.05
0.970,1.05
0.976,1.05
0.981,1.05
0.985,1.05
0.990,1.05
0.996,1.05
1.001,1.05
1.006,1.05
1.010,1.05
1.015,1.05
1.020,1.05
1.025,1.05
1.030,1.05
1.035,1.05
1.040,1.05
1.045,1.05
1.051,1.05
1.055,1.05
1.060,1.05
1.065,1.05
1.070,1.05
1.075,1.05
1.080,1.05
1.085,1.05
1.090,1.05
1.095,1.05
1.100,1.05
1.105,1.05
1.110,1.05
1.115,1.05
1.120,1.05
1.125,1.05
1.130,1.05
1.135,1.05
1.140,1.05
1.145,1.05
1.150,1.05
1.155,1.05
1.160,1.05
1.165,1.05
1.170,1.05
1.175,1.05
1.180,1.05
1.185,1.05
1.190,1.05
1.195,1.05
1.201,1.05
1.205,1.05
1.210,1.05
1.215,1.05
1.220,1.05
1.225,1.05
1.230,1.05
1.235,1.05
1.240,1.05
1.245,1.05
1.253,1.05
1.255,1.05
1.260,1.05
1.265,1.05
1.270,1.05
1.275,1.05
1.280,1.05
1.286,1.05
1.290,1.05
1.295,1.05
1.301,1.05
1.305,1.05
1.310,1.05
1.315,1.05
1.320,1.05
1.325,1.05
1.330,1.05
1.335,1.05
1.340,1.05
1.345,1.05
1.350,1.05
1.355,1.05
1.360,1.05
1.365,1.05
1.370,1.05
1.375,1.05
1.380,1.05
1.385,1.05
1.390,1.05
1.395,1.05
1.400,1.05
1.405,1.05
1.410,1.05
1.415,1.05
1.420,1.05
1.425,1.05
1.430,1.05
1.435,1.05
1.440,1.05
1.445,1.05
1.451,1.05
1.455,1.05
1.460,1.05
1.465,1.05
1.470,1.05
1.475,1.05
1.480,1.05
1.484,1.05
1.490,1.05
1.495,1.05
1.500,1.05
1.505,1.05
1.510,1.05
1.515,1.05
1.520,1.05
1.525,1.05
1.530,1.05
1.535,1.05
1.540,1.05
1.545,1.05
1.551,1.05
1.555,1.05
1.560,1.05
1.565,1.05
1.570,1.05
1.575,1.05
1.580,1.05
1.584,1.05
1.590,1.05
1.595,1.05
1.600,1.05
1.605,1.05
1.610,1.05
1.615,1.05
1.620,1.05
1.625,1.05
1.630,1.05
1.635,1.05
1.640,1.05
1.645,1.05
1.650,1.05
1.654,1.05
1.659,1.05
1.664,1.05
1.669,1.05
1.674,1.05
1.679,1.05
1.684,1.05
1.689,1.05
1.694,1.05
1.699,1.05
1.704,1.05
1.709,1.05
1.714,1.05
1.719,1.05
1.724,1.05
1.729,1.05
1.735,1.05
1.739,1.05
1.745,1.05
1.750,1.05
1.755,1.05
1.760,1.05
1.764,1.05
1.769,1.05
1.775,1.05
1.779,1.05
1.786,1.05
1.789,1.05
1.795,1.05
1.800,1.05
1.805,1.05
1.809,1.05
1.814,1.05
1.820,1.05
1.825,1.05
1.830,1.05
1.834,1.05
1.840,1.05
1.845,1.05
1.850,1.05
1.855,1.05
1.860,1.05
1.864,1.05
1.869,1.05
1.875,1.05
1.880,1.05
1.884,1.05
1.890,1.05
1.894,1.05
1.900,1.05
1.904,1.05
1.909,1.05
1.915,1.05
1.919,1.05
1.924,1.05
1.929,1.05
1.935,1.05
1.939,1.05
1.944,1.05
1.949,1.05
1.954,1.05
1.959,1.05
1.964,1.05
1.969,1.05
1.974,1.05
1.979,1.05
1.985,1.05
1.989,1.05
1.994,1.05
2.000,1.05
2.004,1.05
2.009,1.05
2.014,1.05
2.019,1.05
2.024,1.05
2.029,1.05
2.034,1.05
2.039,1.05
2.044,1.05
2.049,1.05
2.054,1.05
2.059,1.05
2.064,1.05
2.069,1.05
2.074,1.05
2.079,1.05
2.084,1.05
2.089,1.05
2.094,1.05
2.100,1.05
2.104,1.05
2.109,1.05
2.114,1.05
2.119,1.05
2.124,1.05
2.129,1.05
2.135,1.05
2.139,1.05
2.144,1.05
2.150,1.05
2.154,1.05
2.159,1.05
2.164,1.05
2.169,1.05
2.174,1.05
2.179,1.05
2.184,1.05
2.189,1.05
2.194,1.05
2.199,1.05
2.204,1.05
2.209,1.05
2.214,1.05
2.219,1.05
2.224,1.05
2.229,1.05
2.234,1.05
2.239,1.05
2.244,1.05
2.249,1.05
2.254,1.05
2.259,1.05
2.265,1.05
2.269,1.05
2.274,1.05
2.279,1.05
2.284,1.05
2.289,1.05
2.294,1.05
2.299,1.05
2.304,1.05
2.309,1.05
2.314,1.05
2.319,1.05
2.324,1.05
2.329,1.05
2.335,1.05
2.339,1.05
2.344,1.05
2.349,1.05
2.354,1.05
2.359,1.05
2.364,1.05
2.369,1.05
2.374,1.05
2.379,1.05
2.385,1.05
2.389,1.05
2.394,1.05
2.400,1.05
2.404,1.05
2.409,1.05
2.414,1.05
2.419,1.05
2.424,1.05
2.429,1.05
2.434,1.05
2.439,1.05
2.444,1.05
2.449,1.05
2.454,1.05
2.459,1.05
2.464,1.05
2.469,1.05
2.474,1.05
2.479,1.05
2.485,1.05
2.489,1.05
2.494,1.05
2.499,1.05
2.504,1.05
2.509,1.05
2.514,1.05
2.519,1.05
2.525,1.05
2.529,1.05
2.534,1.05
2.539,1.05
2.544,1.05
2.550,1.05
2.554,1.05
2.559,1.05
2.564,1.05
2.569,1.05
2.574,1.05
2.579,1.05
2.584,1.05
2.589,1.05
2.594,1.05
2.599,1.05
2.604,1.05
2.609,1.05
2.614,1.05
2.619,1.05
2.624,1.05
2.629,1.05
2.634,1.05
2.639,1.05
2.644,1.05
2.649,1.05
2.654,1.05
2.659,1.05
2.664,1.05
2.669,1.05
2.674,1.05
2.679,1.05
2.684,1.05
2.689,1.05
2.694,1.05
2.699,1.05
2.704,1.05
2.709,1.05
2.714,1.05
2.719,1.05
2.724,1.05
2.729,1.05
2.734,1.05
2.739,1.05
2.744,1.05
2.749,1.05
2.754,1.05
2.759,1.05
2.764,1.05
2.769,1.05
2.774,1.05
2.779,1.05
2.785,1.05
2.789,1.05
2.794,1.05
2.799,1.05
2.804,1.05
2.809,1.05
2.814,1.05
2.819,1.05
2.824,1.05
2.829,1.05
2.834,1.05
2.839,1.05
2.844,1.05
2.849,1.05
2.854,1.05
2.859,1.05
2.864,1.05
2.869,1.05
2.874,1.05
2.879,1.05
2.884,1.05
2.889,1.05
2.894,1.05
2.899,1.05
2.904,1.05
2.909,1.05
2.914,1.05
2.919,1.05
2.924,1.05
2.929,1.05
2.934,1.05
2.939,1.05
2.944,1.05
2.949,1.05
2.954,1.05
2.959,1.05
2.964,1.05
2.968,1.05
2.974,1.05
2.979,1.05
2.984,1.05
2.989,1.05
2.994,1.05
2.999,1.05
3.004,1.05
3.009,1.05
3.014,1.05
3.019,1.05
3.024,1.05
3.029,1.05
3.034,1.05
3.039,1.05
3.044,1.05
3.049,1.05
3.054,1.05
3.059,1.05
3.064,1.05
3.069,1.05
3.074,1.05
3.079,1.05
3.084,1.05
3.089,1.05
3.094,1.05
3.099,1.05
3.104,1.05
3.109,1.05
3.114,1.05
3.119,1.05
3.124,1.05
3.128,1.05
3.134,1.05
3.138,1.05
3.143,1.05
3.149,1.05
3.153,1.05
3.159,1.05
3.164,1.05
3.168,1.05
3.174,1.05
3.179,1.05
3.184,1.05
3.189,1.05
3.194,1.05
3.199,1.05
3.204,1.05
3.209,1.05
3.214,1.05
3.218,1.05
3.224,1.05
3.229,1.05
3.234,1.05
3.239,1.05
3.244,1.05
3.249,1.05
3.254,1.05
3.259,1.05
3.264,1.05
3.269,1.05
3.274,1.05
3.279,1.05
3.284,1.05
3.289,1.05
3.293,1.05
3.299,1.05
3.303,1.05
3.308,1.05
3.314,1.05
3.318,1.05
3.323,1.05
3.328,1.05
3.334,1.05
3.339,1.05
3.344,1.05
3.349,1.05
3.353,1.05
3.358,1.05
3.363,1.05
3.368,1.05
3.374,1.05
3.379,1.05
3.384,1.05
3.389,1.05
3.393,1.05
3.399,1.05
3.404,1.05
3.409,1.05
3.414,1.05
3.419,1.05
3.424,1.05
3.429,1.05
3.434,1.05
3.438,1.05
3.443,1.05
3.449,1.05
3.453,1.05
3.459,1.05
3.463,1.05
3.468,1.05
3.473,1.05
3.479,1.05
3.484,1.05
3.489,1.05
3.493,1.05
3.499,1.05
3.504,1.05
3.508,1.05
3.514,1.05
3.518,1.05
3.523,1.05
3.529,1.05
3.533,1.05
3.538,1.05
3.544,1.05
3.549,1.05
3.553,1.05
3.558,1.05
3.564,1.05
3.568,1.05
3.573,1.05
3.579,1.05
3.584,1.05
3.588,1.05
3.594,1.05
3.599,1.05
3.603,1.05
3.608,1.05
3.614,1.05
3.618,1.05
3.623,1.05
3.629,1.05
3.634,1.05
3.638,1.05
3.643,1.05
3.649,1.05
3.653,1.05
3.658,1.05
3.663,1.05
3.668,1.05
3.673,1.05
3.678,1.05
3.683,1.05
3.688,1.05
3.693,1.05
3.698,1.05
3.703,1.05
3.708,1.05
3.713,1.05
3.718,1.05
3.723,1.05
3.728,1.05
3.733,1.05
3.738,1.05
3.743,1.05
3.748,1.05
3.753,1.05
3.758,1.05
3.763,1.05
3.768,1.05
3.773,1.05
3.778,1.05
3.783,1.05
3.788,1.05
3.793,1.05
3.798,1.05
3.803,1.05
3.808,1.05
3.813,1.05
3.818,1.05
3.823,1.05
3.828,1.05
3.833,1.05
3.838,1.05
3.843,1.05
3.848,1.05
3.853,1.05
3.858,1.05
3.863,1.05
3.868,1.05
3.873,1.05
3.878,1.05
3.883,1.05
3.888,1.05
3.893,1.05
3.898,1.05
3.903,1.05
3.908,1.05
3.913,1.05
3.918,1.05
3.923,1.05
3.928,1.05
3.933,1.05
3.938,1.05
3.943,1.05
3.948,1.05
3.953,1.05
3.958,1.05
3.963,1.05
3.968,1.05
3.973,1.05
3.978,1.05
3.983,1.05
3.988,1.05
3.993,1.05
3.998,1.05
4.003,1.05
4.008,1.05
4.013,1.05
4.018,1.05
4.023,1.05
4.028,1.05
4.033,1.05
4.038,1.05
4.043,1.05
4.048,1.05
4.054,1.05
4.058,1.05
4.063,1.05
4.068,1.05
4.073,1.05
4.078,1.05
4.083,1.05
4.088,1.05
4.093,1.05
4.098,1.05
4.103,1.05
4.108,1.05
4.113,1.05
4.118,1.05
4.123,1.05
4.128,1.05
4.134,1.05
4.138,1.05
4.143,1.05
4.148,1.05
4.153,1.05
4.158,1.05
4.163,1.05
4.168,1.05
4.173,1.05
4.178,1.05
4.183,1.05
4.188,1.05
4.193,1.05
4.198,1.05
4.203,1.05
4.208,1.05
4.213,1.05
4.218,1.05
4.223,1.05
4.228,1.05
4.233,1.05
4.238,1.05
