Elapsed Time (s),Value
0.001,1.14
0.006,1.14
0.011,1.14
0.016,1.14
0.021,1.14
0.026,1.14
0.031,1.14
0.036,1.14
0.041,1.14
0.046,1.14
0.051,1.14
0.056,1.14
0.061,1.14
0.066,1.14
0.071,1.14
0.076,1.14
0.081,1.14
0.086,1.14
0.091,1.14
0.096,1.14
0.101,1.14
0.106,1.14
0.111,1.14
0.116,1.14
0.121,1.14
0.126,1.14
0.131,1.14
0.136,1.14
0.141,1.14
0.146,1.14
0.151,1.14
0.156,1.14
0.161,1.14
0.166,1.14
0.171,1.14
0.176,1.14
0.181,1.14
0.186,1.14
0.191,1.14
0.196,1.14
0.201,1.14
0.206,1.14
0.211,1.14
0.216,1.14
0.220,1.14
0.226,1.14
0.230,1.14
0.236,1.14
0.241,1.14
0.246,1.14
0.251,1.14
0.256,1.14
0.261,1.14
0.266,1.14
0.271,1.14
0.276,1.14
0.281,1.14
0.286,1.14
0.291,1.14
0.296,1.14
0.301,1.14
0.306,1.14
0.311,1.14
0.316,1.14
0.321,1.14
0.326,1.13
0.331,1.13
0.336,1.14
0.341,1.14
0.345,1.13
0.350,1.13
0.356,1.14
0.360,1.13
0.366,1.13
0.370,1.14
0.376,1.14
0.381,1.14
0.385,1.14
0.390,1.14
0.395,1.13
0.400,1.14
0.405,1.14
0.410,1.13
0.415,1.13
0.420,1.14
0.425,1.14
0.430,1.14
0.435,1.14
0.440,1.14
0.445,1.13
0.450,1.14
0.455,1.14
0.460,1.13
0.465,1.14
0.471,1.14
0.475,1.13
0.481,1.13
0.485,1.14
0.490,1.13
0.496,1.14
0.501,1.13
0.506,1.13
0.511,1.14
0.515,1.14
0.520,1.13
0.525,1.14
0.530,1.14
0.536,1.13
0.541,1.14
0.546,1.14
0.551,1.14
0.556,1.14
0.561,1.14
0.566,1.13
0.571,1.13
0.576,1.14
0.581,1.13
0.586,1.13
0.590,1.14
0.595,1.13
0.600,1.14
0.605,1.14
0.610,1.13
0.615,1.14
0.620,1.14
0.625,1.13
0.630,1.13
0.635,1.14
0.641,1.13
0.645,1.13
0.650,1.14
0.655,1.13
0.660,1.14
0.665,1.14
0.670,1.13
0.675,1.14
0.681,1.14
0.685,1.13
0.690,1.14
0.696,1.14
0.700,1.13
0.705,1.14
0.710,1.14
0.715,1.13
0.720,1.13
0.725,1.14
0.730,1.14
0.735,1.13
0.740,1.14
0.746,1.14
0.750,1.13
0.755,1.14
0.760,1.14
0.765,1.13
0.770,1.14
0.775,1.13
0.780,1.13
0.785,1.14
0.790,1.14
0.795,1.13
0.800,1.14
0.805,1.14
0.810,1.13
0.815,1.13
0.820,1.14
0.825,1.13
0.830,1.13
0.835,1.13
0.840,1.14
0.845,1.13
0.850,1.13
0.855,1.14
0.860,1.13
0.865,1.13
0.870,1.14
0.875,1.13
0.880,1.14
0.885,1.14
0.890,1.13
0.895,1.13
0.900,1.14
0.905,1.13
0.910,1.13
0.915,1.14
