Elapsed Time (s),Value
0.000,2.08
0.000,2.04
0.000,2.04
0.000,2.04
0.000,2.04
0.000,2.04
0.000,2.09
0.000,2.09
0.000,2.09
0.000,2.04
0.000,2.04
0.010,2.03
0.013,2.04
0.019,2.08
0.025,2.09
0.029,2.08
0.035,2.09
0.038,2.04
0.045,2.04
0.050,2.08
0.055,2.03
0.058,2.04
0.065,2.04
0.070,2.04
0.075,2.08
0.076,2.08
0.085,2.09
0.090,2.04
0.093,2.04
0.099,2.04
0.102,2.08
0.110,2.08
0.112,2.08
0.120,2.08
0.122,2.09
0.130,2.04
0.135,2.04
0.140,2.08
0.141,2.09
0.150,2.08
0.155,2.09
0.158,2.09
0.165,2.09
0.169,2.07
0.175,2.09
0.177,2.09
0.184,2.04
0.187,2.09
0.195,2.08
0.200,2.08
0.205,2.04
0.208,2.09
0.215,2.08
0.219,2.09
0.225,2.04
0.227,2.08
0.234,2.04
0.236,2.03
0.245,2.09
0.250,2.09
0.255,2.08
0.258,2.08
0.265,2.03
0.270,2.08
0.275,2.08
0.278,2.08
0.285,2.08
0.286,2.09
0.295,2.08
0.300,2.03
0.305,2.08
0.308,2.09
0.315,2.08
0.318,2.04
0.325,2.09
0.327,2.09
0.335,2.09
0.337,2.08
0.345,1.97
0.350,2.08
0.355,2.08
0.357,2.03
0.365,2.08
0.369,2.09
0.375,2.03
0.377,2.08
0.385,2.08
0.386,2.04
0.395,2.04
0.400,2.04
0.405,2.04
0.407,2.09
0.415,2.08
0.419,2.03
0.425,2.08
0.427,2.09
0.435,2.08
0.437,2.03
0.445,2.09
0.450,2.04
0.455,2.04
0.457,2.06
0.465,2.04
0.469,2.08
0.475,2.08
0.480,2.03
0.485,2.03
0.485,2.04
0.495,2.08
0.500,2.03
0.505,2.09
0.507,2.08
0.515,2.09
0.519,2.03
0.525,2.03
0.527,2.04
0.535,2.08
0.536,1.97
0.545,2.04
0.550,2.08
0.555,2.08
0.558,2.02
0.565,2.03
0.569,2.09
0.575,2.08
0.577,2.08
0.585,2.08
0.587,2.09
0.587,2.08
0.599,2.08
0.604,2.09
0.609,2.09
0.615,2.08
0.619,2.08
0.624,2.08
0.629,2.03
0.635,2.08
0.640,2.08
0.645,2.09
0.650,2.09
0.655,2.06
0.660,2.08
0.663,2.08
0.670,2.08
0.672,2.08
0.680,2.09
0.685,2.09
0.690,2.09
0.694,2.08
0.699,2.08
0.705,2.08
0.705,2.09
0.715,2.08
0.720,2.08
0.725,2.08
0.730,2.09
0.735,2.08
0.736,2.04
0.745,2.08
0.749,2.08
0.755,2.06
0.760,2.08
0.765,2.09
0.769,2.09
0.775,2.08
0.778,2.06
0.785,2.08
0.787,2.09
0.795,2.07
0.799,2.08
0.805,2.08
0.808,2.09
0.815,2.08
0.819,2.08
0.825,2.08
0.827,2.09
0.834,2.08
0.837,2.09
0.845,2.09
0.849,2.09
0.855,2.08
0.858,2.09
0.858,2.08
0.870,2.09
0.872,2.08
0.880,2.04
0.885,2.09
0.890,2.07
