Elapsed Time (s),Value
0.000,1.95
0.016,2.08
0.022,2.07
0.024,2.08
0.032,2.03
0.037,2.08
0.042,2.09
0.044,1.97
0.052,2.08
0.057,2.08
0.062,2.08
0.067,2.08
0.072,2.08
0.074,2.03
0.082,2.01
0.084,2.08
0.092,2.09
0.094,2.08
0.102,2.03
0.105,2.08
0.112,2.04
0.117,2.08
0.122,2.08
0.124,2.08
0.132,2.08
0.135,2.08
0.142,2.08
0.144,1.95
0.153,2.08
0.157,2.08
0.162,1.97
0.167,2.08
0.172,2.08
0.175,2.08
0.182,2.08
0.185,1.94
0.185,2.09
0.197,2.08
0.201,2.08
0.207,2.08
0.210,1.96
0.217,2.08
0.219,2.02
0.227,2.08
0.232,2.08
0.237,2.08
0.240,2.05
0.247,1.93
0.251,2.05
0.257,2.03
0.259,2.08
0.267,2.08
0.269,2.08
0.277,1.95
0.279,2.08
0.287,2.07
0.290,2.08
0.297,2.08
0.301,1.79
0.307,2.08
0.308,2.09
0.317,2.08
0.322,2.06
0.327,2.08
0.332,2.03
0.336,1.98
0.341,2.09
0.347,2.08
0.351,1.89
0.357,2.08
0.359,2.05
0.366,2.08
0.369,2.03
0.377,2.01
0.382,2.08
0.387,2.08
0.389,2.07
0.397,2.08
0.401,2.08
0.407,2.03
0.409,2.08
0.417,2.08
0.419,2.08
0.427,2.07
0.432,2.04
0.437,2.08
0.440,2.09
0.447,2.08
0.452,2.03
0.457,2.08
0.459,2.06
0.466,2.08
0.468,2.08
0.476,2.08
0.482,2.05
0.487,2.08
0.490,2.06
0.497,2.08
0.500,2.08
0.507,2.08
0.509,2.0
0.517,2.05
0.518,2.08
0.526,1.93
0.528,2.03
0.536,2.08
0.540,2.08
0.546,1.97
0.550,1.99
0.557,2.08
0.561,2.08
0.566,2.08
0.571,2.08
0.577,2.07
0.582,2.04
0.586,2.08
0.590,1.97
0.596,2.09
0.601,2.08
0.607,2.08
0.612,1.97
0.616,2.08
0.621,1.97
0.626,2.08
0.631,2.08
0.636,2.08
0.641,2.08
0.646,1.99
0.651,2.08
0.656,2.08
0.662,2.06
0.667,2.08
0.671,2.08
0.676,2.08
0.682,2.08
0.686,2.08
0.691,2.08
0.696,2.08
0.699,2.07
0.706,2.08
0.709,2.08
0.716,2.08
0.716,2.07
0.726,2.08
0.731,2.09
0.733,2.08
0.733,2.02
0.746,2.08
0.749,2.07
0.756,2.08
0.761,2.04
0.766,2.07
0.766,1.99
0.776,2.08
0.777,1.99
0.783,2.07
0.791,2.08
0.795,2.08
0.799,1.97
0.806,2.08
0.808,1.93
0.816,2.08
0.816,2.07
0.826,2.08
0.828,2.08
0.836,2.08
0.841,1.97
0.846,2.08
0.849,2.07
0.856,2.08
0.859,1.99
0.865,2.08
0.868,2.0
0.877,2.08
0.882,2.03
0.886,2.08
0.890,2.08
0.896,2.06
0.899,1.95
0.906,2.08
0.908,1.94
0.916,2.08
0.921,2.08
0.924,2.08
0.932,2.08
0.933,2.07
0.933,1.96
0.946,2.08
0.949,1.96
0.956,2.08
0.959,2.08
0.966,2.01
0.968,2.08
0.976,2.07
0.979,1.94
0.986,2.01
0.989,2.08
0.996,2.08
0.999,1.94
1.006,2.08
1.008,2.03
1.016,2.08
1.016,2.09
1.026,2.08
1.032,1.95
1.036,2.06
1.040,2.07
1.046,2.08
1.049,2.08
1.056,2.08
1.059,1.98
1.066,2.08
1.066,2.09
1.076,2.07
1.078,2.08
1.086,2.08
1.089,2.08
1.096,2.08
1.099,2.08
1.106,2.08
1.109,2.06
1.115,2.08
1.119,2.08
1.125,2.08
1.128,2.08
1.135,2.07
1.140,2.08
1.146,1.96
1.149,2.08
1.156,2.08
1.161,2.08
1.166,2.08
1.171,2.07
1.176,2.08
1.180,2.08
1.182,2.08
1.182,1.95
1.196,2.0
1.199,1.95
1.205,2.08
1.209,2.08
1.215,2.05
1.220,1.95
1.225,2.03
1.230,2.06
1.232,2.08
1.232,2.08
1.245,2.08
1.249,1.96
1.255,2.06
1.260,1.98
1.265,2.07
1.265,1.97
1.275,1.96
1.277,2.08
1.285,2.08
1.290,2.09
1.296,2.05
1.299,1.96
1.305,2.09
1.310,2.08
1.315,2.08
1.315,1.98
1.325,2.03
1.328,2.07
1.332,2.08
1.332,2.08
1.345,2.03
1.350,2.08
1.352,2.08
1.360,2.04
1.365,2.08
1.370,2.08
1.374,2.08
1.380,1.94
1.382,2.08
1.391,1.99
1.392,2.08
1.399,2.08
1.405,2.02
1.408,2.04
1.416,2.08
1.416,2.08
1.416,2.04
1.430,2.04
1.432,2.08
1.432,2.09
1.445,2.08
1.449,2.08
1.449,2.04
1.460,2.03
1.466,2.08
1.466,2.08
1.466,2.09
1.480,1.94
1.482,2.08
1.491,2.07
1.493,2.08
1.499,2.08
1.505,2.08
1.509,1.9
1.516,1.86
1.516,1.96
1.516,2.08
1.530,2.08
1.532,1.84
1.541,2.08
1.543,2.08
1.549,1.86
1.553,2.02
1.560,2.01
1.565,2.0
1.570,1.65
1.574,2.08
1.580,2.05
1.582,2.04
1.590,1.98
1.592,2.08
1.600,2.04
1.602,1.96
1.610,1.95
1.616,2.08
1.620,1.86
1.624,1.49
1.630,2.09
1.632,1.67
1.640,1.93
1.642,2.09
1.649,1.99
1.655,1.85
1.660,2.08
1.666,2.05
1.666,1.75
1.675,2.09
1.677,2.09
1.686,1.76
1.690,1.93
1.690,2.09
1.699,1.91
1.704,1.96
1.708,2.02
1.714,2.08
1.715,1.65
1.725,2.08
1.728,2.08
1.732,1.69
1.740,2.04
1.745,2.09
1.749,1.92
1.755,2.03
1.758,2.08
1.765,2.08
1.766,1.79
1.766,2.01
1.780,1.21
1.782,1.75
1.790,2.0
1.793,2.08
1.799,2.02
1.799,2.06
1.810,2.08
1.815,2.01
1.816,1.89
1.825,2.06
1.829,2.01
1.835,1.76
1.840,1.9
1.845,2.08
1.849,2.08
1.854,2.01
1.858,2.03
1.865,1.96
1.866,1.88
1.866,2.03
1.880,1.96
1.882,1.91
1.890,2.06
1.892,1.35
1.899,1.98
1.902,1.86
1.910,1.98
1.915,2.08
1.919,1.9
1.924,1.98
1.930,1.94
1.932,2.07
1.940,1.66
1.942,2.08
1.949,2.08
1.952,2.01
1.960,2.02
1.965,2.08
1.970,2.0
1.975,1.88
1.980,2.09
1.983,2.08
1.990,1.89
1.994,2.08
1.999,2.08
2.002,1.67
2.010,2.04
2.015,2.08
2.020,2.02
2.024,1.71
2.029,1.93
2.032,2.03
2.040,1.76
2.042,2.08
2.049,2.08
2.051,1.77
2.060,1.99
2.065,2.07
2.069,1.94
2.072,2.01
2.079,2.09
2.082,2.09
2.090,1.65
2.092,2.08
2.099,1.96
2.102,1.71
2.110,2.07
2.115,2.09
2.119,1.95
2.123,2.03
2.129,1.96
2.132,2.05
2.139,1.81
2.142,2.08
2.149,1.94
2.151,1.79
2.159,1.93
2.165,2.08
2.169,2.08
2.173,2.06
2.179,1.59
2.182,1.52
2.190,1.88
2.192,2.06
2.199,2.08
2.202,1.86
2.210,1.85
2.215,2.08
2.219,2.09
2.222,1.98
2.229,2.0
2.232,2.09
2.240,1.89
2.241,1.94
2.249,1.28
2.254,2.07
2.257,1.95
2.265,2.07
2.266,2.08
2.266,1.86
2.280,1.99
2.282,2.08
2.289,1.91
2.291,1.88
2.299,2.08
2.302,2.08
2.310,1.66
2.315,2.08
2.316,2.09
2.324,1.97
2.327,1.97
2.332,2.08
2.339,2.02
2.340,1.71
2.349,1.94
2.349,1.99
2.359,1.89
2.365,1.51
2.369,2.08
2.373,1.69
2.379,2.01
2.382,2.08
2.389,2.03
2.392,1.69
2.399,2.06
2.402,2.08
2.409,1.77
2.415,2.02
2.419,2.09
2.423,1.77
2.429,2.02
2.432,2.08
2.439,2.08
2.441,1.99
2.449,2.03
2.451,2.08
2.459,1.66
2.465,2.06
2.469,2.08
2.473,1.76
2.479,2.05
2.482,2.06
2.489,2.03
2.494,1.96
2.499,2.0
2.503,2.09
2.507,1.82
2.514,2.04
2.515,2.08
2.515,1.87
2.529,1.86
2.532,2.08
2.539,1.98
2.541,1.97
2.549,1.95
2.554,2.08
2.557,1.89
2.564,2.0
2.565,2.02
2.565,2.0
2.579,1.85
2.582,2.06
2.589,2.0
2.590,1.96
2.599,1.98
2.599,2.08
2.609,1.89
2.611,1.88
2.619,2.08
2.623,2.08
2.628,2.05
2.632,2.08
2.639,2.02
2.640,1.86
2.649,1.96
2.651,1.21
2.659,1.94
2.662,1.71
2.669,2.09
2.672,2.08
2.679,1.66
2.682,2.08
2.689,2.09
2.690,2.01
2.699,2.01
2.701,2.02
2.708,2.01
2.711,1.67
2.719,2.08
2.722,2.09
2.729,1.88
2.732,2.08
2.738,1.96
2.741,1.71
2.748,1.9
2.753,2.04
2.756,2.08
2.764,1.69
2.765,1.48
2.773,2.06
2.775,1.78
2.783,2.06
2.786,1.29
2.793,1.82
2.798,1.97
2.803,2.03
2.806,2.07
2.813,2.0
2.815,2.08
2.824,2.08
2.828,1.66
2.834,2.06
2.839,2.09
2.843,1.82
2.848,2.05
2.853,2.08
2.858,2.08
2.863,2.06
2.868,2.0
2.874,1.97
2.878,1.83
2.884,2.07
2.888,2.09
2.893,2.02
2.898,1.87
2.903,1.37
2.908,2.04
2.913,2.01
2.918,2.07
2.923,2.08
2.928,1.89
2.933,2.01
2.938,1.97
