Elapsed Time (s),Value
0.001,2.08
0.006,2.08
0.011,2.09
0.016,2.08
0.021,2.08
0.026,2.08
0.031,2.09
0.033,2.09
0.040,2.08
0.046,2.08
0.051,2.09
0.055,2.09
0.061,2.03
0.065,1.97
0.071,2.08
0.073,1.97
0.080,2.08
0.084,2.09
0.091,2.09
0.095,2.0
0.101,2.02
0.106,2.09
0.111,2.09
0.113,2.09
0.120,2.08
0.126,2.01
0.129,2.08
0.135,2.09
0.139,2.08
0.146,2.08
0.148,1.97
0.156,2.01
0.158,2.09
0.166,2.09
0.170,2.08
0.176,2.08
0.179,2.08
0.186,2.09
0.189,2.09
0.196,1.99
0.197,2.09
0.206,2.0
0.208,2.09
0.216,2.09
0.220,2.04
0.226,2.09
0.227,2.09
0.227,2.07
0.241,2.07
0.244,2.08
0.251,2.08
0.256,2.09
0.260,2.09
0.265,2.07
0.270,2.05
0.276,2.06
0.278,2.08
0.286,2.08
0.289,2.08
0.296,2.09
0.297,2.09
0.305,2.07
0.308,2.08
0.316,2.08
0.320,2.08
0.325,2.08
0.328,1.99
0.336,2.01
0.340,2.08
0.346,2.08
0.349,2.08
0.355,2.08
0.358,2.08
0.366,2.05
0.370,2.0
0.375,2.08
0.379,2.08
0.385,2.08
0.389,2.08
0.396,2.03
0.398,2.0
0.405,2.0
0.408,2.04
0.416,2.01
0.420,1.99
0.425,1.95
0.429,2.04
0.436,2.02
0.439,2.08
0.446,2.08
0.448,2.08
0.455,2.08
0.458,2.08
0.466,2.0
0.470,2.03
0.475,2.08
0.479,2.08
0.484,2.06
0.491,2.08
0.494,1.94
0.501,2.07
0.505,2.08
0.510,2.08
0.516,2.08
0.520,2.02
0.525,2.08
0.529,2.08
0.535,2.08
0.539,2.08
0.546,2.09
0.548,1.94
0.556,1.97
0.557,2.09
0.566,2.08
0.570,2.08
0.575,2.09
0.578,2.09
0.586,2.08
0.589,2.08
0.595,2.08
0.598,2.08
0.604,2.09
0.609,2.09
0.614,2.08
0.620,2.08
0.625,2.09
0.630,2.08
0.634,2.08
0.641,2.08
0.645,2.02
0.650,2.07
0.655,2.08
0.658,2.09
0.658,1.99
0.671,2.04
0.671,2.08
0.671,2.07
0.685,2.06
0.687,2.06
0.687,2.06
0.700,2.06
0.704,2.06
0.704,2.06
0.715,1.97
0.720,1.98
0.721,2.02
0.721,2.08
0.735,2.08
0.737,2.08
0.737,2.08
0.750,2.08
0.754,2.08
0.760,2.08
0.765,2.08
0.770,2.09
0.771,2.07
0.771,2.09
0.785,2.08
0.787,2.08
0.795,2.09
0.798,2.09
0.804,2.08
0.804,2.02
0.815,2.08
0.817,2.09
0.825,2.05
0.829,2.05
0.835,2.09
0.837,2.0
0.845,1.95
0.849,2.06
0.854,1.77
0.854,2.05
0.865,2.09
0.867,1.84
0.875,1.97
0.879,1.92
0.885,2.04
0.887,1.82
0.894,1.63
0.896,1.27
0.904,1.8
0.907,1.99
0.915,1.28
0.917,2.02
0.924,1.77
0.929,1.34
0.935,1.88
0.937,1.94
0.944,2.03
0.950,1.17
0.953,1.93
0.960,1.82
0.963,1.21
0.970,1.94
0.971,1.84
0.971,1.41
0.985,1.75
0.988,1.95
0.994,2.05
0.998,1.28
1.004,1.86
1.004,1.68
1.015,1.3
1.017,2.01
1.017,1.7
1.017,1.57
1.033,1.23
1.033,1.84
1.033,2.03
1.049,1.27
1.049,1.96
1.049,1.76
1.064,1.33
1.064,1.89
1.064,1.77
1.064,1.89
1.084,1.16
1.084,1.8
1.084,1.98
1.100,1.17
1.100,2.05
1.100,1.73
1.100,1.29
1.115,1.78
1.115,1.66
1.115,1.97
1.131,1.27
1.131,1.88
1.131,1.91
1.146,1.29
1.146,2.02
1.159,1.66
1.163,1.51
1.169,1.45
1.170,1.67
1.170,1.97
1.184,1.25
1.187,1.93
1.194,1.81
1.197,1.27
1.204,1.96
1.208,1.82
1.208,1.75
1.219,1.27
1.220,1.87
1.228,1.94
1.234,1.28
1.236,2.06
1.244,1.98
1.246,1.36
1.254,1.83
1.254,1.89
1.254,2.04
1.268,1.17
1.270,1.89
1.270,1.84
1.283,1.3
1.286,1.94
1.294,1.82
1.298,1.47
1.304,1.52
1.309,1.97
1.314,2.05
1.319,1.17
1.320,1.94
1.329,1.67
1.332,1.24
1.337,1.98
1.337,1.86
1.349,1.67
1.351,1.38
1.351,1.9
1.351,2.0
1.368,1.28
1.369,1.91
1.379,1.67
1.380,1.35
1.387,1.89
1.393,1.74
1.397,2.07
1.404,1.17
1.404,1.84
1.404,1.95
1.419,1.22
1.421,2.01
1.429,1.8
1.433,1.33
1.438,1.75
1.444,1.81
1.448,2.03
1.454,1.28
1.454,1.84
1.463,1.79
1.466,1.31
1.466,2.01
1.478,1.73
1.482,1.56
1.487,1.21
1.487,1.68
1.487,2.02
1.504,1.17
1.504,2.0
1.513,1.83
1.516,1.26
1.516,1.91
1.529,1.66
1.534,1.93
1.537,1.26
1.544,1.71
1.547,1.98
1.554,1.26
1.554,2.05
1.554,1.78
1.569,1.35
1.571,1.78
1.579,1.78
1.581,2.03
1.587,1.27
1.587,1.91
1.599,1.82
1.601,1.29
1.608,2.01
1.614,1.87
1.619,1.52
1.620,1.43
1.629,1.82
1.631,1.95
1.637,1.17
1.637,1.93
1.649,1.73
1.651,1.22
1.658,1.92
1.663,1.76
1.669,1.72
1.670,1.26
1.678,1.77
1.680,1.98
1.687,1.28
1.694,1.96
1.697,1.67
1.704,1.36
1.704,1.69
1.714,1.7
1.716,2.08
1.716,1.26
1.728,1.77
1.733,1.85
1.733,1.26
1.744,2.0
1.747,1.69
1.753,1.43
1.754,1.58
1.754,1.71
1.769,2.01
1.770,1.27
1.778,1.78
1.782,1.92
1.787,1.24
1.793,1.95
1.798,1.71
1.803,1.6
1.804,1.4
1.804,1.73
1.818,1.95
1.820,1.28
1.828,2.01
1.831,1.71
1.837,1.34
1.837,1.86
1.849,1.66
1.853,2.03
1.854,1.19
1.854,1.71
1.868,1.84
1.870,1.18
1.879,1.99
1.881,1.66
1.887,1.36
1.887,1.69
1.899,1.67
1.900,2.04
1.908,1.38
1.913,1.81
1.918,1.66
1.920,1.31
1.928,1.96
1.932,1.62
1.937,1.55
1.937,1.27
1.948,1.63
1.950,1.99
1.950,1.18
1.963,1.95
1.968,1.61
1.971,1.27
1.978,1.84
1.983,1.59
1.987,1.9
1.987,1.4
1.987,1.67
2.003,1.91
2.004,1.29
2.004,2.05
2.018,1.65
2.020,1.31
2.028,1.69
2.031,1.64
2.037,1.98
2.037,1.26
2.048,1.78
2.051,1.83
2.058,1.29
2.062,2.02
2.068,1.68
2.070,1.52
2.078,1.38
2.080,1.72
2.087,1.98
2.087,1.26
2.098,1.86
2.100,1.6
2.108,1.29
2.113,1.96
2.118,1.64
2.120,1.78
2.127,1.31
2.130,1.64
2.137,1.89
2.139,1.28
2.139,2.06
2.153,1.68
2.158,1.35
2.163,1.78
2.168,1.66
2.173,2.08
2.178,1.26
2.181,1.71
2.188,1.83
2.193,1.19
2.198,1.98
2.203,1.73
2.208,1.4
2.213,1.58
2.218,1.62
2.223,2.08
2.227,1.27
2.231,1.83
2.237,1.86
2.242,1.31
2.248,1.97
2.253,2.08
2.258,1.62
2.263,1.22
2.268,1.66
2.273,1.98
2.277,1.38
2.282,2.05
2.288,1.69
2.292,1.36
2.298,1.75
2.300,1.76
2.308,2.06
2.312,1.27
2.318,1.74
2.319,1.84
2.328,1.19
2.330,2.04
2.337,1.74
2.337,1.4
2.348,1.63
2.350,1.64
2.357,1.95
2.362,1.4
2.368,1.8
2.370,1.78
2.377,1.31
2.378,1.99
2.378,1.61
2.393,1.64
2.396,1.27
2.402,1.69
2.403,1.91
2.412,1.19
2.414,1.96
2.414,1.57
2.414,1.24
2.430,1.89
2.430,1.61
