Elapsed Time (s),Value
0.000,2.08
0.016,1.52
0.021,2.09
0.023,2.06
0.031,1.54
0.036,2.06
0.041,2.08
0.044,1.7
0.052,1.79
0.056,2.08
0.061,2.08
0.064,1.57
0.071,2.08
0.074,2.09
0.082,1.53
0.086,2.03
0.090,2.05
0.094,1.84
0.102,1.89
0.104,2.08
0.104,2.09
0.117,1.92
0.122,2.08
0.125,2.09
0.131,1.63
0.136,2.0
0.141,2.05
0.143,1.66
0.151,1.78
0.157,2.07
0.161,1.82
0.166,1.86
0.171,2.06
0.176,2.09
0.181,1.68
0.186,1.95
0.191,2.09
0.194,2.09
0.202,1.84
0.204,2.07
0.210,2.06
0.214,1.85
0.221,2.01
0.226,2.09
0.231,1.9
0.236,1.54
0.241,2.07
0.243,2.09
0.251,1.8
0.255,2.07
0.261,2.09
0.265,1.79
0.271,1.92
0.276,1.41
0.280,2.08
0.285,1.56
0.288,2.09
0.295,2.09
0.301,1.52
0.305,2.0
0.308,2.07
0.316,1.77
0.320,1.79
0.320,2.09
0.330,2.06
0.335,1.56
0.341,2.07
0.344,2.07
0.350,1.58
0.353,2.05
0.361,2.09
0.363,1.98
0.371,1.57
0.375,2.07
0.381,2.07
0.385,1.53
0.391,1.62
0.393,2.06
0.401,1.57
0.402,2.0
0.410,2.03
0.413,2.01
0.420,1.68
0.424,2.08
0.430,2.09
0.435,1.58
0.441,2.07
0.443,2.09
0.450,1.59
0.453,1.94
0.460,2.04
0.462,2.08
0.470,1.84
0.475,2.08
0.480,2.08
0.485,1.95
0.490,2.07
0.493,2.09
0.501,1.74
0.502,1.83
0.510,2.09
0.512,2.07
0.520,1.75
0.524,2.07
0.530,2.09
0.535,1.87
0.540,1.98
0.542,2.08
0.551,1.96
0.552,1.8
0.560,2.08
0.562,1.9
0.571,1.85
0.575,2.05
0.580,2.05
0.586,1.89
0.591,1.84
0.595,2.09
0.601,2.08
0.605,1.52
0.609,2.08
0.609,2.09
0.620,1.75
0.625,2.04
0.630,2.09
0.635,1.88
0.640,1.59
0.645,2.07
0.651,2.08
0.655,1.54
0.660,2.06
0.666,2.09
0.670,1.53
0.670,1.88
0.680,1.27
0.685,1.96
0.685,1.55
0.695,2.09
0.701,2.04
0.702,1.55
0.710,2.08
0.711,2.09
0.717,1.62
0.725,1.96
0.729,2.08
0.734,2.09
0.734,1.56
0.745,2.08
0.751,2.08
0.751,1.53
0.760,2.04
0.762,2.05
0.771,1.66
0.771,1.8
0.780,2.07
0.784,1.72
0.790,1.71
0.794,1.43
0.800,1.99
0.800,1.59
0.810,2.02
0.812,2.07
0.820,1.82
0.825,1.82
0.830,2.04
0.834,2.07
0.840,1.82
0.844,2.05
0.850,2.08
0.850,1.97
0.860,2.03
0.862,2.09
0.870,2.09
0.872,1.83
0.879,2.06
0.884,2.09
0.890,1.69
0.892,2.05
0.900,2.08
0.900,1.93
0.909,1.75
0.911,2.09
0.919,2.09
0.922,1.8
0.930,2.08
0.934,2.04
0.940,1.88
0.942,2.0
0.950,2.05
0.950,1.97
0.960,1.5
0.962,2.09
0.970,1.97
0.972,1.52
0.980,2.08
0.984,2.09
0.990,1.78
0.992,1.95
1.000,2.07
1.000,2.07
1.000,1.54
1.015,2.08
1.017,2.09
1.025,1.55
1.027,2.06
1.035,2.07
1.039,1.6
1.042,1.8
1.049,2.07
1.050,2.09
1.059,1.55
1.061,2.07
1.070,2.07
1.072,1.56
1.080,2.06
1.084,1.27
1.090,1.77
1.092,1.74
1.099,2.09
1.100,2.07
1.109,1.55
1.112,2.08
1.117,2.07
1.117,1.55
1.130,2.02
1.134,2.08
1.139,1.94
1.142,1.72
1.150,2.08
1.151,2.08
1.159,1.71
1.162,2.06
1.170,2.08
1.173,1.64
1.179,1.92
1.184,2.06
1.189,2.07
1.193,1.79
1.200,1.49
1.205,2.07
1.209,1.79
1.214,2.04
1.217,2.09
1.224,1.97
1.226,1.85
1.234,2.08
1.237,2.09
1.244,1.79
1.247,2.06
1.254,2.07
1.259,1.7
1.265,1.98
1.267,2.08
1.274,1.96
1.276,1.56
1.283,2.08
1.289,2.09
1.293,1.75
1.299,1.76
1.300,2.08
1.300,1.84
1.314,1.86
1.317,2.07
1.324,2.07
1.326,1.51
1.333,2.07
1.333,1.74
1.344,1.53
1.346,2.04
1.355,2.07
1.359,1.8
1.364,1.68
1.367,2.04
1.374,2.06
1.377,1.54
1.384,2.08
1.384,2.09
1.384,1.56
1.400,2.05
1.400,2.06
1.400,1.82
1.400,1.56
1.417,2.07
1.417,2.09
1.417,1.56
1.434,2.06
1.434,2.07
1.434,1.6
1.449,2.01
1.450,1.24
1.450,2.08
1.450,1.72
1.467,2.07
1.472,2.08
1.472,1.56
1.483,2.05
1.483,2.06
1.483,1.64
1.499,1.92
1.500,1.77
1.500,2.06
1.500,1.72
1.517,2.08
1.517,2.09
1.517,1.72
1.534,2.0
1.534,2.09
1.534,1.81
1.549,1.69
1.554,2.07
1.558,2.07
1.563,1.78
1.567,1.76
1.574,2.09
1.577,1.81
1.583,1.95
1.583,2.09
1.594,2.08
1.596,1.82
1.603,2.08
1.608,2.07
1.613,1.79
1.617,2.04
1.623,2.08
1.628,1.75
1.634,1.78
1.639,2.09
1.644,2.09
1.649,1.56
1.654,2.08
1.659,2.09
1.663,1.76
1.668,2.03
1.673,2.07
1.679,1.9
1.683,1.49
1.689,2.04
1.694,2.09
1.699,1.51
1.704,2.08
1.709,2.08
1.714,1.53
1.719,2.05
1.724,2.09
1.728,2.02
1.734,1.55
1.739,2.07
1.743,1.88
1.749,1.54
1.754,2.07
1.759,2.08
1.763,1.62
1.769,1.89
1.773,2.08
1.775,2.08
1.783,1.56
1.787,2.08
1.787,2.07
1.799,1.56
1.800,2.05
1.809,2.08
1.810,1.72
1.818,1.86
1.823,2.07
1.827,2.09
1.834,1.72
1.838,2.06
1.843,2.07
1.848,1.58
1.850,2.0
1.858,1.27
1.860,1.87
1.869,1.82
1.874,2.08
1.877,1.93
1.884,1.73
1.884,2.05
1.884,2.07
1.898,1.76
1.900,1.87
1.908,2.07
1.910,2.07
1.918,1.7
1.920,2.06
1.929,1.77
1.934,1.79
1.938,2.05
1.941,2.09
1.948,1.87
1.950,1.7
1.958,2.08
1.960,2.09
1.968,1.84
1.970,2.08
1.978,2.06
1.983,1.8
1.984,1.98
1.994,1.25
1.996,1.91
2.003,1.52
2.007,2.08
2.014,2.08
2.017,1.56
2.023,2.08
2.025,1.75
2.033,1.8
2.034,1.91
2.043,2.06
2.046,2.06
2.052,1.49
2.057,2.08
2.063,2.09
2.067,1.52
2.073,2.07
2.076,2.08
2.083,1.64
2.088,1.96
2.092,2.08
2.099,2.08
2.100,1.55
2.108,1.46
2.110,2.08
2.117,1.55
2.117,2.04
2.128,1.89
2.134,1.79
2.138,1.82
2.142,2.09
2.148,2.08
2.150,1.56
2.158,2.08
2.160,2.06
2.167,1.59
2.167,2.03
2.178,1.99
2.181,2.06
2.188,1.78
2.191,2.07
2.198,2.09
2.200,1.78
2.208,2.06
2.210,2.09
2.218,1.64
2.221,1.89
2.228,2.06
2.233,2.09
2.237,1.79
2.241,2.08
2.248,2.09
2.250,1.74
2.258,2.03
2.261,2.09
2.268,1.86
2.270,1.5
2.278,2.08
2.283,1.99
2.288,1.72
2.291,2.08
2.298,2.07
2.300,1.78
2.308,1.97
2.309,2.09
2.317,2.04
2.321,1.56
2.328,2.09
2.334,2.09
2.338,1.85
2.341,2.06
2.348,2.03
2.350,1.82
2.358,1.83
2.360,2.08
2.368,2.08
2.370,1.53
2.378,2.08
2.383,2.03
2.388,1.58
2.391,2.04
2.397,1.27
2.400,1.89
2.408,1.61
2.409,2.07
2.417,2.05
2.421,1.49
2.428,2.08
2.433,2.08
2.438,1.54
2.441,2.04
2.448,2.07
2.450,1.89
2.457,1.83
2.459,2.08
2.467,2.06
2.471,1.56
2.477,2.05
2.483,2.07
2.487,1.61
2.492,1.97
2.497,2.08
2.501,2.08
2.508,1.82
2.510,1.38
2.517,2.08
2.520,1.57
2.528,2.06
2.529,2.09
2.538,1.68
2.542,1.94
2.548,2.08
2.550,2.08
2.558,1.76
2.560,2.08
2.567,2.09
2.570,1.8
2.578,2.01
2.583,2.09
2.587,1.84
2.591,1.77
2.597,2.06
2.600,2.05
2.608,1.77
2.610,2.07
2.617,2.08
2.617,1.76
2.628,1.92
2.633,2.09
2.637,2.08
2.641,1.51
2.641,2.08
2.652,2.09
2.654,1.73
2.663,2.03
2.667,2.08
2.672,1.81
2.675,1.71
2.682,2.08
2.683,2.04
2.683,1.54
2.697,2.08
2.700,2.08
2.707,1.82
2.709,2.02
2.717,2.06
2.722,1.89
2.726,1.52
2.732,2.09
2.734,2.09
2.734,1.53
2.746,2.08
2.750,2.06
2.757,1.62
2.759,2.0
2.767,2.08
2.769,2.07
2.777,1.56
2.783,2.06
2.787,2.07
2.792,1.51
2.797,2.07
2.800,1.25
2.807,1.62
2.809,1.98
2.817,2.08
2.821,2.08
2.827,1.77
2.833,2.07
2.837,2.08
2.841,1.59
2.847,2.02
2.850,2.08
2.857,1.73
2.859,1.7
2.867,2.08
2.869,2.08
2.877,1.74
2.879,2.08
2.887,2.09
2.891,1.57
2.897,2.02
2.900,2.06
2.906,1.93
2.909,1.81
2.918,2.08
2.922,2.08
2.927,1.7
2.932,2.06
2.937,2.08
2.942,1.79
2.947,1.85
2.952,2.08
2.957,2.05
2.961,1.72
2.967,2.04
2.967,2.06
2.976,1.74
2.976,2.03
2.983,2.08
2.992,1.79
2.996,1.6
3.000,2.08
3.000,2.0
3.012,1.49
3.017,1.98
3.021,2.06
3.027,1.69
3.032,1.96
3.033,2.08
3.033,1.91
3.047,1.49
3.050,2.08
3.050,2.09
3.061,1.47
3.066,2.07
3.071,2.07
3.076,1.75
3.076,1.87
3.087,2.06
3.091,2.06
3.097,1.53
3.100,2.08
3.107,2.09
3.108,1.5
3.117,2.0
3.117,1.27
3.127,1.7
3.129,1.79
3.136,2.08
3.142,2.06
3.147,1.54
3.150,2.04
3.157,2.08
3.159,1.52
3.166,1.63
3.168,2.09
3.177,1.79
3.178,1.99
3.186,2.08
3.191,2.09
3.197,1.7
3.200,2.07
3.206,2.09
3.209,1.61
3.217,1.96
3.217,2.08
3.226,2.08
3.228,1.81
3.236,1.26
3.240,2.08
3.246,1.68
3.250,2.06
3.256,2.09
3.259,1.61
3.266,1.94
3.267,2.0
3.277,2.06
3.278,1.73
3.286,2.06
3.290,2.07
3.296,1.71
3.300,2.01
3.307,2.09
3.309,1.86
3.317,1.54
3.319,2.08
3.319,2.06
3.331,1.73
3.333,2.04
3.341,2.08
3.343,1.8
3.351,1.92
3.353,2.09
3.361,2.03
3.366,1.5
3.371,2.07
3.376,1.86
3.381,1.46
3.383,2.03
3.391,2.06
3.393,1.7
3.401,1.79
3.403,2.09
3.411,2.03
3.416,1.51
3.421,2.08
3.424,2.09
3.431,1.48
3.433,2.05
3.441,2.08
3.444,1.83
3.450,1.54
3.453,2.04
3.461,2.07
3.466,1.5
3.471,2.08
3.476,2.09
