Elapsed Time (s),Value
0.001,2.08
0.005,2.08
0.010,2.08
0.015,2.08
0.020,2.02
0.025,2.09
0.030,2.09
0.035,2.08
0.040,2.08
0.045,2.05
0.051,2.07
0.055,2.08
0.060,2.09
0.065,2.09
0.070,2.08
0.075,2.09
0.080,2.09
0.085,2.08
0.090,2.08
0.095,2.08
0.100,2.09
0.105,2.08
0.110,2.09
0.115,2.09
0.120,1.92
0.125,2.08
0.130,2.09
0.135,2.08
0.140,2.08
0.145,2.09
0.150,2.09
0.155,2.08
0.160,2.09
0.165,1.66
0.170,2.08
0.175,2.08
0.180,2.08
0.185,2.08
0.190,2.08
0.195,2.03
0.200,2.08
0.205,2.08
0.210,2.08
0.215,2.08
0.220,2.07
0.225,2.08
0.230,2.08
0.235,2.02
0.240,2.08
0.245,2.07
0.250,2.08
0.255,2.08
0.260,2.08
0.265,2.08
0.270,2.08
0.275,2.08
0.280,1.38
0.285,2.08
0.290,2.08
0.295,2.05
0.300,2.09
0.305,2.08
0.310,2.08
0.315,2.08
0.320,2.08
0.325,2.08
0.330,2.08
0.335,2.08
0.340,2.07
0.345,2.08
0.350,1.09
0.355,2.08
0.359,2.09
0.364,2.09
0.370,2.08
0.375,1.98
0.380,2.09
0.385,2.08
0.390,2.09
0.395,1.97
0.400,2.09
0.405,2.08
0.410,1.95
0.415,2.09
0.420,2.08
0.425,2.08
0.430,2.09
0.435,2.04
0.440,2.08
0.445,2.08
0.450,2.09
0.455,2.08
0.460,2.08
0.465,2.09
0.470,2.08
0.475,2.08
0.480,2.08
0.485,2.09
0.490,2.08
0.495,2.08
0.500,2.07
0.505,2.07
0.510,2.08
0.515,2.09
0.520,2.08
0.525,2.08
0.530,2.09
0.534,2.09
0.540,2.08
0.545,2.07
0.549,2.05
0.554,2.08
0.559,2.08
0.564,2.07
0.569,1.68
0.574,2.08
0.579,1.11
0.584,1.51
0.589,1.1
0.594,2.08
0.599,2.09
0.604,2.08
0.609,2.08
0.614,2.03
0.619,2.08
0.624,2.08
0.629,2.09
0.634,2.08
0.639,2.08
0.644,2.08
0.649,2.09
0.654,2.08
0.659,2.08
0.664,2.09
0.669,2.08
0.674,2.05
0.679,2.08
0.684,1.22
0.689,2.08
0.694,2.09
0.699,2.09
0.705,2.07
0.709,2.08
0.714,2.09
0.719,2.07
0.724,2.08
0.729,2.08
0.734,2.08
0.739,2.08
0.744,2.08
0.749,2.08
0.754,2.08
0.759,2.08
0.764,1.99
0.769,2.08
0.774,2.06
0.779,2.08
0.784,2.09
0.789,2.08
0.794,2.06
0.799,1.87
0.805,2.08
0.809,2.05
0.814,2.08
0.820,2.08
0.824,2.08
0.829,2.08
0.834,2.08
0.839,2.08
0.844,2.08
0.849,2.09
0.854,2.08
0.859,2.07
0.864,2.08
0.869,2.08
0.874,2.09
0.879,2.08
0.884,2.09
0.889,2.09
0.894,2.08
0.899,2.08
0.904,2.08
0.909,2.08
0.914,2.09
0.919,2.08
0.924,2.09
0.929,2.07
0.934,2.09
0.939,1.36
0.944,2.08
0.949,2.05
0.954,2.09
0.958,2.09
0.963,2.08
0.968,2.08
0.974,2.02
0.979,2.08
0.984,2.04
0.989,2.08
0.993,2.03
0.999,2.08
1.004,2.08
1.009,2.08
1.014,2.08
1.018,2.08
1.023,2.08
1.028,2.08
1.034,2.07
1.038,2.08
1.044,1.11
1.049,2.04
1.053,1.25
1.058,2.09
1.063,2.08
1.068,2.08
1.074,2.08
1.079,2.08
1.083,2.08
1.088,2.06
1.093,2.08
1.098,2.04
1.104,2.08
1.108,2.08
1.113,2.08
1.119,2.08
1.124,2.08
1.128,2.08
1.133,2.02
1.138,2.06
1.143,2.08
1.148,2.08
1.153,2.09
1.158,2.08
1.163,2.08
1.168,2.08
1.173,2.08
1.178,2.08
1.183,2.08
1.188,2.08
1.193,2.08
1.198,2.08
1.203,2.09
1.208,2.04
1.213,2.08
1.219,2.08
1.223,2.09
1.228,2.07
1.233,2.08
1.238,2.09
1.243,2.09
1.248,2.08
1.253,2.08
1.258,2.08
1.263,2.08
1.269,2.08
1.273,2.06
1.278,2.09
1.283,2.08
1.288,2.07
1.293,2.08
1.298,2.06
1.303,2.09
1.308,2.09
1.313,2.08
1.318,2.08
1.323,2.09
1.328,2.08
1.333,2.08
1.338,2.08
1.343,1.29
1.348,2.08
1.353,2.08
1.358,2.09
