Elapsed Time (s),Value
0.003,2.06
0.008,2.08
0.013,2.08
0.018,2.08
0.023,1.1
0.028,2.09
0.033,2.08
0.038,2.09
0.043,2.08
0.048,2.08
0.053,2.08
0.058,2.08
0.063,2.08
0.068,2.06
0.073,2.08
0.078,2.08
0.083,2.08
0.087,2.08
0.093,2.08
0.098,2.08
0.103,2.08
0.108,2.08
0.113,2.08
0.118,2.08
0.123,2.07
0.128,2.08
0.133,2.08
0.138,2.08
0.142,2.08
0.147,2.08
0.152,2.08
0.158,2.08
0.163,2.08
0.168,2.08
0.173,2.08
0.178,2.08
0.183,2.08
0.188,2.08
0.193,2.08
0.198,2.08
0.203,2.08
0.208,2.08
0.213,2.08
0.218,2.08
0.223,2.08
0.228,2.04
0.233,2.08
0.237,2.08
0.242,2.08
0.247,2.06
0.253,2.08
0.257,2.09
0.262,2.08
0.267,2.08
0.273,2.09
0.277,2.06
0.282,2.08
0.288,2.08
0.293,2.09
0.297,2.08
0.303,2.04
0.307,2.08
0.313,2.08
0.317,2.06
0.322,2.04
0.327,2.08
0.333,2.08
0.337,2.08
0.342,2.08
0.347,2.08
0.353,2.09
0.358,2.08
0.363,2.08
0.368,2.09
0.373,2.08
0.378,2.08
0.383,2.08
0.387,2.08
0.392,2.08
0.397,2.09
0.402,2.09
0.407,2.08
0.412,2.08
0.417,2.06
0.423,2.08
0.428,2.08
0.433,2.0
0.437,2.09
0.443,2.09
0.448,2.08
0.453,2.08
0.458,2.08
0.462,2.08
0.467,2.08
0.472,2.09
0.477,2.09
0.483,1.09
0.487,2.08
0.492,2.08
0.497,2.08
0.502,2.09
0.507,2.08
0.512,2.08
0.517,2.08
0.522,2.08
0.527,2.08
0.532,2.08
0.537,2.08
0.542,2.08
0.547,2.08
0.552,2.09
0.557,2.09
0.562,2.08
0.567,2.09
0.572,2.09
0.577,2.08
0.583,2.08
0.587,2.08
0.592,2.09
0.597,2.09
0.602,2.01
0.607,2.08
0.612,2.08
0.617,2.07
0.622,2.0
0.627,2.08
0.632,2.08
0.637,2.08
0.642,2.08
0.647,2.01
0.652,2.06
0.657,2.08
0.662,2.08
0.667,2.08
0.672,2.08
0.677,2.08
0.682,2.08
0.688,2.08
0.692,2.08
0.697,2.08
0.702,2.08
0.707,2.08
0.713,1.09
0.717,1.15
0.722,2.06
0.727,2.08
0.732,2.08
0.737,2.08
0.742,2.08
0.747,2.08
0.752,2.08
0.757,2.08
0.762,2.08
0.767,2.08
0.772,2.08
0.777,2.08
0.783,2.08
0.787,2.08
0.792,2.07
0.797,2.08
0.802,2.08
0.807,2.08
0.812,2.08
0.817,2.08
0.822,2.02
0.827,2.08
0.832,2.08
0.837,2.08
0.842,2.08
0.847,2.07
0.851,2.02
0.856,2.07
0.862,2.08
0.866,2.08
0.871,2.08
0.876,2.05
0.881,2.09
0.886,2.09
0.892,2.09
0.897,2.08
0.902,2.09
0.907,2.09
0.911,2.08
0.917,2.09
0.922,2.09
0.927,2.08
0.932,2.09
0.937,2.09
0.942,1.27
0.946,1.15
0.951,2.09
0.956,2.09
0.961,2.09
0.967,2.08
0.972,2.09
0.977,2.09
0.982,2.07
0.987,2.08
0.992,2.08
0.997,2.08
1.002,2.08
1.006,2.09
1.011,2.09
1.017,2.08
1.021,2.08
1.027,2.09
1.031,2.05
1.036,2.08
1.042,2.08
1.047,2.08
1.052,2.08
1.057,2.08
1.062,2.08
1.067,2.08
1.071,2.08
1.076,2.07
1.081,2.05
1.086,2.08
1.091,2.08
1.096,2.08
1.101,2.08
1.106,2.08
1.112,2.08
1.116,2.09
1.121,2.09
1.126,2.06
1.131,2.06
1.136,2.03
1.141,2.08
1.146,2.06
1.151,2.06
1.156,2.02
1.161,2.06
1.166,2.06
1.171,2.06
1.177,2.06
1.182,2.06
1.187,2.07
1.191,2.06
1.196,2.08
1.201,2.08
1.206,2.09
1.211,2.08
1.216,2.08
1.221,2.08
1.226,2.09
1.232,2.08
1.236,2.09
1.241,2.09
1.246,2.06
1.251,2.08
1.256,2.09
1.261,2.07
1.266,2.06
1.271,2.09
1.276,2.08
1.282,2.03
1.286,2.08
1.291,2.08
1.297,2.08
1.301,2.08
1.306,2.09
1.311,2.08
1.316,2.08
1.321,2.08
1.326,2.09
1.331,2.08
1.336,2.08
1.341,2.08
1.346,2.07
1.351,2.08
1.356,2.07
1.361,2.07
1.366,2.08
1.371,2.08
1.376,2.08
1.381,2.08
1.386,2.08
1.390,2.08
1.396,2.08
1.400,2.06
1.405,2.08
1.410,2.08
1.416,2.08
1.421,2.08
1.426,2.09
1.430,2.08
1.436,2.08
1.441,2.08
1.446,2.08
1.451,2.09
1.456,2.08
