Elapsed Time (s),Value
0.000,8.0
0.000,2.08
0.000,2.08
0.000,2.08
0.000,2.09
0.000,2.09
0.000,2.09
0.000,1.13
0.000,1.13
0.000,2.07
0.000,2.08
0.000,2.02
0.000,2.09
0.000,2.08
0.008,2.09
0.009,2.04
0.015,1.92
0.020,2.08
0.025,2.08
0.030,2.08
0.031,2.09
0.039,2.09
0.045,2.09
0.048,2.09
0.054,2.08
0.058,1.98
0.065,2.09
0.070,2.08
0.075,2.08
0.080,2.09
0.082,2.08
0.090,2.09
0.095,2.08
0.100,2.04
0.105,2.08
0.110,2.08
0.114,2.09
0.119,2.08
0.125,2.08
0.130,2.09
0.132,2.09
0.139,2.08
0.145,2.09
0.147,2.09
0.155,2.08
0.160,2.09
0.164,2.09
0.169,2.08
0.172,2.09
0.180,2.08
0.185,2.09
0.190,2.08
0.194,2.08
0.200,1.13
0.204,2.06
0.205,2.09
0.215,2.09
0.220,2.08
0.225,2.09
0.226,2.09
0.226,2.09
0.240,2.08
0.243,2.05
0.243,2.08
0.254,2.08
0.254,2.09
0.265,2.08
0.270,2.08
0.274,2.05
0.278,2.02
0.278,2.08
0.290,2.08
0.295,2.09
0.299,2.09
0.305,2.08
0.310,2.09
0.312,2.08
0.319,2.08
0.321,2.09
0.321,1.91
0.334,2.09
0.338,2.08
0.338,2.07
0.350,2.09
0.355,2.08
0.360,2.09
0.362,2.08
0.370,2.08
0.371,2.09
0.379,2.08
0.383,2.09
0.390,2.08
0.394,2.08
0.400,2.09
0.405,2.08
0.410,2.08
0.413,2.09
0.419,2.04
0.421,2.03
0.421,1.51
0.435,2.01
0.438,2.01
0.445,2.09
0.447,2.01
0.454,2.08
0.456,2.08
0.465,2.05
0.470,2.08
0.474,2.08
0.478,2.09
0.484,2.08
0.488,2.08
0.495,2.09
0.497,2.09
0.505,2.08
0.507,2.09
0.515,2.09
0.520,2.08
0.524,2.09
0.528,2.09
0.534,2.08
0.538,1.97
0.545,2.09
0.547,2.08
0.555,2.08
0.557,1.92
0.565,2.09
0.570,2.08
0.574,2.09
0.578,2.02
0.583,1.96
0.589,2.08
0.589,2.08
0.589,2.08
0.604,2.08
0.609,2.08
0.614,2.09
0.619,2.08
0.624,2.09
0.629,2.08
0.634,2.04
