Elapsed Time (s),Value
0.000,2.04
0.005,2.08
0.011,2.08
0.016,1.13
0.021,1.13
0.026,1.13
0.031,1.13
0.036,1.13
0.041,1.18
0.046,2.08
0.051,2.08
0.055,2.08
0.061,2.08
0.064,2.08
0.071,2.08
0.074,2.08
0.080,2.07
0.082,2.09
0.091,2.08
0.093,2.08
0.101,2.08
0.106,2.08
0.111,2.09
0.114,2.08
0.121,2.08
0.124,2.08
0.124,2.09
0.136,2.07
0.141,2.08
0.145,2.08
0.149,2.05
0.155,2.08
0.157,2.08
0.166,2.07
0.171,2.09
0.175,2.08
0.180,2.08
0.180,2.08
0.191,2.08
0.193,2.09
0.201,2.09
0.206,2.08
0.210,2.07
0.213,2.08
0.221,2.05
0.226,2.07
0.230,2.08
0.236,2.08
0.240,2.08
0.246,1.13
0.248,1.13
0.256,1.13
0.258,1.13
0.265,1.13
0.267,1.13
0.275,2.08
0.278,1.13
0.286,1.13
0.290,1.13
0.296,1.13
0.299,1.13
0.305,1.13
0.310,1.13
0.315,1.13
0.318,1.13
0.326,1.13
0.331,1.96
0.335,1.13
0.341,2.08
0.345,2.08
0.347,2.08
0.355,2.08
0.358,2.06
0.365,2.08
0.368,2.08
0.375,2.08
0.381,2.08
0.385,2.08
0.390,2.08
0.395,2.08
0.398,2.04
0.405,2.08
0.408,1.96
0.415,2.08
0.417,2.08
0.425,2.08
0.430,2.08
0.435,2.08
0.440,2.08
0.445,2.07
0.451,2.08
0.455,2.08
0.460,2.08
0.460,2.08
0.470,2.08
0.475,1.13
0.475,1.13
0.485,1.13
0.490,1.13
0.496,1.13
0.498,1.13
0.505,1.13
0.508,1.14
0.516,1.13
0.518,1.13
0.524,1.13
0.530,1.13
0.535,1.13
0.540,1.13
0.545,2.08
0.546,2.08
0.555,2.08
0.561,2.04
0.564,2.08
0.570,2.08
0.574,2.08
0.580,2.08
0.584,2.08
0.590,2.08
0.592,2.08
0.599,2.08
0.604,2.08
0.609,2.08
0.609,1.81
0.609,2.08
0.625,2.08
0.630,2.08
0.635,2.08
0.640,2.08
0.645,2.06
0.649,2.03
0.655,2.08
0.659,2.08
0.664,2.08
0.670,2.08
0.675,2.08
0.680,2.08
0.684,2.07
0.690,2.08
0.690,2.08
0.700,2.08
0.706,1.13
0.707,1.13
0.715,1.13
0.720,1.13
0.724,1.13
0.730,1.13
0.734,1.13
0.740,2.08
0.740,2.08
0.749,2.05
0.755,2.08
0.757,2.08
0.765,2.08
0.768,2.08
0.774,2.08
0.780,2.08
0.785,2.08
0.790,2.08
0.791,2.07
0.791,2.08
0.807,2.08
0.807,2.08
0.807,2.08
0.820,1.95
0.825,2.07
0.829,2.08
0.831,2.08
0.840,2.08
0.840,2.08
0.840,2.02
0.855,2.08
0.857,2.08
0.857,2.08
0.869,2.08
0.873,2.08
0.879,2.08
0.881,2.08
0.890,2.08
0.892,2.08
0.899,2.08
0.905,2.08
0.909,2.08
0.913,2.08
0.919,1.77
0.923,2.08
0.929,2.08
0.931,2.08
0.939,1.13
0.940,1.13
0.949,1.13
0.955,1.13
0.959,1.13
0.964,1.13
0.969,2.08
0.973,1.13
0.979,1.13
0.981,1.13
0.990,1.13
0.990,1.13
0.999,1.13
1.004,1.13
1.010,1.13
1.014,1.13
1.019,1.13
1.023,1.13
1.029,1.13
1.031,1.13
1.040,1.13
1.040,2.08
1.049,2.08
1.054,2.08
1.059,2.08
1.063,2.08
1.069,2.08
1.073,2.08
1.079,2.08
1.082,2.08
1.090,2.08
1.090,2.09
1.099,2.08
1.104,2.08
1.109,2.08
1.113,2.08
1.119,2.08
1.123,2.08
1.129,2.08
1.134,2.08
1.140,2.08
1.144,2.08
1.147,2.07
1.155,2.08
1.156,2.08
1.156,2.08
1.169,1.13
1.173,1.13
1.179,1.13
1.181,1.13
1.190,1.13
1.190,1.93
1.199,2.08
1.204,2.08
1.209,2.07
