Elapsed Time (s),Value
0.000,2.08
0.000,2.07
0.000,2.06
0.019,2.06
0.022,2.06
0.022,2.07
0.034,2.05
0.039,2.04
0.043,2.06
0.049,2.06
0.054,2.06
0.055,2.06
0.064,2.06
0.067,2.06
0.067,2.06
0.067,1.99
0.082,2.02
0.082,1.13
0.082,2.06
0.098,2.06
0.098,2.02
0.098,2.04
0.114,2.06
0.116,2.06
0.116,2.06
0.116,2.06
0.132,2.08
0.132,2.08
0.132,2.04
0.148,2.06
0.151,2.08
0.151,2.05
0.163,2.07
0.167,2.08
0.174,2.08
0.176,2.08
0.184,2.08
0.188,2.08
0.194,2.08
0.198,2.06
0.204,2.06
0.206,2.06
0.214,2.05
0.215,2.06
0.215,2.07
0.229,2.06
0.233,2.06
0.238,2.06
0.244,2.03
0.249,2.07
0.254,2.03
0.256,2.06
0.264,2.05
0.266,2.02
0.274,2.08
0.276,2.06
0.284,2.06
0.288,2.05
0.294,2.06
0.298,2.07
0.304,2.06
0.307,2.06
0.313,2.04
0.316,1.13
0.324,2.06
0.326,2.06
0.334,2.06
0.338,2.06
0.344,2.08
0.348,2.04
0.354,2.06
0.357,2.06
0.363,2.07
0.366,2.06
0.374,2.07
0.375,2.06
0.384,2.05
0.387,2.06
0.393,2.06
0.399,2.07
0.404,2.07
0.406,2.07
0.414,2.06
0.416,2.08
0.416,2.08
0.429,2.06
0.433,2.07
0.439,2.06
0.441,2.06
0.448,2.06
0.450,2.06
0.459,2.04
0.463,2.05
0.468,2.06
0.471,2.05
0.471,2.04
0.483,2.06
0.487,2.07
0.494,2.08
0.498,2.05
0.504,2.06
0.509,2.06
0.513,2.06
0.518,2.06
0.522,2.07
0.528,2.05
0.532,2.06
0.538,2.06
0.541,2.06
0.548,1.83
0.550,1.13
0.558,2.06
0.563,2.06
0.568,2.04
0.572,2.06
0.578,2.06
0.582,2.02
0.589,2.06
0.590,2.05
0.598,2.06
0.602,2.06
0.609,2.05
0.613,2.04
0.618,2.05
0.621,2.04
0.628,2.05
0.633,2.04
0.633,2.04
0.633,2.05
0.648,2.05
0.653,2.03
0.658,2.05
0.664,1.95
0.668,2.05
0.673,2.07
0.678,2.05
0.683,2.04
0.688,2.05
0.693,2.05
0.698,2.04
0.703,2.06
0.707,2.05
0.713,2.06
0.718,2.07
0.723,2.07
0.724,2.07
0.733,2.06
0.737,2.07
0.741,2.07
0.748,2.07
0.752,2.08
0.758,2.08
0.763,2.08
0.768,2.08
0.773,2.06
0.778,2.06
