Elapsed Time (s),Value
0.000,1.1
0.000,1.1
0.016,1.1
0.018,1.1
0.026,2.08
0.027,1.1
0.034,1.1
0.034,1.1
0.046,1.1
0.051,1.1
0.052,1.1
0.061,1.1
0.064,1.2
0.068,1.1
0.072,1.1
0.080,1.1
0.085,1.1
0.091,1.1
0.096,1.1
0.101,2.09
0.105,2.09
0.108,2.09
0.116,2.09
0.118,2.08
0.125,2.08
0.127,2.07
0.135,2.07
0.138,2.08
0.145,2.08
0.151,2.09
0.155,2.09
0.158,2.09
0.165,2.09
0.168,2.08
0.175,2.09
0.177,2.09
0.185,2.08
0.188,2.08
0.195,2.07
0.200,2.08
0.205,2.08
0.208,2.08
0.215,2.06
0.218,2.03
0.225,1.1
0.227,1.1
0.235,1.1
0.240,1.1
0.243,1.1
0.250,1.1
0.252,2.04
0.252,1.1
0.265,1.1
0.268,1.71
0.275,2.09
0.279,2.08
0.285,2.05
0.290,2.08
0.294,2.08
0.300,2.08
0.302,2.08
0.302,2.09
0.315,2.07
0.318,1.92
0.324,2.08
0.327,2.04
0.335,2.08
0.335,2.09
0.335,2.09
0.350,2.09
0.352,2.08
0.352,2.09
0.365,2.08
0.368,2.08
0.368,2.05
0.380,2.05
0.385,2.08
0.385,2.07
0.394,2.08
0.400,2.08
0.402,2.08
0.409,2.08
0.414,2.09
0.418,1.87
0.418,2.08
0.430,2.09
0.435,2.08
0.439,2.07
0.444,2.08
0.449,2.08
0.451,2.08
0.451,1.1
0.465,1.1
0.468,1.1
0.468,1.1
0.480,1.1
0.485,1.1
0.485,2.08
0.495,1.1
0.497,1.1
0.501,1.1
0.510,1.1
0.513,1.1
0.518,1.1
0.518,2.01
0.529,1.1
0.535,1.1
0.535,1.1
0.545,1.1
0.550,1.1
0.551,1.1
0.559,2.07
0.564,2.06
0.569,2.08
0.574,2.08
0.579,2.08
0.584,2.08
0.585,2.08
0.585,2.04
0.598,2.08
0.602,2.08
0.602,2.08
0.602,2.08
0.618,2.08
0.618,2.06
0.618,2.08
0.634,2.08
0.639,2.08
0.644,2.08
0.646,2.08
0.654,2.08
0.660,2.08
0.664,2.08
0.669,2.08
0.674,2.05
0.677,2.08
0.684,1.63
0.685,1.1
0.685,1.1
0.699,1.1
0.701,1.1
0.708,1.1
0.711,2.08
0.719,2.08
0.723,2.09
0.727,2.09
0.734,2.08
