Elapsed Time (s),Value
0.000,1.51
0.000,1.51
0.000,1.51
0.000,1.51
0.000,1.51
0.000,1.51
0.000,1.51
0.000,1.51
0.000,1.51
0.000,1.51
0.000,1.51
0.000,1.51
0.015,1.51
0.015,1.51
0.016,1.51
0.017,1.51
0.017,1.51
0.017,1.51
0.018,1.51
0.018,1.51
0.019,1.51
0.019,1.51
0.020,1.51
0.022,1.51
0.030,1.19
0.035,1.12
0.040,1.12
0.042,1.13
0.050,1.13
0.053,1.13
0.060,1.37
0.062,1.51
0.070,1.51
0.072,1.51
0.080,1.51
0.085,1.51
0.091,1.51
0.094,1.51
0.100,1.51
0.105,1.51
0.108,1.51
0.115,1.51
0.119,1.51
0.125,1.51
0.128,1.51
0.135,1.51
0.137,1.51
0.145,1.51
0.150,1.51
0.155,1.51
0.160,1.51
0.160,1.51
0.169,1.51
0.175,1.51
0.179,1.51
0.185,1.51
0.190,1.51
0.195,1.51
0.200,1.51
0.204,1.51
0.211,1.51
0.214,1.51
0.219,1.51
0.221,1.51
0.229,1.51
0.235,1.51
0.239,1.51
0.243,1.51
0.250,1.51
0.255,1.51
0.259,1.51
0.261,1.12
0.269,1.12
0.275,1.12
0.277,1.12
0.285,1.12
0.287,1.12
0.295,1.51
0.300,1.12
0.305,1.12
0.310,1.12
0.315,1.12
0.319,1.12
0.325,1.13
0.329,1.5
0.335,1.12
0.338,1.12
0.345,1.12
0.350,1.12
0.355,1.12
0.360,1.13
0.364,1.13
0.369,1.51
0.375,1.51
0.377,1.51
0.384,1.51
0.387,1.51
0.395,1.51
0.400,1.51
0.404,1.51
0.408,1.51
0.415,1.51
0.419,1.51
0.424,1.51
0.427,1.51
0.434,1.51
0.436,1.51
0.444,1.51
0.450,1.51
0.454,1.51
0.457,1.51
0.464,1.51
0.470,1.51
0.474,1.51
0.476,1.51
0.484,1.51
0.489,1.51
0.491,1.13
0.500,1.13
0.502,1.13
0.509,1.13
0.511,1.13
0.519,1.13
0.522,1.51
0.529,1.13
0.534,1.13
0.539,1.13
0.541,1.3
0.549,1.13
0.552,1.16
0.559,1.51
0.561,1.51
0.569,1.51
0.572,1.51
0.579,1.51
0.584,1.51
0.589,1.51
0.594,1.51
0.598,1.51
0.604,1.51
0.604,1.51
0.604,1.51
0.619,1.51
0.623,1.51
0.628,1.51
0.633,1.51
0.639,1.51
0.644,1.51
0.648,1.51
0.654,1.51
0.659,1.51
0.660,1.51
0.668,1.51
0.668,1.51
0.679,1.51
0.684,1.51
0.685,1.51
0.694,1.51
0.696,1.51
0.701,1.51
0.708,1.51
0.713,1.51
0.718,1.51
0.718,1.13
0.728,1.13
0.735,1.13
0.735,1.13
0.743,1.12
0.745,1.12
0.751,1.12
0.759,1.13
0.764,1.12
0.767,1.13
0.774,1.13
0.779,1.13
0.784,1.13
0.788,1.17
0.793,1.24
0.798,1.13
0.800,1.13
0.800,1.13
0.813,1.13
0.817,1.13
0.824,1.27
0.826,1.51
0.833,1.51
0.836,1.51
0.843,1.51
0.845,1.51
0.854,1.51
0.857,1.51
0.864,1.51
0.867,1.51
0.873,1.51
0.876,1.51
0.884,1.51
0.886,1.51
0.894,1.51
0.895,1.51
0.904,1.51
0.908,1.51
0.913,1.51
0.917,1.51
0.923,1.51
0.926,1.51
0.933,1.51
0.936,1.51
0.944,1.51
0.946,1.51
0.954,1.12
0.958,1.12
0.963,1.12
0.967,1.13
0.974,1.13
0.976,1.13
0.984,1.51
0.984,1.51
0.994,1.51
0.995,1.51
1.004,1.51
1.007,1.51
1.013,1.51
1.017,1.51
1.024,1.51
1.026,1.51
1.034,1.51
1.034,1.51
1.043,1.51
1.045,1.51
1.053,1.51
1.058,1.51
1.064,1.51
1.067,1.51
1.074,1.51
1.076,1.51
1.083,1.51
1.084,1.51
1.093,1.51
1.095,1.51
1.100,1.51
1.100,1.51
1.100,1.51
1.117,1.51
1.117,1.51
1.117,1.51
1.132,1.51
1.134,1.51
1.134,1.51
1.134,1.51
1.150,1.51
1.150,1.51
1.150,1.51
1.167,1.51
1.167,1.51
1.167,1.51
1.183,1.51
1.183,1.12
1.183,1.12
1.183,1.12
1.200,1.12
1.200,1.12
1.200,1.12
1.217,1.51
1.217,1.12
1.217,1.12
1.232,1.12
1.234,1.12
1.234,1.12
1.234,1.13
1.250,1.47
1.250,1.12
1.250,1.12
1.267,1.12
1.272,1.12
1.277,1.12
1.283,1.12
1.288,1.39
1.293,1.51
1.298,1.51
1.300,1.51
1.307,1.51
1.310,1.51
1.317,1.51
1.320,1.51
1.327,1.51
1.333,1.51
1.338,1.51
1.342,1.51
1.348,1.51
1.350,1.51
1.357,1.51
1.360,1.51
1.367,1.51
1.373,1.51
1.377,1.51
1.383,1.51
1.384,1.51
1.384,1.51
1.397,1.51
1.400,1.51
1.407,1.51
1.411,1.51
1.417,1.12
1.417,1.12
1.428,1.12
1.433,1.12
1.434,1.12
1.442,1.12
1.446,1.51
1.453,1.51
1.454,1.51
1.462,1.51
1.467,1.51
1.473,1.51
1.477,1.51
1.483,1.51
1.488,1.51
1.492,1.51
1.497,1.51
1.500,1.51
1.507,1.51
1.509,1.51
1.517,1.51
1.519,1.51
1.527,1.51
1.528,1.51
1.537,1.51
1.541,1.51
1.548,1.51
1.550,1.51
1.558,1.51
1.560,1.51
1.567,1.51
1.572,1.51
1.576,1.51
1.582,1.51
1.583,1.51
1.583,1.51
1.597,1.51
1.601,1.51
1.601,1.51
1.613,1.51
1.617,1.51
1.622,1.51
1.626,1.51
1.633,1.51
1.634,1.51
1.634,1.51
1.647,1.12
1.651,1.12
1.658,1.13
1.660,1.13
1.668,1.13
1.670,1.13
1.670,1.51
1.682,1.13
1.684,1.13
1.692,1.13
1.695,1.13
1.702,1.13
1.705,1.13
1.712,1.13
1.717,1.15
1.722,1.13
1.726,1.13
1.732,1.13
1.734,1.13
1.742,1.13
1.745,1.13
1.752,1.51
1.755,1.51
1.762,1.51
1.767,1.51
1.772,1.51
1.775,1.51
1.782,1.51
1.784,1.51
1.792,1.51
1.797,1.51
1.802,1.51
1.804,1.51
1.812,1.51
1.817,1.51
1.817,1.51
1.827,1.51
1.828,1.51
1.837,1.51
1.841,1.51
1.847,1.51
1.851,1.51
1.857,1.51
1.860,1.51
1.866,1.51
1.868,1.51
1.877,1.13
1.879,1.13
1.887,1.13
1.891,1.13
1.897,1.12
1.900,1.12
1.907,1.15
1.910,1.51
1.916,1.51
1.918,1.51
1.927,1.51
1.929,1.51
1.937,1.51
1.942,1.51
1.947,1.51
1.950,1.51
1.957,1.51
1.960,1.51
1.967,1.51
1.967,1.51
1.976,1.51
1.980,1.51
1.986,1.51
1.989,1.51
1.997,1.51
2.000,1.51
2.007,1.51
2.009,1.51
2.017,1.51
2.017,1.51
2.026,1.51
2.028,1.51
2.037,1.51
2.040,1.51
2.046,1.51
2.052,1.51
2.057,1.51
2.061,1.51
2.067,1.51
2.071,1.51
2.076,1.51
2.081,1.51
2.086,1.51
2.092,1.51
2.096,1.51
2.100,1.51
2.106,1.13
2.111,1.13
2.117,1.13
2.121,1.13
2.126,1.13
2.131,1.15
2.136,1.13
2.142,1.17
2.146,1.13
2.151,1.13
2.156,1.35
2.161,1.13
2.166,1.32
2.171,1.13
2.176,1.13
2.181,1.12
2.186,1.13
2.191,1.13
2.196,1.13
2.201,1.13
2.203,1.39
2.211,1.51
2.216,1.51
2.221,1.51
2.224,1.51
2.231,1.51
2.233,1.51
2.241,1.51
2.243,1.51
2.251,1.51
2.256,1.51
2.259,1.51
2.266,1.51
2.267,1.51
2.267,1.51
2.281,1.51
2.283,1.51
2.291,1.51
2.293,1.51
2.301,1.51
2.303,1.51
2.303,1.51
2.316,1.51
2.317,1.51
2.317,1.51
2.331,1.51
2.333,1.51
2.341,1.13
2.343,1.13
2.351,1.13
2.353,1.13
2.361,1.13
2.366,1.13
2.371,1.51
2.375,1.51
2.381,1.51
2.383,1.51
2.391,1.51
2.393,1.51
2.400,1.51
2.402,1.51
2.411,1.51
2.416,1.51
2.421,1.51
2.424,1.51
2.431,1.51
2.434,1.51
2.441,1.51
2.443,1.51
2.450,1.51
2.453,1.51
2.461,1.51
2.466,1.51
2.471,1.51
2.474,1.51
2.481,1.51
2.483,1.51
2.490,1.51
2.493,1.51
2.500,1.51
2.503,1.51
2.511,1.51
2.516,1.51
2.521,1.51
2.524,1.51
2.531,1.51
2.534,1.51
2.541,1.51
2.543,1.51
2.551,1.51
2.553,1.51
2.561,1.51
2.566,1.51
2.571,1.12
2.574,1.12
2.580,1.12
2.583,1.12
2.591,1.51
2.595,1.51
2.601,1.51
2.602,1.51
2.611,1.51
2.616,1.51
2.620,1.51
2.625,1.51
2.630,1.51
2.633,1.51
2.641,1.51
2.642,1.51
2.650,1.51
2.653,1.51
2.661,1.51
2.666,1.51
2.670,1.51
2.675,1.51
2.681,1.51
2.683,1.51
2.691,1.51
2.693,1.51
2.700,1.51
2.702,1.51
2.711,1.51
2.713,1.51
2.720,1.51
2.724,1.51
2.730,1.51
2.733,1.51
2.740,1.51
2.743,1.51
2.750,1.51
2.754,1.51
2.760,1.51
2.762,1.51
2.770,1.51
2.774,1.51
2.780,1.51
2.783,1.51
2.790,1.51
2.792,1.51
2.800,1.12
2.802,1.12
2.810,1.13
2.813,1.12
2.820,1.13
2.824,1.13
2.830,1.42
2.833,1.13
2.840,1.13
2.842,1.13
2.850,1.13
2.854,1.13
2.860,1.13
2.862,1.13
2.870,1.16
2.873,1.13
2.880,1.13
2.883,1.13
2.890,1.13
2.892,1.13
2.900,1.44
2.902,1.51
2.910,1.51
2.911,1.51
2.916,1.51
2.916,1.51
2.916,1.51
2.933,1.51
2.950,1.51
2.950,1.51
2.950,1.51
2.950,1.51
2.950,1.51
2.950,1.51
2.966,1.51
2.966,1.51
2.966,1.51
2.983,1.51
2.983,1.51
2.983,1.51
2.999,1.51
2.999,1.51
2.999,1.51
2.999,1.51
3.016,1.51
3.016,1.51
3.016,1.12
3.033,1.13
3.033,1.13
3.045,1.13
3.050,1.13
3.054,1.42
3.058,1.51
3.064,1.51
3.067,1.51
3.067,1.51
3.080,1.51
3.083,1.51
3.090,1.51
3.094,1.51
3.100,1.51
3.100,1.51
3.109,1.51
3.111,1.51
3.119,1.51
3.124,1.51
3.128,1.51
3.135,1.51
3.137,1.51
3.144,1.51
3.146,1.51
3.154,1.51
3.158,1.51
3.164,1.51
3.166,1.51
3.175,1.51
3.177,1.51
3.185,1.51
3.187,1.51
3.195,1.51
3.199,1.51
3.204,1.51
3.207,1.51
3.214,1.51
3.216,1.51
3.225,1.51
3.226,1.51
3.234,1.51
3.237,1.51
3.245,1.51
3.249,1.51
3.254,1.51
3.258,1.29
3.264,1.12
3.267,1.13
3.274,1.12
3.276,1.12
3.284,1.12
3.286,1.12
3.294,1.51
3.297,1.12
3.304,1.12
3.307,1.13
3.314,1.13
3.317,1.13
3.324,1.13
3.326,1.51
3.334,1.13
3.336,1.13
3.344,1.12
3.349,1.13
3.354,1.13
3.358,1.12
3.364,1.5
3.366,1.51
3.374,1.51
3.376,1.51
3.384,1.51
3.386,1.51
3.394,1.51
3.396,1.51
3.403,1.51
3.409,1.51
3.414,1.51
3.417,1.51
3.424,1.51
3.427,1.51
3.433,1.51
3.435,1.51
3.444,1.51
3.449,1.51
3.454,1.51
3.457,1.51
3.464,1.51
3.467,1.51
3.474,1.51
3.476,1.51
3.484,1.51
3.486,1.51
3.493,1.13
3.499,1.13
3.504,1.13
3.507,1.12
3.513,1.12
3.517,1.49
3.524,1.51
3.525,1.51
3.534,1.51
3.536,1.51
3.544,1.51
3.549,1.51
3.554,1.51
3.557,1.51
3.564,1.51
3.566,1.51
3.574,1.51
3.576,1.51
3.583,1.51
3.586,1.51
3.593,1.51
3.599,1.51
3.600,1.51
3.609,1.51
3.610,1.51
3.619,1.51
3.621,1.51
3.628,1.51
3.633,1.51
3.639,1.51
3.642,1.51
3.648,1.51
3.650,1.51
3.659,1.51
3.661,1.51
3.668,1.51
3.670,1.51
3.679,1.51
3.683,1.51
3.689,1.51
3.691,1.51
3.698,1.51
3.700,1.51
3.709,1.51
3.711,1.51
3.719,1.51
3.721,1.12
3.729,1.12
3.733,1.12
3.739,1.12
3.741,1.12
3.748,1.28
3.750,1.51
3.759,1.12
3.761,1.12
3.768,1.12
3.770,1.13
3.778,1.12
3.784,1.12
3.788,1.47
3.791,1.13
3.798,1.12
3.800,1.12
3.809,1.12
3.810,1.12
3.819,1.12
3.821,1.13
3.828,1.51
3.833,1.51
3.838,1.51
3.840,1.51
3.848,1.51
3.849,1.51
3.858,1.51
3.861,1.51
3.868,1.51
3.870,1.51
3.870,1.51
3.883,1.51
3.884,1.51
3.893,1.51
3.896,1.51
3.903,1.51
3.906,1.51
3.913,1.51
3.916,1.51
3.923,1.51
3.925,1.51
3.933,1.51
3.935,1.51
3.943,1.51
3.945,1.51
3.953,1.12
3.956,1.13
3.963,1.13
3.966,1.13
3.973,1.13
3.976,1.13
3.982,1.5
3.983,1.51
3.993,1.51
3.995,1.51
