Elapsed Time (s),Value
0.000,1.0
0.000,2.05
0.000,2.05
0.018,2.05
0.018,2.05
0.026,2.05
0.030,2.05
0.059,2.05
0.059,2.04
0.059,2.05
0.059,2.05
0.109,2.05
0.126,2.05
0.126,2.05
0.126,2.05
0.126,2.05
0.126,2.05
0.126,2.05
0.126,2.05
0.126,1.25
0.126,1.25
0.126,1.25
0.126,1.25
0.126,1.25
0.126,1.25
0.126,2.05
0.126,1.25
0.126,1.25
0.142,1.25
0.164,1.25
0.164,1.25
0.164,1.25
0.164,2.05
0.164,1.25
0.170,1.25
0.177,1.25
0.180,1.25
0.188,1.25
0.194,1.74
0.194,1.25
0.200,2.05
0.205,2.05
0.211,2.05
0.215,2.05
0.223,2.05
0.228,2.05
0.228,2.05
0.236,2.04
0.236,2.05
0.244,2.05
0.250,2.05
0.257,2.04
0.262,2.05
0.267,2.05
0.267,2.05
0.279,2.05
0.279,2.05
0.286,2.05
0.294,2.05
0.296,2.05
0.300,2.05
0.309,2.05
0.312,2.05
0.316,2.05
0.316,2.05
0.329,1.25
0.333,1.25
0.335,1.25
0.343,1.25
0.349,1.24
0.350,2.03
0.359,1.25
0.362,1.25
0.367,1.25
0.367,1.25
0.376,2.0
0.383,1.25
0.385,1.25
0.393,1.25
0.398,1.25
0.398,1.25
0.406,1.25
0.414,1.25
0.418,1.25
0.418,1.49
0.426,1.25
0.433,2.05
0.435,2.05
0.441,2.05
0.448,2.05
0.453,2.05
0.453,2.05
0.463,2.05
0.466,2.05
0.471,1.96
0.479,2.05
0.481,2.05
0.481,2.05
0.490,2.02
0.496,2.05
0.501,2.06
0.509,2.05
0.513,2.05
0.517,2.06
0.521,2.05
0.529,2.05
0.532,2.06
0.532,2.06
0.541,2.05
0.546,2.06
0.546,2.06
0.555,1.26
0.563,1.26
0.566,1.26
0.574,1.26
0.579,1.26
0.582,1.26
0.585,1.95
0.593,1.26
0.597,1.26
0.601,1.21
0.609,2.06
0.613,2.06
0.616,2.05
0.624,2.05
0.626,2.06
0.632,2.06
0.632,2.05
0.642,2.06
0.642,2.06
0.650,2.06
0.658,2.05
0.659,2.05
0.667,2.05
0.672,2.05
0.676,2.05
0.676,2.04
0.684,2.06
0.693,2.05
0.699,2.05
0.700,2.02
0.709,2.05
0.710,2.05
0.716,2.02
0.720,2.05
0.726,2.05
0.733,2.05
0.733,2.05
0.743,2.05
0.743,2.03
0.743,2.06
0.755,2.06
0.760,2.05
0.768,2.05
0.768,2.06
0.776,2.06
0.776,2.06
0.785,1.24
0.793,1.23
0.793,1.24
