Elapsed Time (s),Value
0.008,2.05
0.008,2.06
0.016,2.05
0.016,2.05
0.028,2.05
0.031,2.06
0.031,2.05
0.040,2.06
0.049,2.06
0.049,2.05
0.056,2.05
0.056,2.05
0.065,2.05
0.073,2.05
0.074,2.05
0.080,2.05
0.080,2.03
0.091,2.05
0.096,2.05
0.125,2.04
0.160,2.05
0.160,1.56
0.160,2.05
0.160,2.05
0.160,2.05
0.160,2.05
0.160,2.05
0.160,2.05
0.160,2.05
0.160,2.04
0.160,2.05
0.160,2.05
0.160,2.05
0.160,2.05
0.178,2.05
0.184,2.01
0.184,2.04
0.193,2.05
0.193,2.05
0.200,2.05
0.208,2.05
0.211,2.05
0.214,2.05
0.223,2.05
0.227,1.59
0.227,2.05
0.235,2.05
0.243,2.05
0.244,2.05
0.250,2.04
0.258,2.05
0.261,2.05
0.261,2.05
0.270,2.05
0.278,2.05
0.278,2.05
0.285,2.05
0.293,2.05
0.295,2.05
0.303,2.05
0.305,2.05
0.311,2.05
0.315,2.05
0.323,2.05
0.328,2.05
0.328,2.05
0.335,2.05
0.343,2.05
0.345,2.05
0.353,2.05
0.355,2.04
0.361,2.05
0.365,2.05
0.373,2.05
0.377,2.05
0.377,2.05
0.385,2.05
0.393,2.05
0.395,2.06
0.401,2.04
0.409,2.04
0.412,2.05
0.412,2.05
0.421,2.05
0.427,2.05
0.430,2.05
0.438,2.05
0.439,2.05
0.445,2.05
0.450,2.05
0.458,2.03
0.461,2.05
0.461,2.05
0.471,2.04
0.477,2.05
0.480,2.05
0.488,2.04
0.490,2.05
0.497,2.05
0.500,2.05
0.508,2.03
0.512,2.01
0.512,1.94
0.521,2.05
0.527,2.05
0.531,2.05
0.531,2.04
0.543,2.05
0.544,2.05
0.550,2.06
0.558,2.04
0.562,2.05
0.562,2.06
0.570,2.05
0.578,2.06
0.578,2.06
0.585,2.04
0.593,2.05
0.598,2.05
0.602,2.05
0.608,2.05
0.608,2.06
0.616,2.06
0.616,2.04
0.625,2.05
0.633,1.72
0.637,2.05
0.641,2.05
0.641,2.06
0.649,2.05
0.657,2.05
0.659,2.06
0.659,2.05
0.669,2.05
0.675,2.05
0.683,2.05
0.683,2.04
0.692,2.05
0.692,2.05
0.692,2.06
0.705,2.05
0.709,2.05
0.716,2.05
0.720,2.05
0.725,2.05
0.732,2.06
0.732,2.06
0.742,2.05
0.742,1.55
0.749,2.06
0.758,2.05
0.759,2.06
0.767,2.06
0.770,2.06
0.775,2.05
0.780,2.05
0.788,2.05
0.792,2.05
0.798,2.06
0.798,2.06
0.805,2.05
0.809,2.06
0.815,2.06
0.823,2.05
0.827,2.04
0.827,2.06
0.835,2.06
0.842,2.01
0.844,2.06
0.850,2.06
0.858,2.05
0.859,2.06
0.864,2.06
0.872,2.05
0.877,2.05
0.880,2.05
0.888,2.06
0.892,2.05
0.896,2.05
0.896,2.05
0.905,2.04
0.912,2.05
0.912,2.06
0.920,2.05
0.925,2.04
0.929,2.05
0.938,2.06
0.943,2.05
0.943,2.05
0.950,2.05
0.954,2.05
0.959,2.06
0.964,2.05
0.973,2.05
0.975,2.05
0.975,2.05
0.984,2.05
0.992,2.04
0.995,2.06
0.995,2.06
1.005,2.05
1.009,2.05
1.014,2.04
1.023,2.05
1.025,2.05
1.029,2.06
1.036,1.88
1.042,2.05
1.042,2.05
1.050,2.06
1.058,2.05
1.061,2.05
1.061,2.05
1.070,2.05
1.075,2.05
1.075,2.06
1.084,2.05
1.092,2.05
1.097,2.05
1.097,2.05
1.105,2.05
1.114,2.05
1.114,2.05
1.120,2.05
1.125,2.05
1.129,2.05
1.137,2.05
1.142,2.05
1.147,2.05
1.152,2.05
1.153,2.05
1.165,2.05
1.165,1.58
1.172,2.05
1.175,2.05
1.180,2.05
1.180,2.05
1.192,2.05
1.198,2.05
1.202,2.05
1.202,2.05
1.208,2.04
1.214,2.05
1.220,2.05
1.225,2.04
1.230,2.05
1.230,2.05
1.241,2.05
1.247,2.05
1.247,2.05
1.254,2.05
1.259,2.05
1.267,2.05
1.267,2.05
1.278,2.04
1.278,2.05
1.286,2.05
1.292,2.05
1.293,2.05
1.302,2.05
1.307,2.05
1.308,2.05
1.316,2.06
1.316,2.06
1.327,2.05
1.327,2.06
1.334,2.06
1.342,2.04
1.346,2.03
1.346,2.05
1.354,2.05
1.358,2.04
1.358,2.05
1.372,2.06
1.375,2.05
1.375,2.05
1.391,2.05
1.408,2.05
1.408,2.05
1.408,2.05
1.408,2.05
1.408,2.05
1.408,2.05
1.408,2.05
1.425,2.05
1.425,2.05
1.425,2.05
1.441,2.05
1.441,2.05
1.441,2.05
1.457,1.97
1.458,2.05
1.458,2.05
1.472,2.05
1.478,2.05
1.482,2.05
1.484,2.05
1.491,2.05
1.491,2.05
1.502,2.05
1.508,2.05
1.513,2.05
1.517,2.05
1.522,2.05
1.528,2.05
1.532,2.05
1.537,2.06
1.543,2.05
1.548,2.05
1.552,2.03
1.557,2.05
1.562,2.05
1.568,2.05
1.572,1.63
1.578,2.05
1.582,2.04
1.585,2.06
1.591,2.05
1.597,2.04
1.602,2.05
1.607,2.05
1.612,2.05
1.618,2.05
1.623,2.06
1.627,2.05
1.631,2.03
1.631,2.05
1.641,2.05
1.646,2.05
1.646,2.05
1.653,2.05
1.658,2.05
1.663,2.05
1.671,2.05
1.677,2.03
1.677,2.05
1.684,1.71
1.691,2.05
1.696,2.05
1.696,2.05
1.704,2.05
1.708,2.04
1.717,2.05
1.717,2.06
1.728,2.05
1.728,2.05
1.734,2.05
1.741,2.05
1.746,2.05
1.746,2.05
1.754,2.06
1.758,2.05
1.764,2.05
1.772,2.06
1.777,2.05
1.777,2.05
1.787,2.06
1.792,2.05
