Elapsed Time (s),Value
0.000,2.09
0.003,2.09
0.004,2.09
0.005,2.09
0.006,2.09
0.007,2.09
0.007,2.09
0.009,2.09
0.010,2.09
0.010,2.09
0.015,2.09
0.016,2.09
0.017,2.09
0.017,2.09
0.017,2.09
0.029,2.09
0.032,2.05
0.041,1.28
0.042,1.27
0.044,1.27
0.047,1.27
0.052,1.27
0.055,1.27
0.060,1.27
0.065,2.09
0.070,1.27
0.075,1.27
0.079,1.27
0.090,1.27
0.091,1.27
0.095,1.27
0.096,2.09
0.105,1.27
0.110,1.27
0.115,1.27
0.120,1.27
0.125,1.27
0.130,1.27
0.135,2.05
0.140,2.09
0.142,2.09
0.150,2.09
0.153,2.07
0.157,2.09
0.165,2.09
0.169,2.09
0.172,2.09
0.181,2.08
0.185,2.09
0.190,2.09
0.192,2.09
0.200,2.09
0.204,2.09
0.210,2.0
0.215,2.09
0.220,2.09
0.222,2.09
0.230,2.08
0.235,2.08
0.238,2.09
0.243,2.09
0.250,2.09
0.253,2.09
0.258,2.09
0.265,1.27
0.270,1.27
0.272,1.28
0.280,1.27
0.284,1.27
0.288,1.53
0.295,2.09
0.300,2.06
0.304,2.09
0.307,2.09
0.315,2.08
0.320,2.09
0.323,2.09
0.330,2.09
0.335,2.09
0.338,2.09
0.343,2.09
0.350,2.09
0.355,2.09
0.357,2.09
0.365,2.09
0.370,2.09
0.373,2.09
0.380,2.09
0.384,2.08
0.387,2.09
0.392,2.09
0.400,2.09
0.403,2.06
0.407,2.09
0.414,2.08
0.420,2.08
0.423,2.09
0.430,2.08
0.434,2.08
0.437,2.09
0.443,2.09
0.450,2.09
0.453,2.09
0.459,2.09
0.464,2.08
0.470,2.09
0.472,2.09
0.480,2.08
0.484,2.08
0.488,2.09
0.493,1.27
0.499,1.27
0.504,1.27
0.507,1.27
0.515,1.27
0.519,1.27
0.525,2.09
0.530,1.27
0.535,1.27
0.540,1.27
0.545,1.27
0.549,1.27
0.555,1.27
0.560,2.08
0.565,1.27
0.570,1.27
0.575,1.27
0.578,1.27
0.585,1.27
0.589,1.27
0.595,1.27
0.600,2.09
0.605,2.09
0.609,2.08
0.614,2.09
0.620,2.09
0.624,2.09
0.630,2.09
0.634,2.09
0.640,2.09
0.641,2.09
0.650,2.09
0.655,2.09
0.660,2.08
0.665,2.09
0.670,2.09
0.675,2.09
0.680,2.09
0.685,2.09
0.690,2.09
0.695,2.09
0.700,2.09
0.705,2.09
0.710,2.09
0.714,2.09
0.719,2.09
0.725,1.28
0.730,1.28
0.734,1.28
0.740,1.28
0.745,1.28
0.750,1.28
0.755,2.09
0.760,2.09
0.764,2.09
0.770,2.09
0.775,2.09
0.780,2.09
0.785,2.09
0.790,2.09
0.795,2.09
0.800,2.09
0.805,2.09
0.810,2.09
0.815,2.09
0.819,2.09
0.821,2.09
0.830,2.09
0.835,2.09
0.836,2.09
0.845,2.09
0.850,2.09
0.851,2.09
0.858,2.09
0.865,2.09
0.870,2.09
0.875,2.09
0.880,2.07
0.884,2.09
0.888,2.09
0.895,2.08
0.900,2.08
0.905,2.09
0.907,2.09
0.914,2.08
0.920,2.08
0.923,2.09
0.929,2.08
0.933,2.08
0.937,2.09
0.941,2.09
0.950,2.08
0.952,1.26
0.958,1.26
0.964,1.26
0.970,1.26
0.971,1.26
0.980,1.26
0.982,2.08
0.987,2.09
0.995,2.09
0.999,2.09
1.003,2.09
1.008,2.08
1.014,2.08
1.018,2.09
1.022,2.08
1.030,2.08
1.035,2.09
1.038,2.08
1.043,2.09
1.050,2.09
1.052,2.09
1.059,2.09
1.064,2.08
1.070,2.09
1.074,2.08
1.080,2.08
1.130,2.08
1.159,2.08
1.164,2.09
1.185,2.09
1.186,2.09
1.186,2.09
1.187,2.09
1.187,2.09
1.187,2.09
1.188,2.09
1.189,2.09
1.190,2.08
1.190,2.09
1.190,2.08
1.191,2.09
1.191,2.06
1.191,2.09
1.192,2.09
1.193,2.01
1.193,2.09
1.194,1.27
1.200,1.27
1.203,1.27
1.205,1.27
1.205,1.27
1.209,1.27
1.214,1.27
1.220,1.3
1.224,1.27
1.230,1.27
1.234,1.27
1.239,1.27
1.245,1.27
1.251,1.27
1.254,2.0
1.259,1.27
1.264,1.27
1.269,1.27
1.274,1.27
1.280,1.27
1.284,1.37
1.289,2.09
1.295,2.09
1.300,2.09
1.305,2.09
1.310,2.09
1.314,2.09
1.320,2.09
1.324,2.09
1.329,2.09
1.334,2.09
1.339,2.08
1.345,1.99
1.351,2.08
1.355,2.09
1.360,1.94
1.364,2.09
1.370,2.08
1.374,2.09
1.380,2.09
1.384,2.09
1.390,2.09
1.395,2.09
1.399,2.09
1.402,2.09
1.407,2.09
1.414,1.27
1.418,1.27
1.425,1.27
1.430,1.27
1.435,2.09
1.437,1.28
1.445,1.28
1.449,2.05
1.452,1.28
1.460,1.28
1.464,1.28
1.470,2.07
1.475,1.28
1.480,1.27
1.483,2.09
1.487,1.28
1.494,1.28
1.500,1.28
1.505,1.86
1.509,1.27
1.514,1.28
1.519,2.08
1.522,2.09
1.530,2.09
1.534,2.09
1.538,2.09
1.545,2.09
1.549,2.09
1.551,2.09
1.558,2.09
1.564,2.09
1.570,2.08
1.571,2.09
1.580,2.09
1.583,2.09
1.588,2.09
1.595,2.09
1.599,2.09
1.601,2.09
1.607,2.09
1.614,2.09
1.617,2.09
1.623,2.09
1.630,2.08
1.634,2.09
1.639,2.08
1.645,1.95
1.649,1.27
1.651,1.27
1.658,1.27
1.664,1.27
