Elapsed Time (s),Value
3.196,2.09
3.213,2.09
3.219,2.09
3.219,2.09
3.229,1.98
3.234,2.09
3.234,2.09
3.244,2.09
3.249,2.1
3.251,2.09
3.251,2.09
3.264,2.09
3.267,2.09
3.267,2.09
3.279,2.09
3.284,2.05
3.284,2.04
3.294,2.09
3.297,2.1
3.300,2.09
3.309,2.09
3.313,2.09
3.317,2.09
3.317,2.09
3.317,2.09
3.333,2.09
3.336,2.09
3.344,2.09
3.345,2.09
3.353,2.09
3.358,2.09
3.364,2.08
3.367,2.09
3.374,2.09
3.376,2.1
3.384,2.09
3.384,1.6
3.394,1.6
3.396,1.59
3.404,1.6
3.408,1.6
3.414,1.6
3.417,2.0
3.424,1.61
3.426,1.6
3.433,1.6
3.433,1.6
3.444,1.59
3.445,1.6
3.454,1.6
3.459,2.09
3.463,1.6
3.467,1.6
3.474,1.6
3.476,1.59
3.484,1.6
3.484,1.58
3.494,2.09
3.495,2.09
3.503,2.09
3.509,2.0
3.513,2.09
3.517,2.09
3.524,2.1
3.527,2.09
3.534,2.08
3.534,2.09
3.544,2.09
3.545,2.09
3.553,2.09
3.558,2.09
3.564,2.09
3.567,2.09
3.574,2.09
3.576,2.09
3.584,2.09
3.584,2.09
3.594,2.09
3.595,2.1
3.604,2.09
3.609,2.09
3.613,2.09
3.617,1.61
3.624,1.61
3.626,1.61
3.633,1.61
3.633,1.61
3.644,1.61
3.646,1.5
3.653,1.98
3.659,2.09
3.664,2.09
3.667,2.09
3.674,2.09
3.676,2.09
3.684,2.09
3.684,2.09
3.694,2.09
3.699,2.1
3.704,2.09
3.708,2.09
3.714,2.09
3.717,2.09
3.717,2.09
3.729,2.1
3.733,2.09
3.739,2.09
3.743,2.09
3.748,2.09
3.750,2.09
3.759,2.09
3.760,2.09
3.769,2.09
3.771,2.09
3.779,2.09
3.783,2.09
3.789,2.09
3.792,2.09
3.798,2.09
3.800,2.09
3.809,2.09
3.810,2.1
3.819,2.09
3.821,2.09
3.829,2.09
3.833,2.09
3.838,2.09
3.843,2.09
3.848,1.61
3.850,1.61
3.859,1.61
3.861,1.61
3.869,1.61
3.871,1.61
3.879,1.61
3.884,1.84
3.889,1.61
3.893,1.61
3.899,1.61
3.900,1.61
3.909,1.61
3.910,1.61
3.917,1.61
3.923,1.6
3.928,1.6
3.934,1.6
3.934,1.61
3.944,1.61
3.945,1.61
3.954,2.09
3.959,2.09
3.963,2.09
3.967,2.09
3.974,2.09
3.975,2.09
3.984,2.09
3.984,2.09
3.993,2.09
3.995,2.09
4.004,2.09
4.008,2.09
4.013,2.09
4.017,2.09
4.024,2.09
4.025,2.09
4.033,2.09
4.037,2.09
4.043,2.09
4.049,2.09
4.054,2.09
4.058,2.09
4.063,2.1
4.067,2.09
4.074,2.09
4.075,2.09
4.083,1.61
4.087,1.6
4.094,1.6
4.096,1.59
4.104,1.61
4.109,1.83
4.113,1.65
4.117,1.61
4.124,1.63
4.126,2.09
4.133,2.09
4.133,2.09
4.144,2.09
4.145,2.09
4.150,2.09
4.166,2.09
4.166,2.09
4.166,2.09
4.166,2.09
4.182,2.09
4.183,2.09
4.183,2.09
4.183,2.09
4.199,2.09
4.200,2.09
4.200,2.09
4.216,2.0
4.216,2.09
4.216,2.02
4.216,2.09
4.233,2.09
4.233,2.09
4.233,2.09
4.249,2.09
4.250,2.09
4.250,2.09
4.250,2.09
4.266,2.08
4.273,2.03
4.276,2.09
4.283,2.09
4.283,2.09
4.294,2.09
4.296,2.09
4.303,2.05
4.308,1.61
4.313,2.09
4.316,2.09
4.323,2.09
4.326,2.09
4.333,2.09
4.338,2.09
4.343,2.09
4.349,2.09
4.353,2.09
4.359,2.09
4.364,2.09
4.369,2.09
4.374,2.03
4.378,2.09
4.383,2.07
4.388,2.09
4.394,2.09
4.399,2.09
4.404,2.09
4.409,2.09
4.414,2.09
4.419,2.09
4.424,2.09
4.429,2.09
4.433,2.09
4.439,2.09
4.443,2.09
4.449,2.09
4.454,2.09
4.459,2.09
4.462,2.09
4.466,2.09
4.470,2.09
4.479,2.09
4.483,2.09
4.488,2.09
4.492,2.09
4.499,2.09
4.500,2.1
4.508,2.09
4.510,2.1
4.516,2.09
4.524,2.09
4.526,2.09
4.533,2.09
4.533,2.09
4.543,1.6
4.545,1.6
4.554,1.6
4.559,1.6
4.564,1.59
4.566,1.6
4.573,2.09
4.575,1.6
4.584,1.59
4.584,1.6
4.594,1.6
4.599,1.6
4.604,1.6
4.608,1.98
4.614,1.6
4.616,1.6
4.624,1.6
4.626,1.58
4.633,1.6
4.636,1.6
4.644,1.6
4.646,2.09
4.653,2.09
4.659,2.09
4.664,2.09
4.667,2.09
4.674,2.09
4.676,2.09
4.683,2.09
4.686,2.09
4.694,2.03
4.695,2.09
4.703,2.09
4.708,2.09
4.714,2.09
4.717,2.09
4.724,2.09
4.727,2.09
4.734,2.09
4.736,2.09
4.744,2.09
4.746,2.09
4.754,2.09
4.759,2.09
4.763,2.09
4.766,2.09
4.774,1.61
4.776,1.61
4.783,1.61
4.783,1.61
4.794,1.61
4.795,1.6
4.803,2.05
4.808,2.09
4.814,2.09
4.817,2.09
4.824,2.09
4.826,2.09
4.833,2.09
4.836,2.09
4.844,2.09
4.849,2.09
4.854,2.09
4.858,2.09
4.864,2.09
4.867,2.09
4.874,2.09
4.876,2.09
4.883,2.09
4.886,2.09
4.894,2.09
4.896,2.09
4.903,2.09
4.908,2.08
4.914,2.09
4.917,2.09
4.924,2.09
4.927,2.09
4.933,2.09
4.936,2.09
4.944,2.09
4.945,2.09
4.953,2.09
4.958,2.09
4.964,2.09
4.967,2.09
4.974,2.09
4.976,2.09
4.983,2.09
4.983,2.09
4.994,2.09
4.995,2.09
5.003,1.59
5.008,1.61
5.014,1.61
5.016,1.61
5.023,1.61
5.025,1.61
5.033,1.96
5.033,1.61
5.044,1.61
5.045,1.59
5.054,1.61
5.059,1.61
5.064,1.61
5.066,1.61
5.073,2.09
5.076,1.61
5.083,1.6
5.086,1.61
5.094,1.61
5.095,1.61
5.104,1.61
5.109,2.09
5.113,2.09
5.116,2.09
5.124,2.08
5.126,2.09
5.133,2.09
5.136,2.09
5.144,2.09
5.146,2.09
5.154,2.09
5.158,2.09
5.164,2.09
5.166,2.09
5.174,2.09
5.176,2.09
5.183,2.09
5.183,2.09
5.193,2.09
5.199,2.09
5.204,2.09
5.208,2.09
5.213,2.09
5.216,2.09
5.224,2.09
5.225,2.09
5.233,1.6
5.236,1.61
5.244,1.6
5.245,1.61
5.254,1.59
5.259,1.61
5.263,1.56
5.266,2.08
5.274,2.02
5.276,2.09
5.283,2.09
5.283,2.09
5.294,2.09
5.295,2.09
5.303,2.09
5.308,2.09
5.314,2.09
5.316,2.09
5.324,2.05
5.325,2.09
5.333,2.09
5.335,2.09
5.344,2.09
5.346,2.09
5.354,2.09
5.358,2.09
5.364,2.09
5.366,2.09
5.374,2.09
5.375,2.09
5.383,2.09
5.383,2.09
5.394,2.09
5.395,2.09
5.404,2.09
5.409,2.09
5.413,2.09
5.416,2.09
5.424,2.09
5.425,2.09
5.433,2.09
5.433,2.09
5.443,2.09
5.449,2.09
5.454,2.09
5.458,2.09
5.464,1.66
5.466,1.61
5.474,1.61
5.475,1.6
5.483,1.61
5.486,1.61
5.494,1.61
5.495,2.09
5.504,1.61
5.509,1.61
5.513,1.61
5.516,1.61
5.524,1.6
5.525,1.61
5.533,2.07
5.535,1.61
5.544,1.61
5.545,1.61
5.554,1.61
5.559,1.61
5.563,1.61
5.566,2.07
5.574,2.09
5.575,2.09
5.583,2.09
5.583,2.09
5.594,2.09
5.595,2.09
5.604,2.09
5.608,2.09
5.614,2.09
5.616,2.09
5.624,2.09
5.626,2.09
5.633,2.09
5.636,2.09
5.644,2.09
5.645,2.09
5.654,2.09
5.659,2.09
5.663,2.09
5.666,2.09
5.674,2.09
5.675,2.09
5.683,2.09
5.686,2.09
5.693,2.09
5.695,1.6
5.703,1.59
5.708,1.6
5.714,1.6
5.716,1.6
5.724,1.6
5.726,1.6
5.733,2.09
5.736,2.09
5.744,2.09
5.746,2.09
5.753,2.09
5.758,2.09
5.764,2.09
5.767,2.09
5.774,2.09
5.777,2.09
5.783,2.09
5.789,2.09
5.792,2.09
5.798,2.09
5.800,2.09
5.809,2.09
5.810,2.09
5.818,2.09
5.820,2.09
5.829,2.09
5.833,2.09
5.839,2.09
5.841,2.09
5.848,2.09
5.849,2.04
5.859,2.09
5.860,2.09
5.868,2.09
5.870,2.09
5.879,2.09
5.883,2.09
5.888,2.09
5.891,2.09
5.899,2.09
5.899,2.09
5.909,2.09
5.910,2.09
5.916,2.09
5.920,2.09
5.929,1.62
5.933,1.63
5.933,1.63
5.944,1.63
5.949,1.63
5.953,2.06
