Elapsed Time (s),Value
0.000,2.08
0.000,2.09
0.018,1.61
0.026,1.61
0.028,1.61
0.032,1.61
0.038,1.61
0.043,2.0
0.048,2.08
0.051,2.09
0.058,2.08
0.063,2.08
0.068,1.97
0.073,2.08
0.078,2.09
0.084,2.09
0.088,2.09
0.093,2.09
0.098,2.09
0.101,2.09
0.108,2.09
0.111,2.09
0.118,2.09
0.123,2.09
0.128,2.09
0.131,2.09
0.138,2.09
0.142,2.09
0.148,2.09
0.150,2.09
0.157,2.08
0.160,2.09
0.168,2.09
0.173,2.08
0.178,2.09
0.182,2.09
0.187,2.09
0.193,2.09
0.196,2.08
0.203,2.09
0.208,2.09
0.208,2.09
0.218,2.09
0.223,2.09
0.224,2.09
0.233,2.09
0.237,2.08
0.240,2.08
0.248,1.6
0.251,1.61
0.257,1.61
0.257,1.61
0.257,1.6
0.273,1.61
0.273,2.08
0.282,1.61
0.288,1.61
0.290,1.6
0.298,1.61
0.302,1.6
0.306,1.61
0.312,1.6
0.317,1.61
0.322,1.6
0.323,1.61
0.332,1.98
0.336,1.61
0.339,2.08
0.348,2.09
0.353,2.09
0.357,2.08
0.363,2.09
0.366,2.09
0.373,2.09
0.373,2.08
0.373,2.09
0.387,2.09
0.390,2.09
0.398,2.09
0.399,2.09
0.406,2.08
0.412,2.09
0.416,2.08
0.423,2.09
0.423,2.09
0.433,2.09
0.435,2.09
0.439,2.08
0.447,2.09
0.452,2.09
0.456,2.09
0.463,2.09
0.465,2.09
0.473,2.08
0.473,2.09
0.482,2.09
0.484,2.09
0.493,2.04
0.498,2.09
0.503,2.09
0.506,2.08
0.506,2.09
0.517,2.09
0.523,2.08
0.523,2.09
0.533,2.06
0.534,2.09
0.543,2.08
0.547,2.08
0.553,2.09
0.556,2.08
0.562,2.09
0.566,2.09
0.573,2.09
0.573,2.09
0.583,2.09
0.585,2.09
0.589,2.09
0.597,2.09
0.598,2.09
0.606,2.08
0.606,2.06
0.606,2.09
0.623,2.08
0.623,2.09
0.645,2.08
0.645,2.08
0.645,2.08
0.648,2.08
0.649,2.09
0.662,2.09
0.673,2.08
0.673,2.08
0.690,2.08
0.690,2.08
0.690,2.08
0.690,2.09
0.690,2.07
0.690,2.08
0.690,2.09
0.706,2.08
0.723,2.08
0.778,2.07
0.778,2.08
0.778,2.08
0.778,2.08
0.778,2.08
0.778,2.08
0.778,2.08
0.778,2.09
0.778,2.08
0.778,2.08
0.778,2.08
0.791,2.09
0.791,2.08
0.791,2.08
0.791,2.09
0.791,2.08
0.791,2.08
0.791,2.09
0.807,2.07
0.807,2.09
0.807,2.09
0.822,2.08
0.839,2.08
0.839,2.08
0.839,2.08
0.839,2.08
0.839,2.08
0.839,2.08
0.856,2.08
0.856,2.09
0.867,2.09
0.873,2.08
0.874,2.09
0.882,2.09
0.885,2.09
0.889,2.09
0.889,2.09
0.889,2.09
0.906,2.08
0.906,2.09
0.917,2.09
0.922,2.08
0.927,2.08
0.930,2.09
0.937,2.01
0.940,1.61
0.948,1.6
0.950,1.61
0.957,1.61
0.957,1.61
0.967,1.61
0.973,2.08
0.977,1.6
0.982,1.6
0.987,1.61
0.989,1.6
0.998,1.61
1.001,1.61
1.007,2.08
1.010,1.61
1.017,1.6
1.019,1.6
1.027,1.58
1.032,1.6
1.037,1.59
1.039,2.07
1.047,2.08
1.050,2.08
1.056,2.08
1.059,2.09
1.067,2.09
1.072,2.08
1.077,2.08
1.083,2.09
1.087,2.08
1.090,2.08
1.097,2.08
1.102,2.08
1.106,2.08
1.110,2.08
1.110,2.08
1.122,2.08
1.123,2.08
1.123,2.08
1.123,2.08
1.143,2.08
1.144,2.09
1.151,2.08
1.156,2.08
1.162,2.08
1.166,1.63
1.172,1.61
1.175,1.62
1.175,1.62
1.187,1.62
1.189,2.09
1.197,2.08
1.201,2.09
1.206,2.08
1.206,2.08
1.217,2.08
1.222,2.08
1.223,2.08
1.232,2.08
1.237,2.09
1.239,2.09
1.247,2.09
1.251,2.09
1.256,2.08
1.256,2.08
1.256,2.08
1.271,2.08
1.273,2.08
1.282,2.09
1.285,2.08
1.293,2.08
1.295,2.08
1.295,2.08
1.306,2.08
1.306,2.08
1.317,2.08
1.322,2.08
1.327,2.08
1.331,2.08
1.333,2.08
1.339,2.09
1.339,2.08
1.352,2.08
1.358,2.08
1.362,2.08
1.367,2.08
1.371,2.09
1.377,2.08
1.381,2.08
1.381,2.08
1.392,2.08
1.393,1.61
1.393,2.05
1.407,2.08
1.407,2.08
1.417,2.09
1.422,2.08
1.423,2.08
1.431,2.08
1.437,2.07
1.439,2.08
1.447,2.08
1.452,2.09
1.456,2.08
1.462,2.08
1.467,2.09
1.472,2.09
1.476,2.08
1.482,2.08
1.487,2.09
1.491,2.0
1.497,2.09
1.502,2.08
1.507,2.08
1.512,2.08
1.516,2.08
1.522,2.09
1.527,2.08
1.532,2.08
1.537,2.08
1.540,2.03
1.544,2.08
1.551,2.08
1.556,2.08
1.556,2.08
1.567,2.08
1.572,2.08
1.576,2.08
1.582,2.09
1.587,2.08
1.592,2.08
1.597,2.08
1.602,2.08
1.607,2.06
1.611,1.72
1.616,2.09
1.621,2.08
1.626,2.08
1.626,1.62
1.637,1.62
1.639,1.62
1.646,2.09
1.651,2.08
1.656,2.08
