Elapsed Time (s),Value
0.000,2.09
0.000,2.09
0.010,2.09
0.012,2.09
0.020,2.03
0.025,2.09
0.030,2.09
0.034,2.09
0.041,2.09
0.043,2.08
0.050,2.09
0.055,2.09
0.060,2.09
0.065,2.09
0.071,2.09
0.076,2.09
0.081,2.09
0.083,2.09
0.091,1.23
0.093,1.78
0.100,2.08
0.105,2.09
0.110,2.09
0.113,2.09
0.120,2.08
0.125,2.08
0.129,2.09
0.136,2.09
0.140,2.08
0.145,2.09
0.150,2.09
0.156,2.09
0.160,2.02
0.166,2.09
0.170,2.09
0.176,2.08
0.181,2.09
0.186,2.09
0.191,2.08
0.195,2.09
0.200,2.09
0.205,2.08
0.210,2.08
0.213,2.09
0.220,2.09
0.225,2.09
0.231,2.07
0.235,2.09
0.240,2.08
0.246,2.09
0.249,2.09
0.256,2.09
0.260,2.03
0.264,2.09
0.270,2.08
0.275,2.09
0.280,2.09
0.285,2.09
0.290,2.09
0.295,2.09
0.300,2.09
0.305,2.09
0.310,2.09
0.315,2.09
0.317,2.05
0.325,2.09
0.330,2.09
0.332,2.09
0.340,2.09
0.345,2.09
0.350,2.09
0.355,2.08
0.360,2.07
0.365,2.05
0.370,2.08
0.375,2.09
0.380,2.09
0.385,2.09
0.390,2.09
0.395,2.09
0.400,2.09
0.404,2.09
0.410,2.09
0.415,2.09
0.420,2.09
0.425,2.09
0.430,2.09
0.430,2.09
0.440,2.09
0.441,2.09
0.450,2.09
0.454,2.09
0.460,2.09
0.462,2.09
0.470,2.09
0.472,2.09
0.480,2.09
0.481,2.09
0.489,2.06
0.492,2.09
0.500,2.09
0.504,2.09
0.510,2.09
0.512,2.09
0.520,2.09
0.525,2.09
0.530,2.09
0.532,2.09
0.540,2.09
0.542,2.09
0.550,1.23
0.555,1.23
0.560,2.09
0.563,2.09
0.570,2.09
0.574,2.08
0.580,2.09
0.583,2.09
0.590,2.09
0.590,2.09
0.590,2.09
0.604,2.09
0.609,2.09
0.609,2.09
0.609,2.06
0.625,2.09
0.630,2.09
0.635,2.09
0.639,2.09
0.641,2.09
0.641,2.09
0.654,2.09
0.660,2.09
0.663,2.09
0.670,2.09
0.671,2.09
0.679,2.08
0.684,2.09
0.688,2.09
0.688,2.09
0.699,2.09
0.705,2.09
0.705,2.09
0.714,2.09
0.720,2.09
0.721,2.09
0.729,2.09
0.732,2.09
0.738,2.08
0.738,2.09
0.749,1.99
0.755,2.09
0.755,2.06
0.764,2.09
0.769,2.09
0.771,2.09
0.779,1.23
0.785,2.02
0.790,2.09
0.792,2.09
0.799,2.09
0.804,2.09
0.809,2.09
0.814,2.09
0.820,2.09
0.821,2.09
0.829,2.09
0.831,2.09
0.837,2.09
0.844,2.09
0.848,2.09
0.854,2.09
0.856,2.09
0.864,2.09
0.866,2.09
0.874,2.09
0.879,2.07
0.885,2.03
0.887,2.09
0.894,2.09
0.897,2.09
0.904,2.09
0.904,2.09
0.914,2.09
0.916,2.09
0.924,2.09
0.928,2.09
0.934,2.09
0.938,2.09
0.944,2.09
0.946,2.09
0.955,2.09
0.960,2.09
0.963,2.09
0.969,2.09
0.971,2.09
0.979,2.09
0.982,2.09
0.990,2.06
0.991,2.09
0.991,2.09
1.005,2.08
1.007,2.08
1.014,2.09
1.017,2.09
1.021,2.09
1.029,2.09
1.033,2.09
1.037,2.09
1.044,2.09
1.048,2.09
1.054,2.09
1.054,2.09
1.064,2.09
1.067,2.09
1.074,2.09
1.079,2.09
1.084,2.09
1.087,2.09
1.094,2.09
1.097,2.08
1.104,2.08
1.109,2.09
1.114,2.03
1.115,2.09
1.123,2.09
1.128,2.09
1.133,2.09
1.137,2.09
1.144,2.09
1.149,2.09
1.159,2.08
1.163,2.08
1.164,2.08
1.168,2.09
1.170,2.09
1.179,2.08
1.183,2.09
1.189,2.09
1.191,2.03
1.199,2.09
1.204,2.08
1.209,2.09
1.213,2.09
1.219,2.08
1.220,2.08
1.228,2.09
