Elapsed Time (s),Value
0.000,9.0
0.003,2.09
0.009,2.09
0.013,2.08
0.017,2.08
0.023,2.09
0.028,2.08
0.034,2.09
0.038,2.08
0.043,2.08
0.049,2.09
0.053,2.09
0.059,2.07
0.063,2.09
0.069,2.09
0.074,2.09
0.079,1.23
0.083,1.23
0.088,2.0
0.094,2.08
0.098,2.09
0.103,2.09
0.109,2.08
0.113,2.09
0.118,2.09
0.123,2.08
0.128,2.09
0.131,2.08
0.138,2.08
0.143,2.09
0.145,2.09
0.153,2.09
0.157,2.09
0.163,2.03
0.165,2.09
0.173,2.09
0.175,2.09
0.183,2.09
0.188,2.09
0.193,2.09
0.196,2.09
0.196,2.09
0.209,2.08
0.212,2.09
0.218,2.09
0.223,2.08
0.229,2.09
0.230,2.09
0.238,2.08
0.243,2.09
0.245,2.09
0.253,2.09
0.257,2.09
0.263,2.09
0.265,2.02
0.272,2.08
0.275,2.09
0.283,2.09
0.288,2.08
0.293,2.09
0.296,2.09
0.303,2.07
0.306,2.09
0.313,2.09
0.315,2.09
0.323,2.09
0.325,2.09
0.333,2.09
0.335,2.08
0.343,2.09
0.346,2.09
0.353,2.09
0.356,2.08
0.363,2.09
0.365,2.09
0.372,2.08
0.375,2.09
0.383,2.07
0.388,2.09
0.393,2.09
0.396,2.09
0.396,2.09
0.408,2.08
0.411,2.09
0.418,2.09
0.422,2.08
0.428,2.09
0.430,2.09
0.438,2.08
0.440,2.08
0.448,2.09
0.450,2.09
0.458,2.09
0.461,2.07
0.468,2.09
0.473,2.03
0.478,2.09
0.483,2.09
0.485,2.08
0.493,2.09
0.496,2.09
0.503,2.09
0.506,2.09
0.513,2.09
0.515,2.09
0.523,2.08
0.524,2.09
0.533,2.09
0.538,1.22
0.543,1.22
0.546,1.22
0.552,1.22
0.557,1.22
0.562,1.22
0.565,1.22
0.572,1.46
0.576,1.22
0.583,1.22
0.586,1.22
0.593,1.22
0.597,1.22
0.601,1.22
0.608,2.09
0.608,1.22
0.608,1.22
0.623,1.22
0.646,1.22
0.647,1.22
0.647,1.22
0.648,2.09
0.648,2.08
0.652,2.09
0.662,2.09
0.688,2.09
0.688,2.09
0.688,2.08
0.688,2.08
0.688,2.09
0.688,2.08
0.688,2.08
0.688,2.09
0.705,2.09
0.705,2.09
0.705,2.09
0.705,2.08
0.721,2.09
0.721,2.09
0.721,2.08
0.737,2.08
0.738,2.09
0.738,2.09
0.755,2.08
0.755,2.08
0.755,2.08
0.767,1.22
0.771,1.22
0.777,1.36
0.780,2.09
0.788,2.09
0.793,2.08
0.797,2.09
0.799,2.09
0.804,2.09
0.809,2.09
0.817,2.09
0.821,2.08
0.827,2.09
0.831,2.09
0.837,2.09
0.838,2.09
0.847,2.09
0.850,2.09
0.857,2.09
0.860,2.09
0.867,2.09
0.872,2.09
0.877,2.09
0.881,2.09
0.887,2.09
0.888,2.09
0.897,2.09
0.899,2.09
0.907,2.08
