Elapsed Time (s),Value
0.000,1.6
0.000,1.6
0.017,1.59
0.022,1.6
0.022,1.59
0.032,2.07
0.034,2.08
0.042,2.08
0.046,2.08
0.051,2.08
0.051,2.08
0.062,2.08
0.067,2.06
0.068,2.08
0.077,2.08
0.080,2.09
0.084,2.08
0.084,2.08
0.097,2.08
0.101,2.08
0.107,2.08
0.112,2.07
0.116,2.08
0.121,2.08
0.126,2.08
0.131,2.08
0.134,2.08
0.141,2.08
0.143,2.08
0.151,2.08
0.151,1.83
0.151,1.62
0.167,1.62
0.168,1.61
0.176,1.62
0.179,1.62
0.187,1.62
0.189,1.63
0.196,2.02
0.201,2.08
0.207,2.08
0.210,2.08
0.216,2.08
0.218,2.08
0.226,2.09
0.230,2.08
0.236,2.08
0.236,2.08
0.246,2.08
0.251,2.08
0.256,2.09
0.260,2.09
0.267,2.08
0.272,2.08
0.276,2.02
0.279,2.09
0.287,2.09
0.292,2.09
0.295,2.09
0.301,2.09
0.304,2.09
0.311,2.09
0.317,2.09
0.322,2.09
0.325,2.09
0.331,2.09
0.335,2.08
0.341,2.09
0.344,2.09
0.351,2.06
0.353,2.08
0.361,2.09
0.367,2.09
0.371,2.08
0.376,2.09
0.382,2.09
0.384,1.56
0.391,2.08
0.396,2.09
0.401,2.08
0.401,2.08
0.411,2.09
0.414,2.09
0.417,2.09
0.417,2.09
0.431,2.09
0.435,2.06
0.435,2.08
0.446,2.09
0.451,2.08
0.451,2.08
0.451,2.09
0.467,2.08
0.468,2.08
0.476,2.09
0.479,2.09
0.485,1.98
0.491,2.08
0.496,2.09
0.501,2.08
0.501,2.08
0.511,2.09
0.513,2.09
0.518,2.08
0.526,2.09
0.529,2.09
0.535,2.08
0.535,2.08
0.535,2.09
0.551,2.08
0.551,2.08
0.561,2.09
0.563,2.09
0.568,2.08
0.576,2.09
0.581,1.96
0.585,2.08
0.585,2.09
0.596,2.09
0.601,2.08
0.601,2.09
0.601,2.09
0.601,2.08
0.617,1.61
0.617,1.6
0.617,1.6
0.635,1.59
0.641,1.6
0.644,1.64
0.650,2.08
0.656,2.08
0.661,2.08
0.666,2.09
0.668,2.08
0.676,2.08
0.680,2.08
0.685,2.08
0.685,2.08
0.696,2.08
0.700,2.08
0.701,2.08
0.711,2.09
0.716,2.09
0.718,2.08
0.726,2.09
0.730,2.08
0.735,2.08
0.735,2.08
0.735,2.08
0.750,2.08
0.751,2.08
0.760,2.09
0.764,2.08
0.771,2.08
0.776,2.08
0.780,2.08
0.785,2.08
0.788,2.08
0.795,2.08
0.800,2.08
0.806,2.08
0.810,2.08
0.810,2.08
0.817,2.08
0.825,2.08
0.831,2.08
0.836,2.08
0.840,2.08
0.842,2.08
0.851,1.61
0.853,1.61
0.860,1.6
0.863,1.61
0.870,1.61
0.873,1.61
0.880,2.04
0.884,1.6
0.890,1.61
0.894,1.61
0.901,1.61
0.901,1.62
0.911,1.61
0.913,1.62
0.920,2.09
0.925,1.61
0.930,1.6
0.936,1.62
0.940,1.61
0.946,1.61
0.950,1.62
0.956,2.08
0.961,2.09
0.965,2.09
0.971,2.08
0.975,2.09
0.981,2.09
0.985,2.08
0.991,2.09
0.991,2.09
1.001,2.08
1.006,2.08
1.011,2.09
1.015,2.02
1.020,2.09
1.026,2.09
1.030,2.08
1.034,2.08
1.040,2.09
1.045,2.09
1.050,2.09
1.055,2.09
1.060,2.09
1.065,2.08
1.070,2.08
1.075,2.09
1.080,1.6
1.085,1.6
1.090,1.59
1.093,1.6
1.100,1.58
1.105,1.6
1.110,1.62
1.115,1.93
1.117,2.08
1.117,2.09
1.130,2.09
1.134,2.08
1.140,2.09
1.145,2.08
1.150,2.09
1.151,2.08
1.151,2.08
1.151,2.08
1.167,2.09
1.167,2.08
1.184,2.08
1.184,2.08
1.184,2.08
1.184,2.08
1.200,2.08
1.201,2.08
1.201,2.08
1.201,2.08
1.217,2.08
1.217,2.08
1.217,2.08
1.234,2.08
1.234,2.08
1.251,2.08
1.251,2.08
1.251,2.08
1.251,2.08
1.251,2.08
1.267,2.08
1.267,2.08
1.267,2.08
1.284,2.06
1.284,2.08
1.284,2.08
1.300,2.08
1.301,2.08
1.301,2.03
1.314,1.63
1.319,1.62
1.325,1.61
1.328,1.63
1.334,1.63
1.340,1.63
1.344,2.08
1.350,1.62
1.351,1.63
1.360,1.62
1.361,1.62
1.371,1.61
1.374,1.63
1.377,2.08
1.384,1.62
1.386,1.63
1.395,1.62
1.400,1.63
1.404,1.62
1.408,1.63
1.415,2.06
1.418,2.08
1.425,2.08
1.429,2.08
