Elapsed Time (s),Value
0.000,0.34
0.000,1.34
0.000,1.34
0.016,1.34
0.020,2.08
0.025,1.34
0.028,1.34
0.036,1.34
0.041,1.34
0.045,1.34
0.048,1.34
0.056,1.35
0.057,2.08
0.066,2.09
0.070,2.08
0.075,2.08
0.078,2.08
0.086,2.09
0.089,2.08
0.089,2.08
0.101,2.08
0.105,2.08
0.110,2.09
0.113,2.08
0.121,2.08
0.122,2.09
0.130,2.09
0.133,2.09
0.140,2.09
0.144,2.09
0.150,2.09
0.155,2.08
0.160,2.09
0.163,2.09
0.170,2.08
0.175,2.08
0.180,2.09
0.185,1.35
0.191,1.35
0.195,1.35
0.200,1.35
0.205,1.35
0.210,1.35
0.213,2.09
0.220,2.08
0.222,2.09
0.230,2.09
0.232,2.09
0.240,2.09
0.243,2.08
0.250,2.08
0.255,2.08
0.260,2.09
0.262,2.09
0.270,2.08
0.272,2.08
0.280,2.09
0.285,2.09
0.290,2.08
0.295,2.08
0.300,2.07
0.305,2.08
0.310,2.08
0.315,2.09
0.321,2.08
0.326,2.08
0.330,2.08
0.333,2.08
0.340,2.08
0.345,2.08
0.350,2.09
0.355,2.08
0.360,2.08
0.365,2.09
0.370,2.08
0.375,2.08
0.380,2.08
0.385,2.09
0.390,2.08
0.395,2.09
0.400,2.08
0.405,2.08
0.410,2.08
0.415,1.33
0.421,1.33
0.426,1.33
0.430,1.33
0.435,1.33
0.440,1.33
0.445,1.63
0.449,1.33
0.455,1.33
0.456,1.33
0.464,1.33
0.471,1.33
0.475,1.33
0.479,1.33
0.485,1.45
0.490,1.33
0.495,1.33
0.499,1.33
0.504,1.33
0.510,1.33
0.513,2.08
0.520,2.08
0.523,2.08
0.523,2.09
0.535,2.09
0.539,2.08
0.544,2.09
0.547,2.09
0.554,2.08
0.557,2.09
0.564,2.09
0.570,2.08
0.575,2.08
0.578,2.09
0.585,2.09
0.589,2.08
0.594,2.08
0.595,2.08
0.604,2.08
0.609,2.08
0.613,2.08
0.620,2.08
0.624,2.08
0.629,2.08
0.634,2.08
0.640,2.08
0.645,1.36
0.647,1.34
0.654,1.34
0.657,1.34
0.665,1.34
0.670,1.34
0.670,1.34
0.680,2.09
0.682,2.08
0.686,2.08
0.686,2.09
0.699,2.09
0.703,2.08
0.710,2.09
0.714,2.09
0.720,2.06
0.720,2.08
0.730,2.09
0.730,2.09
0.737,2.08
0.737,2.09
0.737,2.08
0.753,2.08
0.770,2.08
0.770,2.08
0.770,2.08
0.770,2.08
0.770,2.08
0.770,2.08
0.786,2.08
0.786,2.08
0.786,2.08
0.803,2.07
0.803,2.08
0.803,2.08
0.820,2.08
0.820,2.08
0.820,2.07
0.820,2.08
0.836,2.08
0.836,2.08
0.836,2.08
0.853,2.08
0.853,2.08
0.853,2.08
0.870,2.08
0.874,2.08
0.879,1.34
0.884,1.34
0.886,1.35
0.894,1.34
0.895,1.34
0.904,1.34
0.906,2.07
0.914,1.35
0.919,1.34
0.924,1.35
0.927,1.34
0.934,1.34
0.936,2.0
0.943,2.09
0.946,1.34
0.954,1.34
0.956,1.35
0.964,1.59
0.967,1.34
0.974,1.34
0.977,1.34
0.984,2.09
0.987,2.08
0.994,2.06
0.996,2.09
1.003,2.08
1.003,2.09
1.014,2.09
1.019,2.09
1.024,2.09
1.027,2.09
1.034,2.09
1.036,2.09
1.044,2.09
1.046,2.09
1.054,2.08
1.057,2.09
1.064,2.09
1.066,2.08
1.074,2.09
1.078,2.08
1.084,2.09
1.086,2.08
1.094,2.09
1.096,2.09
1.104,1.35
1.106,2.08
1.114,2.08
1.119,2.08
1.125,2.08
1.128,2.08
1.134,2.08
1.136,2.08
1.143,2.08
1.145,2.08
1.153,2.08
1.156,2.08
1.163,2.08
1.169,2.08
1.174,2.08
1.178,2.08
1.183,2.08
1.186,2.08
1.193,2.08
1.196,2.08
1.203,2.08
1.206,2.08
1.206,2.08
1.219,2.08
1.219,2.08
1.219,2.08
1.234,2.08
1.236,2.08
1.243,2.08
1.246,2.08
1.253,2.08
1.258,2.08
1.262,2.08
1.268,2.08
1.269,2.08
1.269,2.08
1.283,2.08
1.286,2.08
1.294,2.09
1.296,2.09
1.304,2.08
1.304,2.09
1.304,2.09
1.318,2.09
1.319,2.08
1.319,2.09
1.334,2.09
1.336,1.35
1.343,1.35
1.345,1.35
1.353,1.35
1.353,1.35
1.363,1.35
1.369,2.09
1.374,2.08
1.377,2.09
1.383,2.09
1.386,2.08
1.393,2.09
1.396,2.09
1.403,2.08
1.403,2.09
1.403,2.08
1.418,2.09
1.420,2.08
1.428,2.08
1.433,2.09
1.436,2.08
1.436,2.08
1.448,2.09
1.453,2.08
1.458,2.08
1.462,2.08
1.468,2.08
1.469,2.08
1.478,2.09
1.480,2.09
1.488,2.08
1.490,2.09
1.498,2.09
1.503,2.08
1.508,2.09
1.510,2.09
1.518,2.09
1.519,2.09
1.528,2.09
1.529,2.09
1.538,2.08
1.540,2.09
1.548,2.09
1.553,2.04
1.558,2.09
1.561,2.09
1.568,1.33
1.570,1.33
1.578,1.33
1.580,1.33
1.588,1.33
1.591,1.33
1.598,1.33
1.603,1.37
1.608,1.33
1.610,1.33
1.618,1.33
1.619,1.33
1.619,1.33
1.633,1.33
1.636,2.08
1.636,1.33
1.648,1.33
1.653,1.33
1.658,1.33
1.660,1.33
1.667,1.33
1.670,2.08
1.678,2.08
1.682,2.08
1.687,2.08
1.687,2.08
1.698,2.08
1.701,2.08
1.708,2.08
1.713,2.09
1.718,2.09
1.720,2.08
1.727,2.08
1.732,2.09
1.738,2.08
1.743,2.09
1.748,2.09
1.752,2.08
1.753,2.08
1.753,2.09
1.768,2.09
1.769,2.08
1.778,2.09
1.780,2.09
1.786,2.08
1.793,2.09
1.796,1.37
1.803,1.34
1.803,1.34
1.803,1.34
1.818,1.34
1.820,1.34
1.820,1.81
1.833,2.09
1.836,2.08
1.842,2.09
1.845,2.09
1.853,2.08
1.853,2.09
1.862,2.09
1.865,2.06
1.873,2.08
1.877,2.08
1.883,2.09
1.886,2.08
1.892,2.08
1.895,2.09
1.902,2.08
1.903,2.08
1.912,2.09
1.915,2.09
1.923,2.08
1.928,2.09
1.933,2.09
1.937,2.08
1.942,2.08
1.945,2.08
1.952,2.08
1.953,2.09
1.962,2.09
1.965,2.09
1.972,2.09
1.976,2.08
1.982,2.09
1.986,2.08
1.992,2.09
1.995,2.09
2.003,2.08
2.008,2.08
2.012,2.08
2.014,2.09
2.022,2.09
2.024,2.09
2.024,1.34
2.036,1.34
2.042,1.35
2.045,1.34
2.053,1.34
2.053,1.34
2.062,2.08
2.064,1.34
2.072,1.34
2.074,1.34
2.082,1.34
2.087,1.34
2.092,1.34
2.097,2.07
2.102,1.34
2.107,1.34
2.110,1.34
2.117,1.34
2.120,1.35
2.127,1.34
2.129,1.34
2.137,2.08
2.139,2.09
2.147,2.09
2.152,2.08
2.157,2.08
2.160,2.09
2.167,2.09
2.170,2.08
2.177,2.09
2.180,2.09
2.187,2.05
2.192,2.09
2.196,2.08
2.202,2.09
2.203,2.08
2.212,2.09
2.214,2.09
2.222,2.08
2.225,2.09
2.232,2.09
2.236,2.08
2.242,2.09
2.244,2.09
2.252,2.09
2.253,2.09
2.262,1.34
2.264,1.34
