Elapsed Time (s),Value
0.000,2.09
0.000,2.09
0.000,2.09
0.016,2.09
0.021,2.08
0.026,2.09
0.027,2.09
0.036,2.08
0.041,2.08
0.045,2.09
0.049,2.09
0.056,2.08
0.058,2.08
0.065,2.08
0.071,2.06
0.076,2.07
0.078,2.08
0.086,2.08
0.090,2.08
0.090,2.09
0.101,2.09
0.105,2.08
0.111,1.23
0.112,1.23
0.121,1.23
0.123,1.23
0.130,1.23
0.136,1.23
0.141,1.26
0.144,2.09
0.151,2.09
0.155,2.06
0.161,2.08
0.162,2.09
0.171,2.08
0.173,2.09
0.181,2.01
0.186,2.08
0.191,2.09
0.194,2.08
0.194,2.09
0.205,2.08
0.210,2.08
0.216,2.09
0.221,2.08
0.226,2.09
0.231,2.09
0.236,2.07
0.241,2.08
0.243,2.09
0.251,2.09
0.255,2.08
0.261,2.01
0.263,2.09
0.271,2.08
0.273,2.09
0.280,2.08
0.286,2.08
0.291,2.09
0.293,2.09
0.301,2.09
0.304,2.08
0.311,2.09
0.313,2.08
0.320,2.08
0.323,2.09
0.331,2.09
0.336,2.09
0.341,2.0
0.345,1.22
0.351,1.22
0.355,1.22
0.361,1.22
0.362,1.22
0.370,1.23
0.375,2.09
0.377,2.09
0.385,2.09
0.388,2.09
0.396,2.09
0.398,2.09
0.406,2.08
0.408,2.09
0.416,2.09
0.420,2.08
0.426,2.09
0.427,2.09
0.435,2.09
0.440,2.08
0.446,2.08
0.448,2.09
0.455,2.08
0.457,2.09
0.466,2.09
0.470,2.08
0.475,2.09
0.478,2.09
0.485,2.09
0.488,2.09
0.496,2.09
0.498,2.09
0.505,2.08
0.507,2.09
0.515,2.09
0.520,2.08
0.526,2.09
0.527,2.09
0.535,2.09
0.538,2.09
0.546,2.09
0.547,2.09
0.555,2.08
0.558,2.09
0.565,2.09
0.570,2.08
0.575,1.22
0.578,1.21
0.585,1.22
0.588,1.22
0.595,1.22
0.599,1.22
0.605,2.08
0.610,1.22
0.611,1.22
0.620,1.22
0.625,1.22
0.630,1.22
0.635,1.22
0.640,2.08
0.640,1.22
0.640,1.22
0.653,1.22
0.653,1.22
0.669,1.22
0.686,1.22
0.686,1.22
0.686,2.08
0.686,2.08
0.686,2.08
0.686,2.08
0.686,2.08
0.703,2.08
0.703,2.08
0.703,2.08
0.719,2.08
0.719,2.08
0.719,2.08
0.735,2.08
0.736,2.08
0.736,2.08
0.736,2.08
0.753,2.08
0.753,2.08
0.753,2.08
0.769,2.08
0.769,2.08
0.769,2.08
0.785,2.08
0.786,2.08
0.786,2.08
0.800,1.98
0.802,1.22
0.810,1.23
0.811,1.23
0.819,1.23
0.822,1.23
0.830,1.23
0.832,2.09
0.836,2.08
0.844,2.09
0.849,2.09
0.853,2.08
0.853,2.09
0.865,2.09
0.869,2.08
0.875,2.09
0.877,2.09
0.884,2.09
0.886,2.09
0.895,2.09
0.896,2.09
0.905,2.08
0.907,2.09
0.915,2.09
0.919,2.08
0.925,2.09
0.927,2.09
0.934,2.09
0.936,2.09
0.945,2.09
0.946,2.09
0.954,2.08
0.956,2.09
0.964,2.09
0.970,2.08
0.975,2.09
0.978,2.09
0.984,2.09
0.986,2.09
0.995,2.09
0.996,2.09
1.004,2.08
1.007,2.08
1.014,2.09
1.019,2.08
1.024,2.09
1.027,2.09
1.034,1.21
1.036,1.21
1.044,1.22
1.046,1.22
1.055,1.22
1.057,1.22
1.065,1.22
1.069,1.23
1.075,1.22
1.077,1.22
1.084,1.22
1.086,1.22
1.094,1.22
1.097,1.22
1.104,2.08
1.107,1.22
1.114,1.22
1.119,1.22
1.124,1.22
1.127,1.22
1.134,2.03
1.136,2.09
1.144,2.09
1.146,2.09
1.153,2.08
1.153,2.08
1.164,2.09
1.169,2.08
1.172,2.09
1.179,2.09
1.181,2.09
1.188,2.08
1.193,2.08
1.199,2.09
1.203,2.08
1.209,2.09
1.212,2.09
1.219,2.08
1.221,2.09
1.229,2.09
