Elapsed Time (s),Value
0.000,2.09
0.016,2.09
0.021,2.08
0.026,2.09
0.031,2.09
0.037,2.09
0.037,2.09
0.046,2.09
0.050,2.09
0.052,2.09
0.061,2.09
0.063,2.09
0.071,2.04
0.076,2.09
0.081,2.07
0.086,2.08
0.091,2.09
0.096,2.09
0.101,2.09
0.103,2.08
0.103,2.09
0.116,2.09
0.119,2.08
0.125,2.09
0.128,2.09
0.137,2.08
0.138,2.09
0.146,2.09
0.151,2.09
0.156,2.09
0.160,2.06
0.165,2.09
0.169,2.09
0.176,2.09
0.178,2.09
0.186,2.08
0.186,2.09
0.196,2.09
0.201,2.09
0.206,2.09
0.209,2.09
0.216,2.09
0.219,1.26
0.225,1.26
0.227,1.26
0.236,1.27
0.237,1.26
0.245,1.74
0.251,2.09
0.256,1.26
0.261,1.26
0.266,1.26
0.269,1.26
0.276,1.26
0.278,1.27
0.285,1.26
0.285,1.26
0.296,1.26
0.298,1.26
0.306,1.27
0.310,1.26
0.316,1.26
0.319,1.49
0.326,2.09
0.328,2.09
0.336,2.08
0.341,2.09
0.344,2.09
0.351,2.09
0.353,2.09
0.353,2.09
0.366,2.09
0.369,2.09
0.376,2.09
0.379,2.09
0.386,2.06
0.386,2.09
0.396,2.09
0.397,2.09
0.406,2.09
0.409,2.09
0.415,2.09
0.419,2.08
0.426,2.09
0.428,2.09
0.436,2.08
0.439,2.09
0.446,2.09
0.448,1.25
0.456,1.25
0.459,1.26
0.466,1.25
0.469,1.25
0.476,1.25
0.477,2.09
0.486,2.08
0.488,2.03
0.496,2.09
0.498,2.09
0.505,2.09
0.510,2.09
0.515,2.09
0.519,2.08
0.526,2.09
0.528,2.09
0.535,2.08
0.538,2.09
0.545,2.09
0.548,2.09
0.555,2.09
0.560,2.08
0.566,2.09
0.568,2.08
0.575,2.09
0.577,2.09
0.585,2.08
0.591,2.05
0.595,2.08
0.600,2.08
0.605,2.09
0.611,2.08
0.615,2.09
0.621,2.08
0.626,2.09
0.630,2.09
0.636,2.08
0.640,2.08
0.645,2.09
0.647,2.08
0.655,2.09
0.660,2.09
0.665,2.08
0.669,2.08
0.675,2.09
0.680,1.25
0.687,1.25
0.688,1.25
0.695,1.25
0.699,1.25
0.704,1.25
0.710,1.26
0.715,1.25
0.719,1.25
0.725,1.25
0.730,1.26
0.737,1.25
0.740,1.25
0.745,1.25
0.750,1.25
0.753,1.25
0.760,1.25
0.764,1.25
0.769,1.25
0.773,1.26
0.773,1.25
0.785,2.08
0.786,2.08
0.795,2.06
0.798,2.09
0.802,2.09
0.802,2.09
0.815,2.09
0.819,2.08
0.819,2.09
0.830,2.09
0.835,2.08
0.835,2.08
0.845,2.09
0.848,2.09
0.852,2.08
0.857,2.09
0.865,2.09
0.868,2.08
0.874,2.09
0.880,2.09
0.886,2.08
0.886,2.09
0.895,2.06
0.896,2.09
0.902,2.08
0.907,1.25
0.915,1.25
0.918,1.25
0.925,1.26
0.927,1.26
0.935,1.25
0.936,1.25
0.944,2.04
0.947,2.09
0.955,2.09
0.957,2.09
0.965,2.09
0.969,2.09
0.975,2.09
0.977,2.09
0.985,2.09
0.985,2.09
1.002,2.08
1.002,2.09
1.018,2.08
1.018,2.09
1.018,2.09
1.018,2.08
1.018,2.08
1.018,2.09
1.034,2.08
1.035,2.09
1.035,2.08
1.035,2.09
1.052,2.08
1.068,2.09
1.068,2.08
1.068,2.08
1.068,2.08
1.068,2.08
1.084,2.08
1.085,2.08
1.085,2.09
1.085,2.09
1.102,2.08
1.102,2.09
1.102,2.08
1.119,2.08
1.123,2.09
1.130,2.09
1.134,2.09
1.139,1.24
1.142,1.24
1.150,1.24
1.152,1.28
1.159,2.08
1.164,2.09
1.169,2.08
1.171,2.09
1.179,2.09
1.184,2.09
1.189,2.09
1.193,2.09
1.199,2.09
1.202,2.09
1.210,2.09
1.212,2.09
1.219,2.08
1.222,2.09
1.229,2.09
1.232,2.09
1.239,2.08
