Elapsed Time (s),Value
0.000,1.32
0.001,1.32
0.001,1.32
0.002,1.32
0.002,2.09
0.003,2.09
0.003,2.09
0.004,2.09
0.004,2.09
0.005,2.09
0.005,2.09
0.006,2.09
0.006,2.09
0.007,2.09
0.007,2.09
0.007,2.09
0.008,2.09
0.011,2.09
0.016,1.47
0.022,2.09
0.026,2.06
0.032,2.09
0.036,2.09
0.042,2.09
0.044,2.09
0.052,2.09
0.056,2.09
0.061,2.09
0.066,2.08
0.071,2.09
0.076,2.09
0.081,2.09
0.086,2.09
0.090,2.09
0.097,2.09
0.100,2.09
0.106,2.09
0.109,2.09
0.116,2.09
0.119,2.09
0.126,2.09
0.131,2.09
0.136,2.09
0.142,2.09
0.147,1.46
0.151,1.31
0.156,1.31
0.160,1.31
0.167,1.31
0.169,1.31
0.176,1.51
0.181,2.09
0.186,1.32
0.189,1.31
0.197,1.31
0.199,1.31
0.206,1.31
0.209,1.31
0.216,2.09
0.219,1.32
0.226,1.31
0.231,1.31
0.236,1.31
0.238,1.31
0.247,1.31
0.252,2.03
0.254,2.09
0.261,2.09
0.266,2.09
0.271,2.09
0.276,2.09
0.281,2.09
0.286,2.09
0.288,2.09
0.296,2.09
0.299,2.09
0.305,2.09
0.309,2.09
0.316,2.09
0.321,2.09
0.325,2.09
0.331,2.09
0.333,2.09
0.341,2.09
0.343,2.09
0.352,2.09
0.355,2.09
0.356,2.09
0.366,2.08
0.369,2.09
0.375,2.09
0.381,1.31
0.386,1.31
0.391,1.32
0.396,1.31
0.402,1.31
0.406,1.31
0.411,2.09
0.416,2.09
0.420,2.09
0.425,2.09
0.430,2.09
0.436,2.09
0.438,2.09
0.446,2.07
0.451,2.09
0.456,2.09
0.461,2.09
0.466,2.09
0.506,2.08
0.537,2.08
0.537,2.09
0.540,2.09
0.541,2.09
0.543,2.09
0.556,2.09
0.558,2.09
0.562,2.09
0.566,2.08
0.569,2.09
0.570,2.09
0.570,2.09
0.570,2.08
0.571,2.09
0.571,2.07
0.571,2.08
0.571,2.08
0.572,2.09
0.572,2.08
0.572,2.09
0.576,2.09
0.581,2.09
0.586,2.09
0.591,2.09
0.595,2.09
0.601,2.09
0.612,2.08
0.612,1.31
0.616,1.31
0.621,1.31
0.625,1.31
0.631,1.31
0.635,1.31
0.640,2.05
0.642,1.31
0.652,1.32
0.655,1.31
0.655,1.32
0.666,1.31
0.670,1.32
0.675,2.08
0.680,1.31
0.685,1.31
0.690,2.04
0.696,2.09
0.701,2.09
0.706,2.08
0.710,2.09
0.715,2.09
0.720,2.08
0.724,2.09
0.724,2.09
0.735,2.09
0.741,2.09
0.744,2.09
0.750,2.09
0.756,2.09
0.760,2.06
0.766,2.09
0.770,2.09
0.776,2.09
0.781,2.09
0.785,2.09
0.789,2.09
0.795,2.09
0.800,2.09
0.805,2.09
0.810,2.09
0.815,2.09
0.820,2.09
0.825,2.09
0.831,2.09
0.835,2.09
0.840,1.31
0.845,1.3
0.850,1.31
0.855,1.31
0.858,1.31
0.865,1.31
0.867,2.07
0.876,2.09
0.881,2.09
0.885,2.09
0.890,2.09
0.893,2.09
0.900,2.09
0.902,2.09
0.910,2.09
0.915,2.09
0.920,2.06
0.923,2.09
0.931,2.09
0.934,2.09
0.940,2.09
0.943,2.09
0.951,2.09
0.955,2.09
0.960,2.09
0.965,2.09
0.970,2.09
0.975,2.09
0.980,2.09
0.985,2.09
0.989,2.09
0.995,2.09
1.000,2.09
1.005,2.09
1.010,2.09
1.015,2.09
1.020,2.09
1.025,2.09
1.030,2.09
1.035,2.09
1.038,2.09
1.045,2.09
1.050,2.09
1.055,2.09
1.058,2.09
1.064,2.09
1.066,1.32
1.075,1.31
1.077,1.32
1.085,1.31
1.088,1.32
1.095,1.32
1.100,1.32
1.105,1.54
1.110,1.32
1.115,1.32
1.120,1.32
1.122,1.32
1.130,1.32
1.134,1.32
1.140,2.09
1.145,1.31
1.150,1.32
1.155,1.32
1.160,1.32
1.165,1.32
1.170,1.67
1.174,2.03
1.178,2.09
1.185,2.09
1.189,2.09
1.193,2.09
1.200,2.09
1.205,2.08
1.210,2.09
1.215,2.09
1.219,2.09
1.225,2.09
1.231,2.09
1.235,2.09
1.240,2.09
1.244,2.09
1.249,2.09
1.255,2.09
1.258,2.09
1.264,2.09
1.268,2.09
1.274,2.09
1.280,2.09
1.285,2.05
1.290,2.09
1.294,2.09
1.299,2.09
1.304,1.32
1.306,1.31
1.314,1.31
1.317,1.31
1.324,1.31
1.327,1.32
1.334,2.09
1.339,2.09
1.345,2.09
1.349,2.09
1.355,2.09
1.357,2.09
1.365,2.09
1.366,2.09
1.374,2.09
1.380,2.09
1.385,2.09
1.389,2.09
1.395,2.09
1.399,2.09
1.405,2.09
1.406,2.09
1.414,2.09
1.417,2.09
1.425,2.09
1.430,2.09
1.434,2.09
1.438,2.09
1.444,2.09
1.449,2.09
1.455,2.09
1.459,2.09
1.464,2.09
1.469,2.09
1.472,2.09
1.480,2.09
1.483,2.09
1.483,2.09
1.495,2.09
1.500,2.09
1.505,2.08
1.510,2.09
1.515,2.09
1.517,2.09
1.524,2.09
1.529,2.09
1.534,1.31
1.534,1.31
1.544,1.31
1.550,1.31
1.554,1.31
1.556,1.31
1.564,2.09
1.569,1.31
1.573,1.32
1.573,1.31
1.584,1.31
1.589,1.31
1.589,1.31
1.599,2.09
1.601,1.31
1.609,1.32
1.614,1.31
1.619,1.31
1.621,1.32
1.629,1.31
1.633,1.31
1.633,2.09
1.645,2.09
1.648,2.09
1.650,2.09
1.659,2.09
1.664,2.09
1.669,2.09
1.672,2.09
1.680,2.09
1.683,2.09
1.683,2.09
1.694,2.09
1.699,2.09
1.704,2.09
1.706,2.09
1.714,2.09
1.717,2.09
1.724,2.09
1.727,2.09
1.734,2.09
1.739,2.09
1.744,2.09
1.749,2.09
1.754,2.09
1.756,2.09
1.764,1.31
1.766,1.32
1.774,1.31
1.776,1.31
1.783,1.31
1.788,1.31
1.794,2.09
1.799,2.09
1.804,2.04
1.806,2.09
1.814,2.09
1.816,2.09
1.824,2.09
1.826,2.09
1.833,2.08
1.838,2.09
1.844,2.09
1.849,2.09
1.854,2.09
1.858,2.09
1.864,2.09
1.869,2.08
1.874,2.09
1.879,2.09
1.883,2.09
1.883,2.09
1.893,2.09
1.899,2.0
1.904,2.09
1.906,2.09
1.914,2.05
1.916,2.09
1.924,2.09
1.926,2.09
1.933,2.09
1.938,2.09
1.944,2.09
1.949,2.09
1.954,2.09
1.959,2.09
1.963,2.09
1.968,2.09
1.970,2.09
1.970,2.09
1.984,2.09
1.989,2.09
1.992,1.31
1.999,1.31
2.000,1.31
2.009,1.31
2.013,1.31
2.018,1.31
2.021,1.8
2.029,1.32
2.033,1.31
2.038,1.31
2.040,1.31
2.049,1.31
2.051,1.31
2.059,1.31
2.064,2.09
2.069,2.09
2.072,2.09
2.079,2.09
2.083,2.09
2.089,2.09
2.091,2.07
2.098,2.09
2.100,2.09
2.100,2.09
2.120,2.09
2.120,2.07
2.123,2.08
2.140,2.09
2.141,2.09
2.141,2.09
2.143,2.09
2.148,2.09
2.180,2.09
2.181,2.09
2.181,2.08
2.182,2.08
2.183,2.09
2.183,2.09
2.184,2.09
2.189,2.08
2.205,2.09
2.206,2.07
2.206,2.09
2.208,2.09
2.213,2.09
2.219,2.08
2.219,1.33
2.219,1.31
2.234,1.32
2.245,1.32
2.248,1.32
2.256,1.32
2.256,1.32
2.258,2.09
2.265,1.32
2.268,1.32
2.273,1.32
2.278,1.32
2.281,1.32
2.288,1.32
2.290,2.08
2.298,1.32
2.301,1.32
2.308,1.32
2.314,1.32
2.318,1.32
2.321,1.32
2.321,1.99
2.333,2.09
2.336,2.09
2.343,2.09
2.347,2.09
2.353,2.09
2.355,2.09
2.364,2.08
2.364,2.09
