Elapsed Time (s),Value
0.000,2.09
0.000,2.09
0.020,2.09
0.025,2.08
0.029,2.08
0.032,2.09
0.039,2.09
0.045,2.09
0.049,2.09
0.053,2.09
0.060,2.08
0.063,2.09
0.069,2.09
0.075,2.08
0.080,2.08
0.084,2.08
0.090,2.09
0.094,2.09
0.099,2.09
0.103,2.09
0.110,2.09
0.111,2.09
0.120,2.09
0.124,2.09
0.129,2.09
0.132,2.09
0.140,2.09
0.143,2.08
0.149,2.09
0.152,2.09
0.160,2.09
0.161,2.09
0.169,2.09
0.174,2.08
0.180,2.09
0.182,2.09
0.189,2.09
0.194,1.27
0.200,1.27
0.203,1.27
0.209,1.27
0.212,1.27
0.212,1.27
0.224,2.08
0.229,1.27
0.234,1.27
0.235,1.27
0.244,1.27
0.250,1.27
0.255,1.27
0.260,2.08
0.264,1.27
0.267,1.27
0.274,1.27
0.277,1.27
0.285,1.27
0.287,1.85
0.295,2.09
0.299,2.09
0.305,2.09
0.309,2.09
0.314,2.09
0.316,2.09
0.324,2.09
0.327,2.09
0.335,2.09
0.337,2.09
0.344,2.09
0.348,2.09
0.355,2.09
0.359,2.09
0.364,2.09
0.366,2.04
0.374,2.09
0.379,2.08
0.383,2.09
0.389,2.09
0.394,2.09
0.399,2.09
0.400,2.09
0.409,2.09
0.414,2.09
0.417,2.09
0.424,1.27
0.427,1.27
0.434,1.27
0.437,1.27
0.444,1.27
0.448,1.27
0.454,2.08
0.458,1.27
0.464,1.27
0.466,1.27
0.474,1.27
0.477,1.81
0.484,1.27
0.487,1.27
0.494,2.09
0.497,1.27
0.504,1.27
0.508,1.27
0.510,1.58
0.519,1.27
0.524,1.27
0.529,2.08
0.532,2.09
0.539,2.09
0.544,2.09
0.549,2.09
0.552,2.09
0.559,2.09
0.561,2.09
0.569,2.09
0.571,2.09
0.579,2.09
0.582,2.09
0.589,2.09
0.594,2.08
0.598,2.09
0.602,2.06
0.608,2.09
0.613,2.09
0.618,2.09
0.624,2.08
0.628,2.09
0.633,2.09
0.639,2.09
0.644,2.09
0.648,2.09
0.652,1.27
0.658,1.27
0.663,1.27
0.667,1.27
0.673,2.09
0.675,2.08
0.684,2.06
0.688,2.09
0.692,2.09
0.692,2.08
0.703,2.09
0.709,2.08
0.709,2.08
0.719,2.09
0.724,2.09
0.726,2.09
0.734,2.08
0.739,2.09
0.741,2.08
0.741,2.09
0.753,2.09
0.759,2.08
0.759,2.05
0.768,2.09
0.774,2.09
0.776,2.08
0.776,2.09
0.788,2.08
0.791,2.08
0.798,2.09
0.803,2.09
0.809,2.08
0.810,2.09
0.818,2.09
0.823,2.09
0.825,2.09
0.825,2.09
0.838,2.09
0.841,2.08
0.841,2.09
0.841,2.09
0.858,2.08
0.858,2.08
0.858,2.08
0.873,2.09
0.876,2.08
0.876,1.27
0.888,1.27
0.891,1.27
0.898,1.27
0.902,1.27
0.908,2.06
0.908,1.27
0.917,1.35
0.920,1.27
0.925,1.27
0.933,1.27
0.938,1.27
0.941,1.27
0.941,1.27
0.953,2.09
0.958,2.08
0.963,2.09
0.966,2.09
0.966,2.09
0.979,2.08
0.983,2.09
0.985,2.09
0.991,2.08
0.995,2.09
1.003,2.09
1.008,2.08
1.013,2.09
1.017,2.09
1.018,2.09
1.028,2.09
1.032,2.09
1.037,2.09
1.041,2.09
1.048,2.09
1.051,2.09
1.058,2.09
1.058,2.09
1.068,2.09
1.070,2.07
1.078,2.08
1.083,2.09
1.088,2.09
1.091,2.08
1.097,2.09
1.101,2.08
1.108,2.08
1.108,2.08
1.108,1.27
1.123,1.27
1.125,1.27
1.133,1.27
1.138,1.27
1.142,1.27
1.148,2.08
1.153,2.09
1.157,2.08
1.210,2.08
1.210,2.08
1.210,2.08
1.210,2.08
1.210,2.08
1.224,2.09
1.226,2.08
1.226,2.09
1.227,2.08
1.227,2.08
1.227,2.08
1.228,2.08
1.229,2.08
1.230,2.08
1.232,2.01
1.232,2.08
