Elapsed Time (s),Value
0.000,1.03
0.001,0.99
0.001,0.99
0.002,0.98
0.006,1.0
0.008,1.0
0.016,0.98
0.020,0.99
0.025,1.05
0.028,1.0
0.035,0.99
0.038,0.99
0.045,1.0
0.049,0.97
0.056,0.98
0.060,0.98
0.062,0.99
0.070,0.96
0.075,0.97
0.079,1.0
0.085,0.99
0.090,0.98
0.093,0.98
0.098,0.98
0.105,1.03
0.108,1.05
0.114,0.99
0.120,0.98
0.125,0.99
0.128,0.98
0.135,0.98
0.141,1.02
0.142,1.09
0.148,1.05
0.155,0.98
0.158,0.99
0.164,0.99
0.170,0.99
0.174,0.98
0.178,1.01
0.185,1.06
0.191,1.01
0.193,0.96
0.198,0.95
0.206,0.98
0.208,1.0
0.214,0.98
0.220,0.98
0.224,1.03
0.228,1.09
0.236,0.97
0.240,0.97
0.243,1.0
0.248,0.99
0.255,0.98
0.258,0.98
0.262,1.03
0.270,1.05
0.275,0.95
0.278,0.95
0.285,0.94
0.290,0.94
0.293,0.93
0.298,0.95
0.305,0.99
0.308,1.0
0.314,0.92
0.320,0.94
0.324,0.94
0.329,0.93
0.336,0.93
0.340,1.0
0.342,1.08
0.348,1.05
0.355,0.97
0.358,0.99
0.364,1.0
0.370,1.0
0.375,1.04
0.378,0.99
0.386,1.04
0.390,1.04
0.393,0.98
0.398,0.98
0.406,1.01
0.411,0.99
0.415,0.98
0.421,1.0
0.424,1.04
0.428,0.99
0.436,0.96
0.441,0.96
0.444,0.98
0.449,0.96
0.456,0.96
0.460,0.96
0.463,0.96
0.471,0.96
0.475,0.96
0.479,0.96
0.485,0.99
0.490,0.98
0.494,1.03
0.498,0.98
0.505,1.0
0.510,0.98
0.515,0.95
0.520,0.96
0.525,0.97
0.528,0.96
0.536,0.95
0.541,0.97
0.545,0.96
0.547,0.96
0.555,0.95
0.560,0.95
0.562,0.94
0.570,0.92
0.575,0.93
0.579,0.96
0.586,0.93
0.590,0.94
0.593,0.91
0.599,0.91
0.605,0.95
0.610,0.97
0.613,0.96
0.619,0.93
0.626,0.96
0.630,0.97
0.632,0.97
0.640,0.96
0.645,0.98
0.649,0.98
0.657,0.97
0.666,1.04
0.666,1.02
0.666,0.98
0.687,0.95
0.687,0.96
0.688,0.95
0.688,0.98
0.688,0.97
0.696,0.99
0.702,0.98
0.710,0.99
0.710,0.98
0.720,0.99
0.720,0.99
0.720,0.99
0.735,0.94
0.736,0.95
0.744,0.96
0.744,0.97
0.752,0.97
0.752,0.95
0.752,0.98
0.770,0.97
0.771,0.97
0.779,0.98
0.785,0.97
0.791,0.98
0.792,0.97
0.800,0.93
0.803,0.94
0.810,0.94
0.814,0.93
0.820,0.96
0.825,0.94
0.830,0.97
0.835,0.97
0.840,0.93
0.845,0.93
0.847,0.96
0.855,0.93
0.860,0.93
0.862,0.93
0.870,0.98
0.874,0.98
0.878,0.96
0.881,0.96
0.890,0.96
0.895,0.97
0.900,0.95
0.905,0.95
0.910,0.99
0.912,0.97
0.919,0.97
0.925,0.99
0.930,1.0
0.935,0.99
0.940,1.0
0.942,1.0
0.948,1.0
0.955,1.0
0.957,0.98
0.965,1.0
0.970,0.97
0.975,0.94
0.977,0.94
0.985,0.93
0.990,0.94
0.992,0.96
0.998,0.96
1.004,0.97
1.007,1.0
1.015,0.99
