Elapsed Time (s),Value
0.000,0.94
0.001,0.99
0.002,0.99
0.006,1.0
0.011,0.96
0.015,0.96
0.021,1.03
0.025,1.02
0.030,0.95
0.036,0.99
0.040,0.99
0.046,0.99
0.050,0.95
0.056,0.95
0.061,1.03
0.065,1.01
0.071,0.94
0.075,0.96
0.081,0.98
0.086,0.95
0.091,0.95
0.095,0.96
0.101,0.99
0.106,1.0
0.111,0.95
0.116,0.97
0.121,0.94
0.127,0.93
0.130,0.94
0.134,0.97
0.142,1.01
0.146,0.96
0.148,1.01
0.156,1.0
0.161,1.03
0.166,0.98
0.168,0.97
0.177,0.97
0.180,1.02
0.183,1.01
0.191,0.95
0.196,0.97
0.199,0.98
0.206,0.99
0.211,0.97
0.216,0.98
0.218,1.03
0.227,0.97
0.229,0.93
0.235,0.94
0.242,0.93
0.247,0.93
0.249,0.94
0.256,0.94
0.261,1.01
0.265,1.01
0.271,0.96
0.276,0.97
0.281,0.94
0.285,0.91
0.291,0.93
0.296,0.93
0.298,0.94
0.304,0.93
0.310,0.93
0.315,0.93
0.321,0.94
0.326,0.94
0.329,0.93
0.335,0.99
0.341,1.0
0.347,1.01
0.350,0.98
0.355,0.99
0.361,1.01
0.365,1.01
0.371,0.99
0.376,0.94
0.381,0.93
0.383,0.93
0.391,0.92
0.394,0.92
0.398,0.93
0.406,0.93
0.411,0.93
0.416,0.93
0.418,0.93
0.426,0.93
0.431,0.92
0.433,0.93
0.441,0.93
0.446,0.93
0.448,0.96
0.456,0.96
0.461,0.96
0.466,0.96
0.469,0.95
0.476,0.94
0.479,1.01
0.484,1.0
0.491,0.99
0.496,1.0
0.499,1.01
0.504,1.08
0.510,1.03
0.514,1.02
0.520,0.95
0.526,0.95
0.530,0.92
0.533,0.92
0.541,0.92
0.545,0.93
0.550,0.92
0.555,0.96
0.561,0.96
0.565,0.97
0.568,0.97
0.576,0.92
0.579,0.92
0.585,0.92
0.588,0.92
0.593,0.92
0.601,0.92
0.604,0.92
0.611,0.97
0.616,0.98
0.621,1.09
0.626,0.97
0.630,0.93
0.634,1.01
0.641,1.02
0.644,1.04
0.649,0.95
0.656,0.95
0.660,0.97
0.666,0.97
0.671,0.96
0.676,0.96
0.680,0.92
0.685,0.92
0.691,0.91
0.696,0.91
0.701,0.91
0.705,0.91
0.710,0.91
0.716,0.92
0.721,0.98
0.726,0.98
0.731,0.98
0.736,0.92
0.741,0.91
0.745,0.92
0.750,0.92
0.755,0.93
0.759,0.92
0.765,0.95
0.771,0.98
0.774,0.93
0.774,0.92
0.786,0.94
0.791,0.93
0.795,0.91
0.800,0.93
0.805,0.94
0.810,0.93
0.816,0.92
0.820,0.96
0.825,0.98
0.830,0.94
0.832,0.93
0.860,0.93
0.875,0.94
0.877,0.94
0.878,0.94
0.879,0.94
0.879,0.94
0.880,0.94
0.880,0.96
0.880,0.99
0.885,0.97
0.887,0.98
0.892,0.97
0.900,1.07
0.902,1.13
0.908,1.05
0.908,0.99
0.918,1.01
0.925,0.94
0.930,0.94
0.930,0.94
0.940,0.94
0.945,0.94
0.948,0.94
0.957,0.93
0.964,0.94
0.964,0.94
0.970,0.93
0.975,0.94
0.981,0.93
0.985,0.93
0.990,0.92
0.995,0.92
1.000,0.93
1.005,0.92
1.011,0.93
1.015,0.94
1.020,0.94
1.026,0.94
1.030,0.93
1.035,0.92
1.040,0.93
1.045,0.95
1.050,0.94
1.055,0.95
1.060,0.95
1.065,0.95
1.070,0.95
1.075,0.95
1.080,0.95
1.085,0.96
1.090,0.95
1.095,0.96
1.100,0.95
1.105,0.95
1.110,0.95
1.115,0.95
1.120,0.94
1.125,0.96
1.130,0.96
1.135,0.97
1.140,0.95
1.145,0.95
1.150,0.96
1.155,0.95
1.160,0.96
1.166,0.94
1.171,0.95
1.175,0.95
1.180,0.96
1.185,0.95
1.190,0.96
1.195,0.96
1.200,0.96
1.205,0.94
1.210,1.03
1.215,0.94
1.220,0.96
1.225,0.96
1.230,0.99
1.235,0.97
1.240,0.95
1.245,0.95
1.249,0.96
1.255,0.97
1.260,0.97
1.265,0.97
1.270,0.97
1.275,0.96
1.280,0.97
1.285,0.98
1.290,0.97
1.295,0.98
1.300,0.98
1.305,0.98
1.310,0.98
1.315,0.96
1.320,0.97
1.325,0.98
1.330,0.97
1.335,0.97
1.340,0.97
1.345,1.02
1.350,0.99
1.352,0.97
1.360,0.97
1.365,0.98
1.369,0.97
1.375,0.97
1.380,0.98
1.384,0.99
1.389,0.98
1.395,0.97
1.400,0.97
1.403,0.97
1.410,0.97
1.415,0.97
1.420,0.97
1.425,0.99
1.430,0.99
1.435,0.96
1.440,0.97
1.445,0.96
1.450,0.95
1.455,0.96
1.460,0.96
1.465,0.96
1.470,1.02
1.475,0.97
1.480,0.98
1.485,0.97
1.490,0.96
1.495,0.96
1.497,0.97
1.503,0.98
1.508,1.01
1.515,0.95
1.520,0.96
1.525,0.97
1.530,0.96
1.535,0.97
1.540,0.98
1.546,0.99
1.548,1.01
1.553,0.96
1.560,0.97
1.564,0.98
1.570,0.97
1.575,0.97
1.580,0.99
1.585,1.03
1.590,1.01
1.595,0.99
1.600,0.98
1.605,0.99
1.610,0.98
1.613,0.99
1.618,0.99
1.625,0.99
1.630,1.03
1.632,0.99
1.640,1.0
1.645,0.97
1.647,0.98
1.653,0.98
1.660,0.97
1.665,1.01
1.668,1.05
1.675,1.01
1.680,1.01
1.683,1.0
1.690,0.99
1.695,0.99
1.697,0.99
1.703,0.99
1.711,1.05
1.715,0.99
1.718,0.97
1.725,0.98
1.730,0.98
1.734,0.99
1.741,1.0
1.745,1.06
1.750,1.0
1.752,0.97
1.760,0.99
1.765,0.99
1.766,0.98
1.775,1.0
1.779,0.99
1.781,1.05
1.788,1.04
1.794,0.98
1.798,0.97
1.804,0.95
1.810,0.97
1.812,0.97
1.820,0.97
1.825,1.0
1.829,1.03
1.833,0.98
1.838,0.99
1.844,0.98
1.847,0.99
1.853,0.98
1.860,0.99
1.865,0.97
1.867,0.97
1.875,0.95
1.880,0.95
1.882,0.94
1.887,0.98
1.894,0.99
1.897,1.01
1.904,1.0
1.910,1.0
1.913,0.97
1.917,0.99
1.924,1.0
1.929,0.99
1.933,1.05
1.939,1.03
1.945,0.98
1.947,0.99
1.953,1.04
1.960,1.09
1.964,1.08
1.968,0.98
1.974,0.98
1.980,0.98
1.985,0.98
1.988,0.99
1.994,0.98
1.998,0.95
2.003,0.96
2.010,0.96
2.012,0.98
2.017,0.98
2.024,0.98
2.029,0.99
2.031,0.99
2.040,0.99
2.045,0.98
2.050,0.98
2.052,0.98
2.060,0.98
2.064,0.98
2.067,0.97
2.075,0.96
2.080,0.98
2.085,0.97
2.087,0.98
2.095,0.98
2.097,0.99
2.103,0.98
2.109,0.99
2.115,0.99
2.117,0.99
2.124,0.98
2.130,0.98
2.132,0.99
2.139,0.97
2.144,0.97
2.148,0.98
2.154,0.98
2.160,0.95
2.163,0.95
2.168,0.95
2.175,0.95
2.177,0.95
2.183,0.95
2.190,0.95
2.195,0.96
2.196,0.96
2.202,0.99
2.210,1.0
2.211,0.98
2.218,0.99
2.225,0.99
2.227,0.98
2.233,0.98
2.238,0.98
2.244,0.98
2.246,0.97
2.253,0.98
2.260,0.98
2.262,0.97
2.268,0.97
2.274,0.98
2.279,0.98
2.284,0.98
2.287,0.98
2.295,0.98
2.297,0.99
2.303,0.97
2.310,0.99
2.313,0.95
2.317,0.96
2.324,0.96
2.329,0.96
2.332,0.96
2.339,0.97
2.344,0.95
2.347,0.95
2.354,0.95
2.360,0.97
2.365,0.96
2.369,0.98
2.376,0.96
2.380,0.96
2.382,0.95
2.389,0.97
2.395,0.97
2.398,0.96
2.404,0.96
2.410,0.97
2.413,0.98
2.418,0.95
2.425,0.96
2.429,0.94
2.431,0.96
2.439,0.95
2.445,0.94
2.447,0.96
2.455,0.97
2.459,0.95
2.464,0.94
2.468,0.94
2.475,0.95
2.480,0.95
2.483,0.94
2.489,0.95
2.495,1.0
2.498,0.96
2.504,0.96
2.509,0.95
2.513,0.97
2.519,0.95
2.524,0.95
2.530,0.96
2.534,0.94
2.539,0.95
2.545,0.94
2.548,0.95
2.553,0.96
2.560,0.94
2.561,0.94
2.570,0.96
2.575,0.96
2.580,0.91
2.582,0.91
2.589,0.94
2.595,1.02
2.597,0.96
2.605,0.95
2.609,1.02
2.615,1.02
2.616,0.92
2.625,0.93
2.630,1.0
2.632,1.03
2.638,1.02
2.644,1.01
2.649,0.95
2.653,0.95
2.660,0.96
2.665,0.96
2.666,0.96
2.675,0.95
2.680,0.97
2.683,0.95
2.689,0.95
2.695,0.95
2.697,0.98
2.704,0.97
2.709,0.97
2.714,0.96
2.720,0.96
2.726,0.96
2.729,0.96
2.732,0.96
2.738,0.96
2.745,0.98
2.747,0.97
2.755,0.97
2.759,0.96
2.764,0.96
2.767,1.03
2.774,1.02
2.780,1.03
2.783,1.03
2.787,1.02
2.795,1.01
2.799,1.02
2.804,1.03
2.809,1.02
2.814,1.03
2.816,1.03
2.824,1.04
2.829,1.04
2.832,1.02
2.837,1.03
2.845,1.0
2.848,1.01
2.855,1.01
2.860,1.02
2.864,1.04
2.867,1.02
2.874,1.02
2.880,1.04
2.882,1.04
2.888,1.02
