Elapsed Time (s),Value
0.000,1.11
0.001,0.99
0.002,1.09
0.003,1.0
0.004,1.12
0.005,1.15
0.007,1.14
0.014,0.99
0.016,0.99
0.024,1.17
0.029,1.17
0.032,1.04
0.039,1.09
0.044,1.14
0.048,1.15
0.054,1.04
0.059,1.04
0.064,1.04
0.069,0.99
0.073,1.1
0.079,1.07
0.084,1.14
0.089,1.15
0.091,1.04
0.099,1.04
0.104,1.01
0.106,1.2
0.114,0.99
0.119,1.14
0.123,1.19
0.128,1.17
0.134,1.0
0.136,1.05
0.142,1.0
0.149,1.06
0.152,1.17
0.156,1.07
0.164,1.11
0.169,1.19
0.174,1.01
0.179,1.07
0.184,1.19
0.189,1.01
0.193,1.09
0.198,1.16
0.204,1.17
0.206,1.14
0.214,1.12
0.217,1.04
0.251,1.0
0.251,0.99
0.251,0.99
0.251,1.08
0.261,1.14
0.301,1.15
0.334,1.16
0.335,0.99
0.336,1.06
0.336,1.01
0.336,1.14
0.337,1.13
0.337,1.14
0.338,1.15
0.338,1.04
0.339,0.99
0.339,1.03
0.339,1.0
0.340,1.0
0.340,0.95
0.340,1.13
0.354,1.18
0.354,1.0
0.357,1.01
0.357,1.0
0.358,1.01
0.358,1.04
0.359,1.02
0.360,1.23
0.368,1.22
0.374,1.01
0.378,1.0
0.384,1.0
0.388,1.12
0.393,0.99
0.398,1.08
0.403,1.1
0.408,1.04
0.413,1.0
0.418,1.0
0.423,1.07
0.428,1.01
0.433,1.03
0.438,0.96
0.442,1.2
0.448,1.04
0.453,0.99
0.455,0.96
0.463,0.99
0.468,1.0
0.470,1.0
0.478,1.14
0.483,1.11
0.488,1.15
0.490,0.96
0.498,0.95
0.503,1.16
0.505,1.01
0.513,1.02
0.518,1.0
0.522,1.15
0.528,1.16
0.533,1.0
0.539,1.0
0.541,1.06
0.548,1.12
0.554,1.03
0.558,1.0
0.563,1.13
0.568,1.13
0.573,0.99
0.578,1.0
0.584,0.99
0.587,1.0
0.593,1.02
0.599,1.02
0.603,1.05
0.608,1.02
0.613,1.01
0.618,0.99
0.622,1.01
0.628,0.99
0.633,0.99
0.635,0.99
0.643,1.13
0.646,1.14
0.652,1.0
0.658,1.0
0.663,1.01
0.668,1.0
0.673,1.01
0.678,1.14
0.683,1.13
0.688,1.02
0.691,0.96
0.698,0.96
0.703,1.17
0.705,0.97
0.713,0.98
0.718,1.0
0.720,1.16
0.728,1.15
0.733,1.01
0.737,1.0
0.741,1.01
0.748,1.02
0.753,1.16
0.755,1.05
0.763,1.17
0.768,1.18
0.772,1.13
0.776,1.0
0.783,1.0
0.787,1.05
0.792,0.99
0.798,1.02
0.802,1.14
0.805,1.16
0.814,1.0
0.818,1.01
0.820,1.14
0.828,1.02
0.833,1.04
0.837,1.03
0.840,1.11
0.848,1.13
0.850,1.0
0.856,0.99
0.863,1.01
0.867,0.98
0.872,1.02
0.878,1.0
0.883,1.1
0.888,1.11
0.890,0.98
0.898,0.96
0.900,0.99
0.906,0.97
0.913,0.96
0.916,1.0
0.920,1.11
0.926,1.1
0.933,1.01
0.935,1.0
0.941,0.99
0.948,1.0
0.952,1.0
0.955,1.03
0.963,1.13
0.966,1.0
0.971,0.99
0.975,1.0
0.982,1.01
0.986,1.01
0.991,1.01
0.997,1.09
1.001,1.13
1.007,1.09
1.013,1.0
1.016,1.0
1.021,1.0
1.028,0.99
1.033,1.04
1.035,1.0
1.042,1.08
1.048,1.06
1.052,1.0
1.055,0.99
1.063,1.02
1.066,1.01
1.071,1.04
1.078,0.99
1.083,1.06
1.086,1.08
1.090,1.04
1.098,1.04
1.100,1.06
1.106,0.98
1.113,0.99
1.116,0.99
1.123,1.06
1.126,1.07
1.133,0.98
1.136,0.99
1.143,1.01
1.148,1.0
1.151,0.99
1.155,0.98
1.163,1.06
1.168,1.07
1.170,0.98
1.175,0.99
1.182,0.99
1.185,0.99
1.191,0.98
1.198,0.98
1.201,1.06
1.206,1.04
1.213,1.0
1.216,0.98
1.221,0.96
1.228,0.99
1.233,1.06
1.235,1.0
1.241,1.07
1.248,1.07
1.251,1.01
1.256,1.06
