Elapsed Time (s),Value
0.000,1.02
0.001,0.99
0.001,0.98
0.001,0.98
0.004,0.98
0.007,0.98
0.015,0.98
0.018,0.98
0.025,0.98
0.029,0.98
0.033,0.98
0.039,0.97
0.044,0.98
0.049,0.98
0.051,0.98
0.059,1.01
0.064,0.98
0.067,0.99
0.075,0.99
0.079,0.97
0.084,0.99
0.090,1.0
0.094,1.0
0.099,0.99
0.102,1.0
0.107,1.0
0.115,0.99
0.117,0.99
0.124,0.99
0.128,0.98
0.133,0.98
0.137,0.97
0.144,0.98
0.150,0.97
0.152,0.97
0.157,0.97
0.164,0.97
0.167,0.97
0.174,0.96
0.179,0.97
0.184,0.98
0.188,0.97
0.194,0.97
0.199,0.98
0.204,0.97
0.209,0.98
0.214,0.97
0.219,0.96
0.224,0.98
0.229,0.97
0.234,0.97
0.239,0.97
0.244,0.98
0.249,0.98
0.254,0.97
0.259,0.98
0.264,0.97
0.269,0.98
0.274,0.97
0.279,0.99
0.284,0.98
0.289,0.97
0.294,0.97
0.300,0.98
0.304,0.98
0.308,0.98
0.313,0.97
0.319,0.96
0.323,0.96
0.329,0.97
0.333,1.06
0.339,1.04
0.344,0.97
0.349,0.97
0.355,0.97
0.359,0.96
0.364,0.97
0.369,0.98
0.374,1.05
0.379,0.98
0.384,0.98
0.389,0.99
0.394,0.97
0.399,0.97
0.404,0.98
0.409,0.98
0.414,0.98
0.418,0.97
0.424,0.97
0.429,0.97
0.433,0.97
0.439,0.96
0.444,0.96
0.449,0.97
0.453,0.99
0.459,0.98
0.464,0.99
0.469,0.99
0.474,0.97
0.479,0.99
0.484,0.96
0.489,0.97
0.494,0.98
0.499,0.98
0.504,0.99
0.509,0.97
0.514,0.97
0.518,0.96
0.524,0.97
0.529,0.97
0.534,1.0
0.539,0.98
0.544,0.97
0.549,0.97
0.554,0.98
0.558,0.98
0.564,0.99
0.568,0.98
0.574,0.98
0.578,1.0
0.584,0.99
0.589,0.98
0.594,0.99
0.599,0.98
0.604,0.99
0.607,0.99
